PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec
7.84013388624814e-05,1,5000,"01fee",1,3.21773837787128e-05
9.05489764168403e-05,1,5000,"01fee",2,2.56405634128175e-05
8.14426954055292e-05,1,5000,"01fee",3,6.05603706211013e-05
0.000187870783819837,1,5000,"01fee",4,0.000198243475083263
0.000602765632265992,1,5000,"01fee",5,0.000641577564615791
NaN,1,5000,"01fee",6,NaN
NaN,1,5000,"01fee",7,NaN
0.000107989313723661,1,5000,"01fee",8,5.1582744184607e-05
6.32287291518414e-05,1,5000,"01fee",1,3.45563369568974e-06
8.04146798076119e-05,1,5000,"01fee",2,3.53084363874192e-05
0.000120918702405038,1,5000,"01fee",3,0.000100762653898276
0.000237410335527759,1,5000,"01fee",4,0.000226511770191377
0.000754849255411022,1,5000,"01fee",5,0.000729259885853834
NaN,1,5000,"01fee",6,NaN
NaN,1,5000,"01fee",7,NaN
0.000120575267875883,1,5000,"01fee",8,6.57801571004642e-05
5.07327760047923e-05,1,5000,"01fee",1,5.35056626980186e-06
5.02782181654908e-05,1,5000,"01fee",2,3.24723557094802e-05
6.38857277845514e-05,1,5000,"01fee",3,5.48593771496059e-05
0.000148885735388752,1,5000,"01fee",4,0.000135951715705111
0.000600260082141196,1,5000,"01fee",5,0.000575778428586216
NaN,1,5000,"01fee",6,NaN
NaN,1,5000,"01fee",7,NaN
8.86671643563202e-05,1,5000,"01fee",8,7.97372073473356e-05
4.83109301140909e-05,1,5000,"01fee",1,1.0382991999408e-05
5.40364884431391e-05,1,5000,"01fee",2,1.88467795246956e-05
7.45665735665549e-05,1,5000,"01fee",3,2.72307761761564e-05
0.000162162509897881,1,5000,"01fee",4,0.000151308904137366
0.000601375477802883,1,5000,"01fee",5,0.000579351135637283
NaN,1,5000,"01fee",6,NaN
NaN,1,5000,"01fee",7,NaN
6.65321898044608e-05,1,5000,"01fee",8,4.89392391809495e-05
6.0286808052698e-05,1,5000,"01fee",1,1.47219571102341e-05
7.39006656659766e-05,1,5000,"01fee",2,1.49190072741553e-05
7.52143209118821e-05,1,5000,"01fee",3,4.81917068257989e-05
0.000154125000860208,1,5000,"01fee",4,0.000148787612295022
0.000610364754329914,1,5000,"01fee",5,0.000593169376263446
NaN,1,5000,"01fee",6,NaN
NaN,1,5000,"01fee",7,NaN
0.000113423919167051,1,5000,"01fee",8,9.96281880898721e-05
5.81940780444383e-05,1,5000,"01fee",1,4.2054377417818e-05
9.83566464773283e-05,1,5000,"01fee",2,9.60071082963764e-05
