PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec
8.07459957980003e-05,1,1500,"08b13",1,3.94018199975659e-05
4.88261826812384e-05,1,1500,"08b13",2,4.13723879344534e-05
3.54566432374779e-05,1,1500,"08b13",3,0
1.75293264207029e-05,1,1500,"08b13",4,0
6.77129762280658e-05,1,1500,"08b13",5,5.84280911052206e-05
6.83895298579263e-05,1,1500,"08b13",6,1.64310425983625e-07
NaN,1,1500,"08b13",7,NaN
NaN,1,1500,"08b13",8,NaN
1.80314589105874e-05,1,1500,"08b13",1,1.23132897315425e-07
1.80097395092095e-05,1,1500,"08b13",2,1.32146398671684e-06
6.14827124720544e-05,1,1500,"08b13",3,0
NaN,1,1500,"08b13",4,0
1.45737106802689e-05,1,1500,"08b13",5,0.000106043157774759
0.000123138328441079,1,1500,"08b13",6,4.43975070127466e-05
NaN,1,1500,"08b13",7,NaN
NaN,1,1500,"08b13",8,NaN
3.07656155778526e-05,1,1500,"08b13",1,1.17539337233096e-05
1.79601617552373e-05,1,1500,"08b13",2,8.59678474564348e-06
4.21552128520123e-05,1,1500,"08b13",3,0
2.56635557913321e-05,1,1500,"08b13",4,0
6.93710766045155e-05,1,1500,"08b13",5,3.86288116765126e-05
5.69937581681873e-05,1,1500,"08b13",6,3.49145563082942e-05
NaN,1,1500,"08b13",7,NaN
NaN,1,1500,"08b13",8,NaN
0.000103913928719265,1,1500,"08b13",1,3.99870921553095e-05
5.39238269355427e-05,1,1500,"08b13",2,1.08189849041682e-05
7.35360908145534e-06,1,1500,"08b13",3,0
3.86441200890777e-05,1,1500,"08b13",4,0
5.28121593258917e-05,1,1500,"08b13",5,1.50034119081748e-05
6.26978083361986e-05,1,1500,"08b13",6,6.15706931923513e-05
NaN,1,1500,"08b13",7,NaN
NaN,1,1500,"08b13",8,NaN
4.90480126512007e-05,1,1500,"08b13",1,3.60416636052273e-06
5.01487909418757e-05,1,1500,"08b13",2,2.46370479650329e-06
4.95853712175172e-05,1,1500,"08b13",3,0
6.22644107346261e-05,1,1500,"08b13",4,0
8.68051909653201e-05,1,1500,"08b13",5,7.31892537833007e-05
NaN,1,1500,"08b13",6,0.000138238170390328
NaN,1,1500,"08b13",7,NaN
NaN,1,1500,"08b13",8,NaN
3.68403172044021e-05,1,1500,"08b13",1,1.45222844200232e-05
7.97552130816174e-05,1,1500,"08b13",2,5.16888885272744e-05
5.55998536964355e-06,1,1500,"08b13",3,0
9.36369571292282e-05,1,1500,"08b13",4,0
1.58694977314198e-05,1,1500,"08b13",5,1.31867913119489e-05
1.83282429102326e-05,1,1500,"08b13",6,1.45369502985946e-05
NaN,1,1500,"08b13",7,NaN
NaN,1,1500,"08b13",8,NaN
4.37904167129645e-06,1,1500,"08b13",1,3.46191783694451e-05
4.91408877708194e-05,1,1500,"08b13",2,2.26884184529769e-05
2.82451190626486e-05,1,1500,"08b13",3,0
1.69142465078335e-05,1,1500,"08b13",4,0
4.31447827392461e-05,1,1500,"08b13",5,2.52591421081271e-05
NaN,1,1500,"08b13",6,3.30443515804418e-05
NaN,1,1500,"08b13",7,NaN
NaN,1,1500,"08b13",8,NaN
1.84312449978934e-05,1,1500,"08b13",1,7.83192117479507e-07
4.47608468142915e-05,1,1500,"08b13",2,2.88599162241897e-07
2.09852872474241e-05,1,1500,"08b13",3,0
1.29416566033744e-05,1,1500,"08b13",4,0
1.97468990449369e-05,1,1500,"08b13",5,2.02865913224399e-05
0.000130309187018083,1,1500,"08b13",6,0.000111778747329983
NaN,1,1500,"08b13",7,NaN
