PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec
NaN,1,1500,"08b13",1,0
4.88333350773397e-05,1,1500,"08b13",2,0
NaN,1,1500,"08b13",3,0
3.76330218303352e-05,1,1500,"08b13",4,0
6.77129762280657e-05,1,1500,"08b13",5,0
NaN,1,1500,"08b13",6,1.64310425983611e-07
NaN,1,1500,"08b13",7,NaN
NaN,1,1500,"08b13",8,NaN
NaN,1,1500,"08b13",1,0
9.5169426224499e-05,1,1500,"08b13",2,0
NaN,1,1500,"08b13",3,0
NaN,1,1500,"08b13",4,0
7.70333142469644e-05,1,1500,"08b13",5,0
0.000123138328441079,1,1500,"08b13",6,4.43975070127465e-05
NaN,1,1500,"08b13",7,NaN
NaN,1,1500,"08b13",8,NaN
NaN,1,1500,"08b13",1,0
3.31195994171196e-05,1,1500,"08b13",2,0
4.72214911515076e-05,1,1500,"08b13",3,0
NaN,1,1500,"08b13",4,0
9.5934503818661e-05,1,1500,"08b13",5,0
NaN,1,1500,"08b13",6,3.49145563082942e-05
NaN,1,1500,"08b13",7,NaN
NaN,1,1500,"08b13",8,NaN
NaN,1,1500,"08b13",1,0
5.39238269355426e-05,1,1500,"08b13",2,0
NaN,1,1500,"08b13",3,0
NaN,1,1500,"08b13",4,0
NaN,1,1500,"08b13",5,0
0.000162350643331062,1,1500,"08b13",6,6.15706931923514e-05
NaN,1,1500,"08b13",7,NaN
NaN,1,1500,"08b13",8,NaN
NaN,1,1500,"08b13",1,0
5.01487909418757e-05,1,1500,"08b13",2,0
NaN,1,1500,"08b13",3,0
6.22644107346261e-05,1,1500,"08b13",4,0
NaN,1,1500,"08b13",5,0
NaN,1,1500,"08b13",6,0.000138238170390328
NaN,1,1500,"08b13",7,NaN
NaN,1,1500,"08b13",8,NaN
NaN,1,1500,"08b13",1,0
NaN,1,1500,"08b13",2,0
6.21603440082761e-05,1,1500,"08b13",3,0
NaN,1,1500,"08b13",4,0
9.14101789611928e-05,1,1500,"08b13",5,0
NaN,1,1500,"08b13",6,1.45369502985944e-05
NaN,1,1500,"08b13",7,NaN
NaN,1,1500,"08b13",8,NaN
NaN,1,1500,"08b13",1,0
4.91408877708194e-05,1,1500,"08b13",2,0
0.000118124517645816,1,1500,"08b13",3,0
NaN,1,1500,"08b13",4,0
6.49096005130461e-05,1,1500,"08b13",5,0
NaN,1,1500,"08b13",6,3.30443515804417e-05
NaN,1,1500,"08b13",7,NaN
NaN,1,1500,"08b13",8,NaN
NaN,1,1500,"08b13",1,0
3.14777589815792e-05,1,1500,"08b13",2,0
4.1565652584739e-05,1,1500,"08b13",3,0
NaN,1,1500,"08b13",4,0
6.89631576502845e-05,1,1500,"08b13",5,0
0.000130309187018083,1,1500,"08b13",6,0.000111778747329983
NaN,1,1500,"08b13",7,NaN
NaN,1,1500,"08b13",8,NaN
7.03196986956786e-05,1,1500,"08b13",1,0
2.40435651570428e-05,1,1500,"08b13",2,0
NaN,1,1500,"08b13",3,0
0.000156137382977638,1,1500,"08b13",4,0
3.77809428863469e-05,1,1500,"08b13",5,0
