PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec
NaN,1,1500,"08b13",1,0
2.67155597226356e-05,1,1500,"08b13",2,0
NaN,1,1500,"08b13",3,0
NaN,1,1500,"08b13",4,0
8.94017087117173e-05,1,1500,"08b13",5,0
1.55011854991012e-05,1,1500,"08b13",6,3.10621342615622e-06
NaN,1,1500,"08b13",7,NaN
NaN,1,1500,"08b13",8,NaN
2.80994026057677e-05,1,1500,"08b13",1,0
4.20974554245914e-05,1,1500,"08b13",2,0
NaN,1,1500,"08b13",3,0
4.67809029546946e-05,1,1500,"08b13",4,0
0.000138064288827899,1,1500,"08b13",5,0
NaN,1,1500,"08b13",6,3.04014758321906e-05
NaN,1,1500,"08b13",7,NaN
NaN,1,1500,"08b13",8,NaN
NaN,1,1500,"08b13",1,0
3.09330612420913e-05,1,1500,"08b13",2,0
NaN,1,1500,"08b13",3,0
NaN,1,1500,"08b13",4,0
9.84234188934557e-05,1,1500,"08b13",5,0
6.61650578889941e-05,1,1500,"08b13",6,6.02552633178015e-05
NaN,1,1500,"08b13",7,NaN
NaN,1,1500,"08b13",8,NaN
5.88357502904643e-05,1,1500,"08b13",1,0
6.87635712990393e-05,1,1500,"08b13",2,0
NaN,1,1500,"08b13",3,0
NaN,1,1500,"08b13",4,0
7.92585024187731e-05,1,1500,"08b13",5,0
NaN,1,1500,"08b13",6,5.79422177674737e-05
NaN,1,1500,"08b13",7,NaN
NaN,1,1500,"08b13",8,NaN
NaN,1,1500,"08b13",1,0
NaN,1,1500,"08b13",2,0
NaN,1,1500,"08b13",3,0
NaN,1,1500,"08b13",4,0
4.23032247210406e-05,1,1500,"08b13",5,0
3.23347971740727e-05,1,1500,"08b13",6,3.24750440192622e-05
NaN,1,1500,"08b13",7,NaN
NaN,1,1500,"08b13",8,NaN
NaN,1,1500,"08b13",1,0
4.18136327671019e-05,1,1500,"08b13",2,0
NaN,1,1500,"08b13",3,0
NaN,1,1500,"08b13",4,0
5.18320363463571e-05,1,1500,"08b13",5,0
NaN,1,1500,"08b13",6,1.98979151746848e-05
NaN,1,1500,"08b13",7,NaN
NaN,1,1500,"08b13",8,NaN
NaN,1,1500,"08b13",1,0
3.25131762593773e-05,1,1500,"08b13",2,0
NaN,1,1500,"08b13",3,0
NaN,1,1500,"08b13",4,0
2.89691322362107e-05,1,1500,"08b13",5,0
NaN,1,1500,"08b13",6,2.45557198443681e-05
NaN,1,1500,"08b13",7,NaN
NaN,1,1500,"08b13",8,NaN
NaN,1,1500,"08b13",1,0
