PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec
NaN,1,1000,"2e114",1,2.38757181683568e-05
1.03220150136044e-05,1,1000,"2e114",2,0
9.59276947916926e-06,1,1000,"2e114",3,5.70196506595646e-06
2.71735458579283e-05,1,1000,"2e114",4,2.71322728006695e-05
NaN,1,1000,"2e114",5,NaN
NaN,1,1000,"2e114",6,NaN
2.27004485452814e-06,1,1000,"2e114",7,0
NaN,1,1000,"2e114",8,1.15235951224479e-05
1.44570415197707e-05,1,1000,"2e114",1,1.33593131403934e-05
8.13179986703113e-06,1,1000,"2e114",2,0
7.24391335769142e-06,1,1000,"2e114",3,2.81192816293046e-08
1.99705475049413e-05,1,1000,"2e114",4,1.55656141418686e-05
NaN,1,1000,"2e114",5,NaN
NaN,1,1000,"2e114",6,NaN
1.01309045731264e-05,1,1000,"2e114",7,0
1.1801850891393e-05,1,1000,"2e114",8,3.87970380690033e-06
NaN,1,1000,"2e114",1,9.45184684883733e-07
4.23359630888385e-06,1,1000,"2e114",2,0
1.9330367906119e-05,1,1000,"2e114",3,2.71856821815795e-07
2.89875336217474e-05,1,1000,"2e114",4,2.24826250557241e-05
NaN,1,1000,"2e114",5,NaN
NaN,1,1000,"2e114",6,NaN
1.76128651302232e-05,1,1000,"2e114",7,0
2.56792176955877e-05,1,1000,"2e114",8,2.06108333188674e-05
1.17459426098476e-05,1,1000,"2e114",1,5.28416976400232e-06
1.59962750227527e-05,1,1000,"2e114",2,0
1.06161121402796e-05,1,1000,"2e114",3,7.21800509899948e-06
1.39161512975389e-05,1,1000,"2e114",4,9.02411664317913e-06
NaN,1,1000,"2e114",5,NaN
NaN,1,1000,"2e114",6,NaN
7.9955094322029e-06,1,1000,"2e114",7,0
NaN,1,1000,"2e114",8,3.26822197533128e-05
6.90539873821182e-06,1,1000,"2e114",1,2.55411596678322e-06
7.53264018921765e-06,1,1000,"2e114",2,0
1.74708032922471e-05,1,1000,"2e114",3,1.63811279055811e-05
2.17357044975565e-05,1,1000,"2e114",4,1.87031256356581e-05
NaN,1,1000,"2e114",5,NaN
NaN,1,1000,"2e114",6,NaN
2.03903761791813e-05,1,1000,"2e114",7,0
3.70010155314613e-06,1,1000,"2e114",8,5.26172345580578e-05
