PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec
6.93327264674542e-05,1,2000,"3d413",1,1.8754487407081e-05
7.59472123975073e-05,1,2000,"3d413",2,1.39031770006329e-05
7.55895257409904e-05,1,2000,"3d413",3,1.44657853313948e-05
5.10701221013698e-05,1,2000,"3d413",4,1.09827419123569e-05
4.60362005325948e-05,1,2000,"3d413",5,1.58321540246291e-05
0.00015337327003251,1,2000,"3d413",6,0.000146651652186401
NaN,1,2000,"3d413",7,NaN
NaN,1,2000,"3d413",8,NaN
5.09135026918764e-05,1,2000,"3d413",1,2.18529292257835e-05
5.03136579498976e-05,1,2000,"3d413",2,1.93365237496021e-05
4.94407780601931e-05,1,2000,"3d413",3,2.41533321129544e-05
4.76193050061951e-05,1,2000,"3d413",4,2.00809832000259e-05
5.10217788722827e-05,1,2000,"3d413",5,1.02645522852e-05
9.01722992000987e-05,1,2000,"3d413",6,6.78838413599777e-05
NaN,1,2000,"3d413",7,NaN
NaN,1,2000,"3d413",8,NaN
5.69379329380504e-05,1,2000,"3d413",1,2.37672554013212e-06
5.61497863399758e-05,1,2000,"3d413",2,2.99730219468511e-05
5.73909330025603e-05,1,2000,"3d413",3,2.56339034855447e-05
6.95727251946307e-05,1,2000,"3d413",4,1.7676938819294e-05
5.28500205173222e-05,1,2000,"3d413",5,2.13760318496748e-05
8.24317832932095e-05,1,2000,"3d413",6,3.73078059833287e-05
NaN,1,2000,"3d413",7,NaN
NaN,1,2000,"3d413",8,NaN
4.61944429480702e-05,1,2000,"3d413",1,2.23409036867449e-05
4.39798216357238e-05,1,2000,"3d413",2,3.2505557387522e-05
5.29188211698654e-05,1,2000,"3d413",3,4.36150870153276e-05
6.01599273400073e-05,1,2000,"3d413",4,4.80765299803995e-05
6.58425515628406e-05,1,2000,"3d413",5,4.30379561939442e-05
0.00011737246455957,1,2000,"3d413",6,0.000113939812538355
NaN,1,2000,"3d413",7,NaN
NaN,1,2000,"3d413",8,NaN
6.0428660154552e-05,1,2000,"3d413",1,4.27226047115869e-05
5.1739578803125e-05,1,2000,"3d413",2,4.3647941963564e-05
5.12883069657765e-05,1,2000,"3d413",3,5.03060466278388e-05
