PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec
3.44606671922819e-05,1,5500,"41a73",1,7.37594388050729e-06
5.83907303725557e-05,1,5500,"41a73",2,3.03655631300748e-05
5.78882579692394e-05,1,5500,"41a73",3,5.27595733030244e-05
0.000131103447436332,1,5500,"41a73",4,0.000123342096296593
0.000159415633288078,1,5500,"41a73",5,7.70025678642544e-05
NaN,1,5500,"41a73",6,NaN
NaN,1,5500,"41a73",7,NaN
NaN,1,5500,"41a73",8,0
NaN,1,5500,"41a73",1,2.11180078778905e-05
NaN,1,5500,"41a73",2,3.62306070914754e-05
8.48942786861742e-05,1,5500,"41a73",3,5.6800964055272e-05
0.000103961570377251,1,5500,"41a73",4,9.84490814450203e-05
0.000100849468856135,1,5500,"41a73",5,6.68138701537987e-05
NaN,1,5500,"41a73",6,NaN
NaN,1,5500,"41a73",7,NaN
NaN,1,5500,"41a73",8,0
NaN,1,5500,"41a73",1,2.97678147586303e-06
NaN,1,5500,"41a73",2,1.56311921946191e-05
NaN,1,5500,"41a73",3,2.81940646603326e-05
NaN,1,5500,"41a73",4,4.23706194906344e-05
6.90214239186247e-05,1,5500,"41a73",5,5.62179115248477e-05
NaN,1,5500,"41a73",6,NaN
NaN,1,5500,"41a73",7,NaN
1.50296301168305e-05,1,5500,"41a73",8,0
3.48861098290475e-05,1,5500,"41a73",1,2.51708260087187e-05
4.4511390476439e-05,1,5500,"41a73",2,4.25564993033792e-05
6.56416957959547e-05,1,5500,"41a73",3,6.12580941727657e-05
0.000108215661694256,1,5500,"41a73",4,0.000101828786847346
0.000249910016838177,1,5500,"41a73",5,5.27680541636985e-05
NaN,1,5500,"41a73",6,NaN
NaN,1,5500,"41a73",7,NaN
NaN,1,5500,"41a73",8,0
3.11397225447054e-05,1,5500,"41a73",1,1.25049847085181e-05
3.43106541519453e-05,1,5500,"41a73",2,2.47032669566351e-05
3.97058586973939e-05,1,5500,"41a73",3,2.97248415923544e-05
4.74877128779974e-05,1,5500,"41a73",4,4.44123485848674e-05
7.68074764106438e-05,1,5500,"41a73",5,4.77050812542508e-05
NaN,1,5500,"41a73",6,NaN
