PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec
2.1449726365893e-05,1,5500,"41a73",1,1.04902444114203e-05
2.84856382686361e-05,1,5500,"41a73",2,2.74091208053898e-05
4.73258444297701e-05,1,5500,"41a73",3,4.59182006728763e-05
8.82759988787037e-05,1,5500,"41a73",4,8.80539324107492e-05
6.80540741647281e-05,1,5500,"41a73",5,6.66781165143002e-05
NaN,1,5500,"41a73",6,NaN
NaN,1,5500,"41a73",7,NaN
NaN,1,5500,"41a73",8,0
3.06535328718631e-05,1,5500,"41a73",1,2.02476693075404e-05
3.4284144869431e-05,1,5500,"41a73",2,3.293476169881e-05
4.58460769209384e-05,1,5500,"41a73",3,4.3141498442779e-05
6.63520881761637e-05,1,5500,"41a73",4,6.57313185826944e-05
0.000108038246636636,1,5500,"41a73",5,5.13680078926749e-05
NaN,1,5500,"41a73",6,NaN
NaN,1,5500,"41a73",7,NaN
NaN,1,5500,"41a73",8,0
2.81729114828173e-05,1,5500,"41a73",1,1.81375858598047e-05
3.28464407458106e-05,1,5500,"41a73",2,3.01127388205724e-05
4.78642049209455e-05,1,5500,"41a73",3,4.24726562170384e-05
8.05909681638978e-05,1,5500,"41a73",4,7.85457595485212e-05
0.000156524395145551,1,5500,"41a73",5,5.8163938681238e-05
NaN,1,5500,"41a73",6,NaN
NaN,1,5500,"41a73",7,NaN
NaN,1,5500,"41a73",8,0
2.99326872385253e-05,1,5500,"41a73",1,9.45360508350199e-06
3.78192189457799e-05,1,5500,"41a73",2,1.1876207026955e-05
4.45737445019577e-05,1,5500,"41a73",3,2.32083374646287e-05
7.3758413434362e-05,1,5500,"41a73",4,4.12765941269382e-05
4.26008886070167e-05,1,5500,"41a73",5,3.86930568179003e-05
NaN,1,5500,"41a73",6,NaN
NaN,1,5500,"41a73",7,NaN
2.09847395197231e-05,1,5500,"41a73",8,0
1.57584857701134e-05,1,5500,"41a73",1,1.18773650682867e-05
2.34860334790665e-05,1,5500,"41a73",2,2.08653309259684e-05
3.56596358594419e-05,1,5500,"41a73",3,3.36871693886324e-05
6.15274980075028e-05,1,5500,"41a73",4,6.14205782795456e-05
5.71300810796651e-05,1,5500,"41a73",5,5.34824931995121e-05
NaN,1,5500,"41a73",6,NaN
NaN,1,5500,"41a73",7,NaN
NaN,1,5500,"41a73",8,0
2.66229769760794e-05,1,5500,"41a73",1,2.17436039373925e-05
