PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec
1.27653334184231e-05,1,5500,"68574",1,6.57434666832395e-06
1.06529698911045e-05,1,5500,"68574",2,7.65515747122548e-06
2.2076880962126e-05,1,5500,"68574",3,1.66986536527351e-05
8.02017940765055e-05,1,5500,"68574",4,7.54493710248592e-05
NaN,1,5500,"68574",5,NaN
NaN,1,5500,"68574",6,NaN
7.18659003640053e-06,1,5500,"68574",7,3.92166707308143e-06
3.89180357945758e-05,1,5500,"68574",8,3.36432123368633e-05
2.47835776706542e-05,1,5500,"68574",1,2.414208107282e-05
2.93967786099944e-05,1,5500,"68574",2,2.87057287213594e-05
3.67495659485612e-05,1,5500,"68574",3,3.62539691556451e-05
8.61369754154415e-05,1,5500,"68574",4,8.60643982432454e-05
NaN,1,5500,"68574",5,NaN
NaN,1,5500,"68574",6,NaN
4.82005577750341e-05,1,5500,"68574",7,1.41066132388694e-05
1.45793880840236e-05,1,5500,"68574",8,7.90351576780881e-06
1.0149148790165e-05,1,5500,"68574",1,1.24731111957411e-05
2.09698616663267e-05,1,5500,"68574",2,2.09084693109229e-05
3.41812178404583e-05,1,5500,"68574",3,3.41188942895552e-05
7.43699474032428e-05,1,5500,"68574",4,7.04324119632038e-05
NaN,1,5500,"68574",5,NaN
NaN,1,5500,"68574",6,NaN
1.52179751781916e-05,1,5500,"68574",7,5.01553977597069e-06
2.40935025520592e-05,1,5500,"68574",8,1.66858813899643e-05
8.94765837439434e-06,1,5500,"68574",1,6.29818345464154e-06
1.57343113272708e-05,1,5500,"68574",2,7.99826303647809e-06
2.40078466760811e-05,1,5500,"68574",3,1.79061431960804e-05
8.46545960525364e-05,1,5500,"68574",4,6.48006217069046e-05
NaN,1,5500,"68574",5,NaN
NaN,1,5500,"68574",6,NaN
8.61809385943547e-06,1,5500,"68574",7,7.14752337210038e-06
3.49886265587625e-05,1,5500,"68574",8,1.25742054977858e-05
1.88621079082847e-05,1,5500,"68574",1,1.83813311038628e-05
2.3883046281301e-05,1,5500,"68574",2,2.34350169170267e-05
3.91432151711022e-05,1,5500,"68574",3,3.81955469211207e-05
9.19088948744111e-05,1,5500,"68574",4,8.99094755935083e-05
NaN,1,5500,"68574",5,NaN
NaN,1,5500,"68574",6,NaN
1.27800088984095e-05,1,5500,"68574",7,4.10540927998347e-06
2.70837413911804e-05,1,5500,"68574",8,1.71313953976985e-05
