PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec
4.32548344077217e-05,1,5500,"68574",1,3.73771964076744e-06
1.71674943945537e-05,1,5500,"68574",2,6.73496566399597e-06
1.31621204107644e-05,1,5500,"68574",3,5.1048602968872e-06
6.98923609455703e-05,1,5500,"68574",4,6.25866197837873e-05
NaN,1,5500,"68574",5,NaN
NaN,1,5500,"68574",6,NaN
3.25015780009885e-05,1,5500,"68574",7,2.63864045582477e-05
0.000139420586648126,1,5500,"68574",8,7.91657101808344e-05
2.70467082361557e-05,1,5500,"68574",1,8.7372387998869e-06
7.59137352675847e-05,1,5500,"68574",2,6.72235855008285e-06
8.51073016533698e-05,1,5500,"68574",3,6.02167359131252e-06
0.00010208770778156,1,5500,"68574",4,6.96200095827562e-05
NaN,1,5500,"68574",5,NaN
NaN,1,5500,"68574",6,NaN
3.31656347619336e-05,1,5500,"68574",7,2.51450315296268e-06
5.1679866922846e-05,1,5500,"68574",8,2.83909481955916e-05
1.34130765538438e-05,1,5500,"68574",1,1.23550525268343e-05
1.72020165692578e-05,1,5500,"68574",2,1.59057593095383e-05
2.54934532688616e-05,1,5500,"68574",3,2.4944884595883e-05
7.2248393819009e-05,1,5500,"68574",4,6.38809484173362e-05
NaN,1,5500,"68574",5,NaN
NaN,1,5500,"68574",6,NaN
3.31477024309485e-05,1,5500,"68574",7,3.49471315871137e-07
3.33983498732377e-05,1,5500,"68574",8,8.39356665060253e-07
1.83923419052873e-05,1,5500,"68574",1,1.16864831042875e-05
2.22196332796415e-05,1,5500,"68574",2,6.02827379373403e-06
2.1118201798002e-05,1,5500,"68574",3,2.06012340669022e-05
7.23606518795859e-05,1,5500,"68574",4,6.59785216116419e-05
NaN,1,5500,"68574",5,NaN
NaN,1,5500,"68574",6,NaN
1.76084055446807e-05,1,5500,"68574",7,5.10211920212884e-06
4.40644420208287e-05,1,5500,"68574",8,6.0424536277642e-05
1.65076682125893e-05,1,5500,"68574",1,2.13051561511523e-05
3.21499683487275e-05,1,5500,"68574",2,2.97990784669339e-05
5.96575635480727e-05,1,5500,"68574",3,3.88639628953157e-05
0.000119215927761739,1,5500,"68574",4,0.000115180755728775
NaN,1,5500,"68574",5,NaN
NaN,1,5500,"68574",6,NaN
7.87885646483072e-06,1,5500,"68574",7,4.53992445954548e-06
7.5205825378952e-06,1,5500,"68574",8,6.30414348904936e-06
3.69511434593478e-05,1,5500,"68574",1,1.67425963103142e-05
6.33884294575668e-05,1,5500,"68574",2,3.87028428277487e-05
6.91238264034486e-05,1,5500,"68574",3,4.94459813290145e-05
0.000242000969335923,1,5500,"68574",4,0.00011465233048195
NaN,1,5500,"68574",5,NaN
NaN,1,5500,"68574",6,NaN
0.00013890156418554,1,5500,"68574",7,2.93771078261319e-05
3.82136509644615e-05,1,5500,"68574",8,3.4566181911406e-06
3.53774594571889e-05,1,5500,"68574",1,3.41089006967118e-05
2.86375166772046e-05,1,5500,"68574",2,2.03341531776033e-05
2.4050696507654e-05,1,5500,"68574",3,2.01798844272729e-05
6.52703338482998e-05,1,5500,"68574",4,6.3686299231492e-05
NaN,1,5500,"68574",5,NaN
NaN,1,5500,"68574",6,NaN
7.13761951477314e-05,1,5500,"68574",7,1.0624727518211e-06
6.607270969425e-05,1,5500,"68574",8,2.52541930844192e-05
2.31400902548845e-05,1,5500,"68574",1,2.26464292113054e-05
2.81794055364185e-05,1,5500,"68574",2,2.77361479023419e-05
3.96699359772258e-05,1,5500,"68574",3,3.87111378530144e-05
0.000105405076926421,1,5500,"68574",4,8.21889127431886e-05
NaN,1,5500,"68574",5,NaN
NaN,1,5500,"68574",6,NaN
1.20264764458148e-05,1,5500,"68574",7,1.39287681042342e-05
1.11939501858773e-05,1,5500,"68574",8,4.7257930014495e-06
2.7902705212501e-05,1,5500,"68574",1,2.3129975729976e-05
3.78278944435285e-05,1,5500,"68574",2,2.88308575800375e-05
5.0508743972495e-05,1,5500,"68574",3,3.89110671519754e-05
0.000105832279765191,1,5500,"68574",4,8.83821326332533e-05
NaN,1,5500,"68574",5,NaN
NaN,1,5500,"68574",6,NaN
5.07554567660035e-05,1,5500,"68574",7,2.18265766194006e-05
2.23231549966256e-05,1,5500,"68574",8,8.68376800906136e-06
2.58453657647922e-05,1,5500,"68574",1,2.40825034157926e-05
3.00237855287142e-05,1,5500,"68574",2,2.79246421190653e-05
3.53500376183417e-05,1,5500,"68574",3,3.40217750169486e-05
8.93239227116257e-05,1,5500,"68574",4,8.14123161263431e-05
NaN,1,5500,"68574",5,NaN
NaN,1,5500,"68574",6,NaN
1.53081574373347e-05,1,5500,"68574",7,4.33814089275926e-06
1.2007283378333e-05,1,5500,"68574",8,2.87075627190277e-05
1.23220665193441e-05,1,5500,"68574",1,1.10298465889276e-05
2.25582657922409e-05,1,5500,"68574",2,2.18993880941429e-05
4.10960736260575e-05,1,5500,"68574",3,4.02452750966074e-05
8.78800297359896e-05,1,5500,"68574",4,8.26222524910755e-05
NaN,1,5500,"68574",5,NaN
NaN,1,5500,"68574",6,NaN
6.68410025690482e-05,1,5500,"68574",7,1.03643676714488e-05
2.8640777930588e-05,1,5500,"68574",8,1.73910787875218e-05
2.73139191934807e-05,1,5500,"68574",1,1.88262287604579e-05
