PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec
NaN,1,5500,"68574",1,0
1.62723431879568e-05,1,5500,"68574",2,0
2.2076880962126e-05,1,5500,"68574",3,0
8.02017940765056e-05,1,5500,"68574",4,7.54493710248593e-05
NaN,1,5500,"68574",5,NaN
NaN,1,5500,"68574",6,NaN
NaN,1,5500,"68574",7,0
NaN,1,5500,"68574",8,0
NaN,1,5500,"68574",1,0
NaN,1,5500,"68574",2,0
NaN,1,5500,"68574",3,0
NaN,1,5500,"68574",4,8.60643982432454e-05
NaN,1,5500,"68574",5,NaN
NaN,1,5500,"68574",6,NaN
4.82005577750342e-05,1,5500,"68574",7,0
NaN,1,5500,"68574",8,0
NaN,1,5500,"68574",1,0
NaN,1,5500,"68574",2,0
3.41812178404583e-05,1,5500,"68574",3,0
8.85314809254716e-05,1,5500,"68574",4,7.04324119632037e-05
NaN,1,5500,"68574",5,NaN
NaN,1,5500,"68574",6,NaN
NaN,1,5500,"68574",7,0
NaN,1,5500,"68574",8,0
NaN,1,5500,"68574",1,0
NaN,1,5500,"68574",2,0
2.55228695170724e-05,1,5500,"68574",3,0
8.71487261163444e-05,1,5500,"68574",4,6.48006217069045e-05
NaN,1,5500,"68574",5,NaN
NaN,1,5500,"68574",6,NaN
NaN,1,5500,"68574",7,0
NaN,1,5500,"68574",8,0
NaN,1,5500,"68574",1,0
NaN,1,5500,"68574",2,0
3.91432151711022e-05,1,5500,"68574",3,0
0.000100851340091879,1,5500,"68574",4,8.99094755935083e-05
NaN,1,5500,"68574",5,NaN
NaN,1,5500,"68574",6,NaN
NaN,1,5500,"68574",7,0
NaN,1,5500,"68574",8,0
NaN,1,5500,"68574",1,0
NaN,1,5500,"68574",2,0
NaN,1,5500,"68574",3,0
7.7096233837325e-05,1,5500,"68574",4,5.14892869118855e-05
NaN,1,5500,"68574",5,NaN
NaN,1,5500,"68574",6,NaN
NaN,1,5500,"68574",7,0
NaN,1,5500,"68574",8,0
NaN,1,5500,"68574",1,0
NaN,1,5500,"68574",2,0
NaN,1,5500,"68574",3,0
8.39319225736537e-05,1,5500,"68574",4,7.88530477316222e-05
NaN,1,5500,"68574",5,NaN
NaN,1,5500,"68574",6,NaN
NaN,1,5500,"68574",7,0
NaN,1,5500,"68574",8,0
NaN,1,5500,"68574",1,0
NaN,1,5500,"68574",2,0
NaN,1,5500,"68574",3,0
2.69491524296508e-05,1,5500,"68574",4,6.59065608325771e-05
NaN,1,5500,"68574",5,NaN
NaN,1,5500,"68574",6,NaN
5.9458647479354e-05,1,5500,"68574",7,0
NaN,1,5500,"68574",8,0
NaN,1,5500,"68574",1,0
