PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec
5.20663917959009e-07,1,3000,"8e907",1,8.63942808590656e-06
NaN,1,3000,"8e907",2,1.04093705742435e-05
1.39513604084681e-06,1,3000,"8e907",3,7.06438280657832e-06
1.7466507383336e-05,1,3000,"8e907",4,1.54519052293175e-05
0.00017571851201954,1,3000,"8e907",5,0.000172980774947532
NaN,1,3000,"8e907",6,NaN
NaN,1,3000,"8e907",7,NaN
NaN,1,3000,"8e907",8,0
8.9095260749017e-06,1,3000,"8e907",1,6.90880313802412e-06
1.16488736287369e-05,1,3000,"8e907",2,9.16974226701064e-06
1.41357786825438e-05,1,3000,"8e907",3,9.34698055625332e-06
1.67322414512732e-05,1,3000,"8e907",4,1.45837287052122e-05
7.16976708349932e-05,1,3000,"8e907",5,7.08005097881867e-05
NaN,1,3000,"8e907",6,NaN
NaN,1,3000,"8e907",7,NaN
7.93305583746072e-06,1,3000,"8e907",8,0
NaN,1,3000,"8e907",1,1.26944143828548e-05
1.60350721086921e-05,1,3000,"8e907",2,1.6092452108616e-06
2.01358102568749e-05,1,3000,"8e907",3,1.15096589189335e-05
2.07077862126897e-05,1,3000,"8e907",4,1.81181242892634e-05
9.36310526325939e-05,1,3000,"8e907",5,7.78399964206748e-05
NaN,1,3000,"8e907",6,NaN
NaN,1,3000,"8e907",7,NaN
7.90406804766232e-06,1,3000,"8e907",8,0
0.000128107731878887,1,3000,"8e907",1,8.94040722393238e-05
0.00011657686304532,1,3000,"8e907",2,1.80721652170359e-05
0.000127620131446316,1,3000,"8e907",3,6.41268086225536e-05
0.000119340786508826,1,3000,"8e907",4,3.55833380779101e-05
7.64733095751287e-05,1,3000,"8e907",5,5.88524235554143e-05
NaN,1,3000,"8e907",6,NaN
NaN,1,3000,"8e907",7,NaN
8.68766232364311e-05,1,3000,"8e907",8,0
6.42031630346231e-06,1,3000,"8e907",1,8.16486585967659e-07
4.73511133337966e-06,1,3000,"8e907",2,2.02836142300951e-05
4.99532245788326e-06,1,3000,"8e907",3,1.26030217596102e-06
8.38002381647163e-06,1,3000,"8e907",4,4.68713633531639e-06
4.97223914655226e-05,1,3000,"8e907",5,4.87355835316727e-05
NaN,1,3000,"8e907",6,NaN
NaN,1,3000,"8e907",7,NaN
1.34913839196033e-05,1,3000,"8e907",8,0
6.01318033669153e-06,1,3000,"8e907",1,3.1479150812871e-06
7.45990159240246e-06,1,3000,"8e907",2,6.71605441326279e-06
8.81679847758101e-06,1,3000,"8e907",3,1.26081980306353e-06
6.25118642184994e-06,1,3000,"8e907",4,1.58650312072615e-06
6.09121291901465e-05,1,3000,"8e907",5,5.93846767714253e-05
NaN,1,3000,"8e907",6,NaN
NaN,1,3000,"8e907",7,NaN
5.17242584502928e-06,1,3000,"8e907",8,0
2.83505632274202e-06,1,3000,"8e907",1,2.7839064324739e-05
NaN,1,3000,"8e907",2,1.85673104188594e-05
1.21162718565602e-05,1,3000,"8e907",3,7.7635637746203e-06
8.79817505371075e-06,1,3000,"8e907",4,2.66429955544244e-06
9.62385375095175e-05,1,3000,"8e907",5,9.5040592865674e-05
NaN,1,3000,"8e907",6,NaN
NaN,1,3000,"8e907",7,NaN
9.21869333466979e-07,1,3000,"8e907",8,0
NaN,1,3000,"8e907",1,1.85837483377886e-05
NaN,1,3000,"8e907",2,2.76569711187033e-05
3.11895850316978e-06,1,3000,"8e907",3,1.31488706111771e-07
2.0879262328864e-05,1,3000,"8e907",4,1.77944661351482e-05
0.000161805222416853,1,3000,"8e907",5,0.000152844616487386
NaN,1,3000,"8e907",6,NaN
NaN,1,3000,"8e907",7,NaN
1.14642845640357e-05,1,3000,"8e907",8,0
5.87148798625151e-06,1,3000,"8e907",1,1.96936062816568e-06
7.05261093207968e-06,1,3000,"8e907",2,1.22448662081115e-05
5.48457344559788e-06,1,3000,"8e907",3,2.64821117187345e-06
8.48847982109223e-07,1,3000,"8e907",4,1.03001613382891e-05
