PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec
NaN,1,3000,"8e907",1,0
NaN,1,3000,"8e907",2,0
NaN,1,3000,"8e907",3,0
1.7466507383336e-05,1,3000,"8e907",4,0
0.00017571851201954,1,3000,"8e907",5,0.000172980774947532
NaN,1,3000,"8e907",6,NaN
NaN,1,3000,"8e907",7,NaN
NaN,1,3000,"8e907",8,0
NaN,1,3000,"8e907",1,0
NaN,1,3000,"8e907",2,0
NaN,1,3000,"8e907",3,0
2.27319310691127e-05,1,3000,"8e907",4,0
0.000162811714950138,1,3000,"8e907",5,7.08005097881868e-05
NaN,1,3000,"8e907",6,NaN
NaN,1,3000,"8e907",7,NaN
NaN,1,3000,"8e907",8,0
NaN,1,3000,"8e907",1,0
NaN,1,3000,"8e907",2,0
NaN,1,3000,"8e907",3,0
0.000178723310571849,1,3000,"8e907",4,0
0.000246265444648189,1,3000,"8e907",5,7.78399964206748e-05
NaN,1,3000,"8e907",6,NaN
NaN,1,3000,"8e907",7,NaN
NaN,1,3000,"8e907",8,0
0.000128107731878887,1,3000,"8e907",1,0
0.00011657686304532,1,3000,"8e907",2,0
0.000127620131446316,1,3000,"8e907",3,0
NaN,1,3000,"8e907",4,0
7.64733095751287e-05,1,3000,"8e907",5,5.88524235554143e-05
NaN,1,3000,"8e907",6,NaN
NaN,1,3000,"8e907",7,NaN
8.23172205089147e-05,1,3000,"8e907",8,0
NaN,1,3000,"8e907",1,0
NaN,1,3000,"8e907",2,0
NaN,1,3000,"8e907",3,0
NaN,1,3000,"8e907",4,0
0.000155695260936557,1,3000,"8e907",5,4.87355835316726e-05
NaN,1,3000,"8e907",6,NaN
NaN,1,3000,"8e907",7,NaN
NaN,1,3000,"8e907",8,0
NaN,1,3000,"8e907",1,0
NaN,1,3000,"8e907",2,0
NaN,1,3000,"8e907",3,0
NaN,1,3000,"8e907",4,0
0.000179166378519826,1,3000,"8e907",5,5.93846767714254e-05
NaN,1,3000,"8e907",6,NaN
NaN,1,3000,"8e907",7,NaN
NaN,1,3000,"8e907",8,0
NaN,1,3000,"8e907",1,0
NaN,1,3000,"8e907",2,0
NaN,1,3000,"8e907",3,0
NaN,1,3000,"8e907",4,0
9.62385375095174e-05,1,3000,"8e907",5,9.5040592865674e-05
NaN,1,3000,"8e907",6,NaN
