PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec
3.61191725270421e-05,2,3000,"9f852",1,2.74268361104169e-06
2.60776587895229e-05,2,3000,"9f852",2,2.32938000466766e-06
3.13065986074428e-05,2,3000,"9f852",3,9.81224719718988e-06
5.16084349732228e-05,2,3000,"9f852",4,5.82738773922764e-05
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
4.11056529252612e-05,2,3000,"9f852",7,2.51873794803392e-06
3.52309470458541e-05,2,3000,"9f852",8,7.61855767777625e-06
3.68693038268204e-05,2,3000,"9f852",1,1.09287835821885e-05
3.55278914891448e-05,2,3000,"9f852",2,1.28274100459919e-05
4.00597713572922e-05,2,3000,"9f852",3,1.30974842231347e-05
3.35310350298502e-05,2,3000,"9f852",4,2.29012596418732e-05
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
2.49330675529405e-05,2,3000,"9f852",7,5.53238539579242e-06
2.68621361898977e-05,2,3000,"9f852",8,1.45669218495177e-05
3.00579466300946e-05,2,3000,"9f852",1,1.46933893728522e-05
2.57452694437213e-05,2,3000,"9f852",2,1.06962119368012e-05
3.18404680257113e-05,2,3000,"9f852",3,1.48704358416971e-05
3.91667522080653e-05,2,3000,"9f852",4,4.05481976919187e-05
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
4.05298656095958e-05,2,3000,"9f852",7,2.22273633943344e-05
3.29944238921448e-05,2,3000,"9f852",8,1.2131773148902e-05
3.06007426351759e-05,2,3000,"9f852",1,1.95302076509524e-05
2.70771449362562e-05,2,3000,"9f852",2,1.31634707103245e-05
3.1977872164773e-05,2,3000,"9f852",3,1.34064639256205e-05
3.11331402704902e-05,2,3000,"9f852",4,4.83794529024033e-05
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
3.027812530053e-05,2,3000,"9f852",7,1.77328520020223e-05
3.43649994647272e-05,2,3000,"9f852",8,1.91539885924162e-05
2.95934929739429e-05,2,3000,"9f852",1,9.37707008655835e-06
2.19261482423597e-05,2,3000,"9f852",2,9.74828070356474e-07
2.91206438919043e-05,2,3000,"9f852",3,1.54176802660444e-07
3.39416767229444e-05,2,3000,"9f852",4,2.6932984130573e-05
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
3.18632036409477e-05,2,3000,"9f852",7,8.1099824002904e-06
2.65171202520827e-05,2,3000,"9f852",8,5.17885896824246e-06
2.35546121934506e-05,2,3000,"9f852",1,1.08873759911398e-05
1.99143414925416e-05,2,3000,"9f852",2,8.89395500119013e-06
2.56776018025376e-05,2,3000,"9f852",3,1.34216412478629e-05
2.75137047375532e-05,2,3000,"9f852",4,8.83011310467762e-07
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
3.31766993627973e-05,2,3000,"9f852",7,1.35430327017614e-06
2.87827095024235e-05,2,3000,"9f852",8,2.85047003055121e-05
2.70325186061278e-05,2,3000,"9f852",1,6.11396244920207e-06
2.24565680782774e-05,2,3000,"9f852",2,9.47953071081873e-06
2.49522446381988e-05,2,3000,"9f852",3,1.17855331343579e-05
3.15992339087411e-05,2,3000,"9f852",4,2.23425323742774e-05
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
3.34238770877786e-05,2,3000,"9f852",7,1.9518041715111e-05
2.856229627063e-05,2,3000,"9f852",8,6.36752544327852e-06
3.26760237113923e-05,2,3000,"9f852",1,3.05838734583358e-05
2.65903218717829e-05,2,3000,"9f852",2,2.77899006231133e-05
2.64727015962211e-05,2,3000,"9f852",3,2.49773447193302e-05
4.87487037785989e-05,2,3000,"9f852",4,6.73093464696038e-05
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
2.3138803597574e-05,2,3000,"9f852",7,2.22965308815867e-05
6.48991793855003e-05,2,3000,"9f852",8,4.66111786134888e-05
3.76784686745402e-05,2,3000,"9f852",1,3.3898930135154e-05
2.49294807281019e-05,2,3000,"9f852",2,3.01328045240326e-05
3.09800676080207e-05,2,3000,"9f852",3,2.93599312547381e-05
3.84969371485348e-05,2,3000,"9f852",4,5.59822109878676e-05
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
3.24966967902489e-05,2,3000,"9f852",7,1.49910769099252e-05
3.96582572242504e-05,2,3000,"9f852",8,3.67013872578519e-05
3.34792259391203e-05,2,3000,"9f852",1,1.63169541950434e-05
2.83855109786292e-05,2,3000,"9f852",2,1.41861246744593e-05
3.44926245267454e-05,2,3000,"9f852",3,1.52216740409046e-05
4.43085361489564e-05,2,3000,"9f852",4,5.92026712078858e-05
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
2.83325497518314e-05,2,3000,"9f852",7,3.79128261368308e-06
3.48938411791119e-05,2,3000,"9f852",8,2.8564999936631e-05
2.4895335936205e-05,2,3000,"9f852",1,1.27553227305729e-06
2.53517499127141e-05,2,3000,"9f852",2,3.37084103359285e-06
2.7718080479091e-05,2,3000,"9f852",3,8.57452978922401e-07
4.23148928666727e-05,2,3000,"9f852",4,3.85636344362223e-05
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
3.24669373428426e-05,2,3000,"9f852",7,5.67022064559459e-07
3.22668519662294e-05,2,3000,"9f852",8,1.31945973305221e-05
2.61858506786152e-05,2,3000,"9f852",1,3.43254939060595e-07
1.96243511141941e-05,2,3000,"9f852",2,5.44304104608676e-07
2.74117880193623e-05,2,3000,"9f852",3,2.24952053495866e-06
4.42292295846268e-05,2,3000,"9f852",4,3.58946605054532e-05
NaN,2,3000,"9f852",5,NaN
