PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec
6.91896527199991e-05,2,3000,"9f852",1,0
6.80562273584819e-05,2,3000,"9f852",2,0
9.7520506104147e-05,2,3000,"9f852",3,0
9.92452309989432e-05,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
8.74522869567551e-05,2,3000,"9f852",7,0
6.87544046174004e-05,2,3000,"9f852",8,0
2.42149273826724e-05,2,3000,"9f852",1,0
1.90150009886247e-05,2,3000,"9f852",2,0
2.67916293491651e-05,2,3000,"9f852",3,0
5.49650307328917e-05,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
3.43956675060706e-05,2,3000,"9f852",7,0
8.24949673129057e-05,2,3000,"9f852",8,0
4.41593895326775e-05,2,3000,"9f852",1,0
4.61581227056771e-05,2,3000,"9f852",2,0
5.42981724477289e-05,2,3000,"9f852",3,0
7.51128221295307e-05,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
4.33671709440522e-05,2,3000,"9f852",7,0
3.68889037005902e-05,2,3000,"9f852",8,0
0.000149664365317048,2,3000,"9f852",1,0
0.000137261855536245,2,3000,"9f852",2,0
0.000155107073648383,2,3000,"9f852",3,0
0.00015352357181289,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
0.000164892038690607,2,3000,"9f852",7,0
0.000156079943086052,2,3000,"9f852",8,0
8.47280448627173e-05,2,3000,"9f852",1,0
8.92118490211063e-05,2,3000,"9f852",2,0
9.42409822694625e-05,2,3000,"9f852",3,0
0.000112684370302158,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
9.57625754594854e-05,2,3000,"9f852",7,0
0.000104999166467346,2,3000,"9f852",8,0
9.09294898335841e-05,2,3000,"9f852",1,0
9.08492896565825e-05,2,3000,"9f852",2,0
9.67671968248035e-05,2,3000,"9f852",3,0
7.5417805639747e-05,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
NaN,2,3000,"9f852",7,0
0.000208159103938237,2,3000,"9f852",8,0
4.8975966662292e-05,2,3000,"9f852",1,0
5.68656433740781e-05,2,3000,"9f852",2,0
8.30221149522957e-05,2,3000,"9f852",3,0
7.67722106631341e-05,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
3.90533071009032e-05,2,3000,"9f852",7,0
4.25216898921545e-05,2,3000,"9f852",8,0
5.47455018125192e-05,2,3000,"9f852",1,0
5.64505084006175e-05,2,3000,"9f852",2,0
6.64449910062307e-05,2,3000,"9f852",3,0
8.88101971309955e-05,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
3.28846831681965e-05,2,3000,"9f852",7,0
3.43765099508667e-05,2,3000,"9f852",8,0
3.81992978597378e-05,2,3000,"9f852",1,0
3.34134910663045e-05,2,3000,"9f852",2,0
3.69139462398939e-05,2,3000,"9f852",3,0
3.8730929669916e-05,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
4.14789485279499e-05,2,3000,"9f852",7,0
4.02399184757549e-05,2,3000,"9f852",8,0
2.51697190006616e-05,2,3000,"9f852",1,0
2.31739026256354e-05,2,3000,"9f852",2,0
3.4002803441011e-05,2,3000,"9f852",3,0
4.21012956614155e-05,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
3.62322268943808e-05,2,3000,"9f852",7,0
3.74713865341892e-05,2,3000,"9f852",8,0
3.15964200661156e-05,2,3000,"9f852",1,0
2.90439823041574e-05,2,3000,"9f852",2,0
3.56400454432567e-05,2,3000,"9f852",3,0
5.194649721629e-05,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
3.25731272074317e-05,2,3000,"9f852",7,0
3.04675420664662e-05,2,3000,"9f852",8,0
0.000107306688223829,2,3000,"9f852",1,0
0.000106638904159038,2,3000,"9f852",2,0
0.000148541985713825,2,3000,"9f852",3,0
0.000152680633425767,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
0.000102479367512181,2,3000,"9f852",7,0
0.000171133977580854,2,3000,"9f852",8,0
3.41836372386743e-05,2,3000,"9f852",1,0
2.31936251477382e-05,2,3000,"9f852",2,0
3.30013229971028e-05,2,3000,"9f852",3,0
5.0777336450927e-05,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
0.000111588375273198,2,3000,"9f852",7,0
9.27131323938732e-05,2,3000,"9f852",8,0
3.74879349303553e-05,2,3000,"9f852",1,0
3.03639645438084e-05,2,3000,"9f852",2,0
4.00444677556718e-05,2,3000,"9f852",3,0
4.92033814787762e-05,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
2.98650987180515e-05,2,3000,"9f852",7,0
