PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec
2.18372801319873e-05,2,3000,"9f852",1,0
2.68359992203546e-05,2,3000,"9f852",2,0
3.4261649350246e-05,2,3000,"9f852",3,0
NaN,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
4.54625653141695e-05,2,3000,"9f852",7,0
4.62244512609851e-05,2,3000,"9f852",8,0
4.8217247172587e-05,2,3000,"9f852",1,0
4.48345615651241e-05,2,3000,"9f852",2,0
5.29415720413118e-05,2,3000,"9f852",3,0
7.20773834482669e-05,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
3.21003539278909e-05,2,3000,"9f852",7,0
3.16249975550057e-05,2,3000,"9f852",8,0
3.80816078606477e-05,2,3000,"9f852",1,0
3.04011586888921e-05,2,3000,"9f852",2,0
2.71211578749835e-05,2,3000,"9f852",3,0
5.48146306527727e-05,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
2.42180704013392e-05,2,3000,"9f852",7,0
2.06761965366577e-05,2,3000,"9f852",8,0
2.68119974831327e-05,2,3000,"9f852",1,0
3.11806676715385e-05,2,3000,"9f852",2,0
2.98379640226289e-05,2,3000,"9f852",3,0
4.3983709461687e-05,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
NaN,2,3000,"9f852",7,0
6.77100123409083e-05,2,3000,"9f852",8,0
3.01430919686515e-05,2,3000,"9f852",1,0
2.13616673089728e-05,2,3000,"9f852",2,0
2.68946541132141e-05,2,3000,"9f852",3,0
3.57919532793732e-05,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
6.77370005146387e-05,2,3000,"9f852",7,0
5.31380957657136e-05,2,3000,"9f852",8,0
2.09514336689911e-05,2,3000,"9f852",1,0
1.4567178117583e-05,2,3000,"9f852",2,0
2.58035649287996e-05,2,3000,"9f852",3,0
2.61964648701132e-05,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
6.57104360210451e-05,2,3000,"9f852",7,0
6.01218724750042e-05,2,3000,"9f852",8,0
4.96619699843512e-05,2,3000,"9f852",1,0
4.56260251243076e-05,2,3000,"9f852",2,0
4.5467210100436e-05,2,3000,"9f852",3,0
4.69069526610086e-05,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
6.11038957654824e-05,2,3000,"9f852",7,0
4.86780589898526e-05,2,3000,"9f852",8,0
3.84750036230052e-05,2,3000,"9f852",1,0
2.43840838811158e-05,2,3000,"9f852",2,0
2.07057365395782e-05,2,3000,"9f852",3,0
3.08353939696049e-05,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
4.28620151835762e-05,2,3000,"9f852",7,0
5.95111508201475e-05,2,3000,"9f852",8,0
2.90801549251127e-05,2,3000,"9f852",1,0
2.00294630819828e-05,2,3000,"9f852",2,0
3.08126541050301e-05,2,3000,"9f852",3,0
2.29429619329361e-05,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
4.1232299510279e-05,2,3000,"9f852",7,0
2.79517953950697e-05,2,3000,"9f852",8,0
2.39531184394824e-05,2,3000,"9f852",1,0
1.85838188313485e-05,2,3000,"9f852",2,0
2.87522065239607e-05,2,3000,"9f852",3,0
3.99864927607804e-05,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
5.74783578728811e-05,2,3000,"9f852",7,0
3.95849464024421e-05,2,3000,"9f852",8,0
2.47102137286349e-05,2,3000,"9f852",1,0
3.01689757884621e-05,2,3000,"9f852",2,0
2.13542552790691e-05,2,3000,"9f852",3,0
4.14951589324218e-05,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
NaN,2,3000,"9f852",7,0
5.86323605608603e-05,2,3000,"9f852",8,0
2.87112950806572e-05,2,3000,"9f852",1,0
1.90077199238062e-05,2,3000,"9f852",2,0
2.78850272871106e-05,2,3000,"9f852",3,0
4.48842859431215e-05,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
4.3847376471396e-05,2,3000,"9f852",7,0
2.7694289265058e-05,2,3000,"9f852",8,0
4.63961987930997e-05,2,3000,"9f852",1,0
2.95319474598193e-05,2,3000,"9f852",2,0
2.95149411954771e-05,2,3000,"9f852",3,0
3.98134634297011e-05,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
6.63266013662179e-05,2,3000,"9f852",7,0
6.43973965968504e-05,2,3000,"9f852",8,0
2.61445307116173e-05,2,3000,"9f852",1,0
2.01915156000543e-05,2,3000,"9f852",2,0
2.21373902746081e-05,2,3000,"9f852",3,0
2.09087810648866e-05,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
4.11920237413084e-05,2,3000,"9f852",7,0
4.17590307089623e-05,2,3000,"9f852",8,0
3.60148399132331e-05,2,3000,"9f852",1,0
NaN,2,3000,"9f852",2,0
3.32521789128283e-05,2,3000,"9f852",3,0
2.35563827421309e-05,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
NaN,2,3000,"9f852",7,0
0.000106241516035249,2,3000,"9f852",8,0
3.93437149877757e-05,2,3000,"9f852",1,0
NaN,2,3000,"9f852",2,0
NaN,2,3000,"9f852",3,0
2.4008745193037e-05,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
3.51738442864824e-05,2,3000,"9f852",7,0
4.43776857343091e-05,2,3000,"9f852",8,0
3.61824806633379e-05,2,3000,"9f852",1,0
3.18315717197069e-05,2,3000,"9f852",2,0
3.27720554241017e-05,2,3000,"9f852",3,0
3.81424949171009e-05,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
2.75314669396625e-05,2,3000,"9f852",7,0
2.42476687773367e-05,2,3000,"9f852",8,0
3.10546030467571e-05,2,3000,"9f852",1,0
2.79400460101501e-05,2,3000,"9f852",2,0
3.52456327774566e-05,2,3000,"9f852",3,0
5.81978128846232e-05,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
2.28000063302861e-05,2,3000,"9f852",7,0
3.27080556539241e-05,2,3000,"9f852",8,0
3.70060762259401e-05,2,3000,"9f852",1,0
NaN,2,3000,"9f852",2,0
3.75509067286149e-05,2,3000,"9f852",3,0
3.73188956175643e-05,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
5.29658764728657e-05,2,3000,"9f852",7,0
7.23746516652387e-05,2,3000,"9f852",8,0
2.00893174613681e-05,2,3000,"9f852",1,0
2.31336792130027e-05,2,3000,"9f852",2,0
1.89904473654399e-05,2,3000,"9f852",3,0
4.10789330950574e-05,2,3000,"9f852",4,0
NaN,2,3000,"9f852",5,NaN
NaN,2,3000,"9f852",6,NaN
3.7916462820703e-05,2,3000,"9f852",7,0
6.04771024070806e-05,2,3000,"9f852",8,0
4.72880067795198e-05,2,3500,"9f852",1,0
3.56901583107923e-05,2,3500,"9f852",2,0
4.97898836832435e-05,2,3500,"9f852",3,0
9.10629825893638e-05,2,3500,"9f852",4,0
NaN,2,3500,"9f852",5,NaN
NaN,2,3500,"9f852",6,NaN
3.5035309225331e-05,2,3500,"9f852",7,0
3.25146345591839e-05,2,3500,"9f852",8,0
3.2055133744823e-05,2,3500,"9f852",1,0
3.02393528003047e-05,2,3500,"9f852",2,0
3.80043111546492e-05,2,3500,"9f852",3,0
6.08559208618008e-05,2,3500,"9f852",4,0
NaN,2,3500,"9f852",5,NaN
NaN,2,3500,"9f852",6,NaN
4.1937312120425e-05,2,3500,"9f852",7,0
3.24337132897984e-05,2,3500,"9f852",8,0
4.94022969824568e-05,2,3500,"9f852",1,0
3.52821925708739e-05,2,3500,"9f852",2,0
4.19181021916758e-05,2,3500,"9f852",3,0
0.000101974694579266,2,3500,"9f852",4,0
NaN,2,3500,"9f852",5,NaN
NaN,2,3500,"9f852",6,NaN
2.65034052735433e-05,2,3500,"9f852",7,0
3.11722523885258e-05,2,3500,"9f852",8,0
3.05727319045443e-05,2,3500,"9f852",1,0
4.11876087929781e-05,2,3500,"9f852",2,0
5.45766647900934e-05,2,3500,"9f852",3,0
8.40678257172728e-05,2,3500,"9f852",4,0
NaN,2,3500,"9f852",5,NaN
NaN,2,3500,"9f852",6,NaN
5.54906392840385e-05,2,3500,"9f852",7,0
5.7928309745647e-05,2,3500,"9f852",8,0
2.74563734997955e-05,2,3500,"9f852",1,0
2.82488804486995e-05,2,3500,"9f852",2,0
3.90872023932153e-05,2,3500,"9f852",3,0
8.62539510037711e-05,2,3500,"9f852",4,0
NaN,2,3500,"9f852",5,NaN
NaN,2,3500,"9f852",6,NaN
2.3623004098411e-05,2,3500,"9f852",7,0
3.54433967324572e-05,2,3500,"9f852",8,0
NaN,2,3500,"9f852",1,0
NaN,2,3500,"9f852",2,0
2.50978042762356e-05,2,3500,"9f852",3,0
NaN,2,3500,"9f852",4,0
NaN,2,3500,"9f852",5,NaN
NaN,2,3500,"9f852",6,NaN
6.70098376335186e-05,2,3500,"9f852",7,0
5.21630972185916e-05,2,3500,"9f852",8,0
2.79114896514017e-05,2,3500,"9f852",1,0
2.2517256442981e-05,2,3500,"9f852",2,0
2.53821588153015e-05,2,3500,"9f852",3,0
2.83819902235584e-05,2,3500,"9f852",4,0
NaN,2,3500,"9f852",5,NaN
NaN,2,3500,"9f852",6,NaN
3.59594665027765e-05,2,3500,"9f852",7,0
3.07088027295378e-05,2,3500,"9f852",8,0
2.45623241246534e-05,2,3500,"9f852",1,0
