PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec
NaN,1,5500,"a23ed",1,1.94822619583729e-05
NaN,1,5500,"a23ed",2,6.45423174764342e-06
NaN,1,5500,"a23ed",3,8.36561312786216e-06
NaN,1,5500,"a23ed",4,2.13892500179996e-05
1.09527070337911e-05,1,5500,"a23ed",5,9.90653473507035e-06
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
2.34892028049168e-05,1,5500,"a23ed",8,2.57188718703636e-05
3.05550712148542e-06,1,5500,"a23ed",1,1.48732406124615e-05
2.08405265733408e-06,1,5500,"a23ed",2,7.81987720445167e-06
3.54345965442549e-06,1,5500,"a23ed",3,9.74572804384194e-06
5.50198962441859e-06,1,5500,"a23ed",4,6.30241074892308e-06
1.46264825797403e-05,1,5500,"a23ed",5,1.42964833088455e-05
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
NaN,1,5500,"a23ed",8,5.20715274185103e-05
1.99848785002804e-05,1,5500,"a23ed",1,1.9072307830799e-05
2.43363843973941e-05,1,5500,"a23ed",2,1.57213130540635e-05
3.26762525873426e-05,1,5500,"a23ed",3,1.57410262356788e-05
4.1491886339748e-05,1,5500,"a23ed",4,3.95788031489356e-05
0.000106539774182266,1,5500,"a23ed",5,2.94297652991762e-05
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
1.28230826953526e-05,1,5500,"a23ed",8,2.09366557654581e-05
9.56411826692735e-06,1,5500,"a23ed",1,8.4719529799479e-06
NaN,1,5500,"a23ed",2,4.40521245692784e-06
1.24721586560291e-05,1,5500,"a23ed",3,2.68253353762066e-06
1.35650664264447e-05,1,5500,"a23ed",4,1.49180445753087e-05
NaN,1,5500,"a23ed",5,2.84118827546624e-05
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
4.89310849536169e-05,1,5500,"a23ed",8,4.02558788969098e-05
NaN,1,5500,"a23ed",1,3.6337528741312e-05
2.77817552933322e-06,1,5500,"a23ed",2,2.31440657749969e-06
