PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec
NaN,1,5500,"a23ed",1,1.59587181051274e-05
NaN,1,5500,"a23ed",2,1.54459380662673e-05
NaN,1,5500,"a23ed",3,1.68908930195489e-05
NaN,1,5500,"a23ed",4,3.24276178665297e-05
NaN,1,5500,"a23ed",5,4.63106915237588e-05
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
4.99175958067521e-05,1,5500,"a23ed",8,4.41122317350409e-05
9.5633218931015e-06,1,5500,"a23ed",1,7.81754976813501e-06
1.13145047888439e-05,1,5500,"a23ed",2,1.00730010158382e-05
2.01150773685329e-06,1,5500,"a23ed",3,4.03902685554351e-06
1.09521355306159e-05,1,5500,"a23ed",4,7.68421528057787e-06
1.66717034860265e-05,1,5500,"a23ed",5,1.50145053706102e-05
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
6.66011610993123e-05,1,5500,"a23ed",8,4.52354094139239e-05
NaN,1,5500,"a23ed",1,2.34373221257116e-05
NaN,1,5500,"a23ed",2,1.03120222253466e-05
NaN,1,5500,"a23ed",3,1.19940746839155e-05
1.70051451825997e-06,1,5500,"a23ed",4,4.388963433167e-05
3.39979405639243e-05,1,5500,"a23ed",5,3.38487668414689e-05
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
1.62732931741672e-05,1,5500,"a23ed",8,1.61518902314153e-05
NaN,1,5500,"a23ed",1,4.72001266536437e-05
NaN,1,5500,"a23ed",2,9.12207655132603e-06
NaN,1,5500,"a23ed",3,1.08997797590024e-05
NaN,1,5500,"a23ed",4,2.49251907093053e-05
NaN,1,5500,"a23ed",5,4.58461766813118e-05
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
8.3334360853168e-06,1,5500,"a23ed",8,3.99950238268191e-05
NaN,1,5500,"a23ed",1,1.86326926755168e-05
NaN,1,5500,"a23ed",2,2.57082760137673e-05
NaN,1,5500,"a23ed",3,2.78819045503925e-05
NaN,1,5500,"a23ed",4,1.33880224630707e-05
0.0001074748249104,1,5500,"a23ed",5,1.13391630571958e-06
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
NaN,1,5500,"a23ed",8,1.69001958553806e-05
2.55609330590362e-05,1,5500,"a23ed",1,1.77430400753193e-05
NaN,1,5500,"a23ed",2,1.92520710264566e-05
2.45840293209264e-05,1,5500,"a23ed",3,1.46181888372023e-05
8.38135244904392e-06,1,5500,"a23ed",4,6.33665819590411e-06
2.07869452262277e-05,1,5500,"a23ed",5,6.31313115741042e-06
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
1.89233977315789e-05,1,5500,"a23ed",8,3.61851696274222e-05
1.34107044245527e-05,1,5500,"a23ed",1,8.03888237673586e-06
7.03853187417314e-06,1,5500,"a23ed",2,9.90155833299002e-06
4.86086795037784e-06,1,5500,"a23ed",3,1.60810357854485e-05
2.73114165359007e-06,1,5500,"a23ed",4,1.85564603935829e-05
4.29086238646207e-06,1,5500,"a23ed",5,3.09169594374231e-06
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
2.87103139929021e-05,1,5500,"a23ed",8,2.31830240430928e-05
NaN,1,5500,"a23ed",1,7.58527056324007e-05
NaN,1,5500,"a23ed",2,5.93440002802178e-07
NaN,1,5500,"a23ed",3,3.46749430979142e-06
NaN,1,5500,"a23ed",4,6.18053927918299e-05
6.98663073130509e-05,1,5500,"a23ed",5,6.21256619005446e-05
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
NaN,1,5500,"a23ed",8,0.000110575212446189
NaN,1,5500,"a23ed",1,2.54885611057008e-05
2.35774038888853e-05,1,5500,"a23ed",2,3.47628180700059e-07
2.33034066289632e-05,1,5500,"a23ed",3,8.80895837136868e-06
1.73646070945844e-05,1,5500,"a23ed",4,1.46089920365475e-05
NaN,1,5500,"a23ed",5,1.19298582687808e-05
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
4.60840870725381e-05,1,5500,"a23ed",8,4.51971838275842e-05
1.59331395936899e-05,1,5500,"a23ed",1,1.77986391644766e-06
1.2707326083248e-05,1,5500,"a23ed",2,9.6999448407096e-06
1.53684659542644e-05,1,5500,"a23ed",3,5.75296291539876e-06
NaN,1,5500,"a23ed",4,3.46454481298811e-06
4.64393557929752e-05,1,5500,"a23ed",5,5.79453883876618e-06
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
4.82421158474174e-05,1,5500,"a23ed",8,4.52170471482631e-05
NaN,1,5500,"a23ed",1,2.20735458860921e-05
NaN,1,5500,"a23ed",2,3.22428378857339e-05
NaN,1,5500,"a23ed",3,3.38098325651755e-05
NaN,1,5500,"a23ed",4,2.12781360114685e-05
NaN,1,5500,"a23ed",5,2.15162478315908e-05
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
1.49981126928669e-05,1,5500,"a23ed",8,1.44126412760257e-06
4.3750727580811e-05,1,5500,"a23ed",1,3.5108024779678e-05
1.80742480668241e-05,1,5500,"a23ed",2,5.27863088419977e-06
4.27868978472614e-05,1,5500,"a23ed",3,1.22980862746845e-05
5.71548824695324e-05,1,5500,"a23ed",4,5.52529735731236e-05
0.000102966690487,1,5500,"a23ed",5,2.3734046836536e-05
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
3.76661237411864e-05,1,5500,"a23ed",8,3.87146383355271e-06
9.00575704220615e-06,1,5500,"a23ed",1,1.22919714693618e-06
1.70143197750019e-05,1,5500,"a23ed",2,1.68943625563235e-05
2.52415679961854e-05,1,5500,"a23ed",3,1.29229551412087e-05
3.64254516708167e-05,1,5500,"a23ed",4,2.54058896795161e-05
0.000115556637653884,1,5500,"a23ed",5,5.24810298910647e-05
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
4.92054381060831e-06,1,5500,"a23ed",8,5.56752508336749e-05
9.7456265968268e-06,1,5500,"a23ed",1,1.13254682740421e-05
1.80834034103517e-05,1,5500,"a23ed",2,7.57033403740338e-06
3.07551612455666e-05,1,5500,"a23ed",3,1.15959545373119e-05
3.90472489806845e-05,1,5500,"a23ed",4,3.8081111276699e-05
5.66169325005952e-05,1,5500,"a23ed",5,5.46688857603737e-05
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
1.09883598686808e-05,1,5500,"a23ed",8,3.11152535334734e-05
2.84606360888493e-05,1,5500,"a23ed",1,2.80836973611188e-05
3.45379578992232e-05,1,5500,"a23ed",2,1.66203999066569e-05
5.09266364857411e-05,1,5500,"a23ed",3,8.07830266001328e-06
5.88388654936627e-05,1,5500,"a23ed",4,5.78759052038709e-05
0.000109062567290562,1,5500,"a23ed",5,3.77811118394972e-05
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
1.53034167208944e-05,1,5500,"a23ed",8,2.03229741660924e-05
1.15523592296894e-05,1,5500,"a23ed",1,3.47668660044816e-06
1.30892568033826e-05,1,5500,"a23ed",2,7.71221201290002e-06
5.62429993514466e-06,1,5500,"a23ed",3,3.44952149828324e-06
1.24069708894981e-05,1,5500,"a23ed",4,1.54579862343792e-06
1.14796307904317e-05,1,5500,"a23ed",5,7.00070231191337e-06
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
6.68022724564075e-05,1,5500,"a23ed",8,5.64599157168267e-05
1.80005395481812e-05,1,5500,"a23ed",1,4.41519127720088e-06
1.91637886708836e-05,1,5500,"a23ed",2,6.07265313184308e-07
1.91393745152414e-05,1,5500,"a23ed",3,1.19150450400459e-07
1.64119913075404e-05,1,5500,"a23ed",4,7.25366447115332e-06
1.16801312223367e-05,1,5500,"a23ed",5,4.4231758047262e-06
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
4.41873389815713e-05,1,5500,"a23ed",8,3.9611909131074e-05
1.1738177996735e-05,1,5500,"a23ed",1,7.30846949790595e-06
5.99744289029387e-06,1,5500,"a23ed",2,2.52395766218066e-06
2.31884492292356e-05,1,5500,"a23ed",3,1.44608897757686e-06
1.55074589556953e-05,1,5500,"a23ed",4,3.7195630693263e-05
9.55119986275714e-05,1,5500,"a23ed",5,9.30254723943484e-05
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
2.40402711432645e-05,1,5500,"a23ed",8,4.56404880196963e-06
1.7949535312351e-05,1,5500,"a23ed",1,7.23241222113744e-06
2.58089546429797e-05,1,5500,"a23ed",2,7.35708410818988e-06
2.60057683562879e-05,1,5500,"a23ed",3,5.90485746370059e-06
2.04154734917444e-05,1,5500,"a23ed",4,1.0673419477623e-05
2.09329204506582e-05,1,5500,"a23ed",5,1.99257429183758e-05
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
6.08014196135476e-05,1,5500,"a23ed",8,4.54184682471581e-05
NaN,1,5500,"a23ed",1,2.68803785039434e-05
NaN,1,5500,"a23ed",2,2.0464497840353e-05
NaN,1,5500,"a23ed",3,1.25225711506632e-05
2.35654020860757e-05,1,5500,"a23ed",4,1.79217096110662e-05
6.17309731219333e-05,1,5500,"a23ed",5,3.16857249677747e-05
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
NaN,1,5500,"a23ed",8,5.52250525875206e-05
2.84879822591094e-05,1,5500,"a23ed",1,2.43636652583296e-05
3.51589988202288e-05,1,5500,"a23ed",2,7.9446024555013e-07
NaN,1,5500,"a23ed",3,5.34347485472449e-07
9.39956082968039e-06,1,5500,"a23ed",4,3.56375643547443e-05
2.53225009383592e-05,1,5500,"a23ed",5,2.27159998552969e-05
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
NaN,1,5500,"a23ed",8,3.77710603639149e-05
NaN,1,5500,"a23ed",1,7.47411933002272e-05
4.4074882532441e-06,1,5500,"a23ed",2,6.02977717101378e-07
8.30926897913274e-06,1,5500,"a23ed",3,3.7031451070519e-06
1.46770473909738e-05,1,5500,"a23ed",4,8.62572600454965e-05
6.06057654329132e-05,1,5500,"a23ed",5,5.75046694687574e-05
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
6.4724498529874e-07,1,5500,"a23ed",8,1.19712064599133e-05
4.95981798194951e-05,1,5500,"a23ed",1,4.58043468274398e-05
5.26169761555135e-05,1,5500,"a23ed",2,2.79342384878814e-06
5.55670201290896e-06,1,5500,"a23ed",3,1.14702712947323e-05
1.74165990642215e-05,1,5500,"a23ed",4,8.04285279028611e-05
0.000110301414931221,1,5500,"a23ed",5,0.000107031991122134
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
2.91979267687549e-05,1,5500,"a23ed",8,2.34343875666912e-05
1.38642209503178e-05,1,5500,"a23ed",1,3.66705478424332e-06
1.91167236392396e-05,1,5500,"a23ed",2,9.33336243953685e-07
2.56799595282986e-05,1,5500,"a23ed",3,1.53299430136885e-06
2.9607897759234e-05,1,5500,"a23ed",4,2.0792257579749e-05
7.16181462326798e-05,1,5500,"a23ed",5,4.48473690614501e-05
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
1.15955333061873e-06,1,5500,"a23ed",8,2.28466893517456e-05
6.05239917102522e-06,1,5500,"a23ed",1,3.31113835363199e-05
