PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec
NaN,1,5500,"a23ed",1,0
NaN,1,5500,"a23ed",2,0
NaN,1,5500,"a23ed",3,0
NaN,1,5500,"a23ed",4,0
NaN,1,5500,"a23ed",5,0
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
NaN,1,5500,"a23ed",8,0
NaN,1,5500,"a23ed",1,0
NaN,1,5500,"a23ed",2,0
NaN,1,5500,"a23ed",3,0
NaN,1,5500,"a23ed",4,0
NaN,1,5500,"a23ed",5,0
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
NaN,1,5500,"a23ed",8,0
NaN,1,5500,"a23ed",1,0
NaN,1,5500,"a23ed",2,0
NaN,1,5500,"a23ed",3,0
NaN,1,5500,"a23ed",4,0
NaN,1,5500,"a23ed",5,0
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
NaN,1,5500,"a23ed",8,0
NaN,1,5500,"a23ed",1,0
NaN,1,5500,"a23ed",2,0
NaN,1,5500,"a23ed",3,0
NaN,1,5500,"a23ed",4,0
NaN,1,5500,"a23ed",5,0
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
NaN,1,5500,"a23ed",8,0
NaN,1,5500,"a23ed",1,0
NaN,1,5500,"a23ed",2,0
NaN,1,5500,"a23ed",3,0
NaN,1,5500,"a23ed",4,0
NaN,1,5500,"a23ed",5,0
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
NaN,1,5500,"a23ed",8,0
NaN,1,5500,"a23ed",1,0
NaN,1,5500,"a23ed",2,0
NaN,1,5500,"a23ed",3,0
NaN,1,5500,"a23ed",4,0
NaN,1,5500,"a23ed",5,0
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
NaN,1,5500,"a23ed",8,0
NaN,1,5500,"a23ed",1,0
NaN,1,5500,"a23ed",2,0
NaN,1,5500,"a23ed",3,0
NaN,1,5500,"a23ed",4,0
NaN,1,5500,"a23ed",5,0
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
NaN,1,5500,"a23ed",8,0
NaN,1,5500,"a23ed",1,0
NaN,1,5500,"a23ed",2,0
NaN,1,5500,"a23ed",3,0
NaN,1,5500,"a23ed",4,0
NaN,1,5500,"a23ed",5,0
NaN,1,5500,"a23ed",6,NaN
NaN,1,5500,"a23ed",7,NaN
