PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec
1.32943492786606e-05,2,500,"c963f",1,5.56426568510918e-06
7.9513477314186e-06,2,500,"c963f",2,5.50496493059945e-06
2.17629253816091e-05,2,500,"c963f",3,9.77632955714842e-07
1.22678748897189e-05,2,500,"c963f",4,1.40516024932244e-05
4.37659934389479e-06,2,500,"c963f",5,2.8884280845909e-06
9.36251700941309e-06,2,500,"c963f",6,2.64333403090845e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
1.98767893407395e-05,2,500,"c963f",1,3.03512217297155e-06
1.0205509041999e-05,2,500,"c963f",2,1.32583250014334e-05
1.24814707618796e-05,2,500,"c963f",3,3.28403811070674e-06
1.0583553392189e-05,2,500,"c963f",4,1.46019941787071e-05
8.05830924403731e-06,2,500,"c963f",5,4.71954939011068e-06
1.09271287656515e-05,2,500,"c963f",6,2.57146487528395e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
5.2296459856358e-06,2,500,"c963f",1,7.94900503978821e-06
8.91667839122164e-06,2,500,"c963f",2,1.91708793320462e-06
1.51274943873972e-05,2,500,"c963f",3,2.89275313429311e-06
8.47151827953426e-06,2,500,"c963f",4,1.84977265363036e-05
NaN,2,500,"c963f",5,2.42099973733004e-06
1.32467153199231e-05,2,500,"c963f",6,2.31611568189002e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
1.81006173763639e-05,2,500,"c963f",1,5.5861573879385e-06
1.64928245351832e-05,2,500,"c963f",2,4.2290948170744e-06
1.64137848487584e-05,2,500,"c963f",3,4.88267494099366e-06
1.70344126040707e-05,2,500,"c963f",4,2.02431642394914e-05
1.40076661219244e-05,2,500,"c963f",5,8.29556021807452e-07
1.27820361351959e-05,2,500,"c963f",6,2.76650865005826e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
1.06486405412369e-06,2,500,"c963f",1,6.3866187695529e-06
1.31181116198282e-06,2,500,"c963f",2,5.77062364943934e-07
2.56788527075087e-06,2,500,"c963f",3,5.10244667170602e-06
2.92880070464556e-06,2,500,"c963f",4,1.76492246318832e-05
2.2645513675978e-06,2,500,"c963f",5,7.21185450039696e-06
4.29254140654248e-05,2,500,"c963f",6,2.6011171834462e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
5.34636248290984e-05,2,500,"c963f",1,9.21117287644567e-06
3.01147115642474e-05,2,500,"c963f",2,1.30455532969159e-05
1.39259592289321e-05,2,500,"c963f",3,3.09751389644681e-06
2.64723181329514e-05,2,500,"c963f",4,1.80366598314425e-05
2.36316850710529e-05,2,500,"c963f",5,3.57913366576432e-06
2.48117709754672e-05,2,500,"c963f",6,2.79111982523556e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
3.66087558115415e-06,2,1000,"c963f",1,8.4360083377118e-06
3.24646036067386e-06,2,1000,"c963f",2,2.0070338689859e-06
4.91797597362757e-06,2,1000,"c963f",3,1.27617043972409e-05
8.07291331899463e-06,2,1000,"c963f",4,2.02917572706518e-05
1.02221544952045e-05,2,1000,"c963f",5,2.62281398957909e-05
2.26505986968109e-05,2,1000,"c963f",6,4.2130652813191e-05
NaN,2,1000,"c963f",7,NaN
NaN,2,1000,"c963f",8,NaN
