PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec
3.96067820277335e-05,2,500,"c963f",1,4.64407202678186e-06
6.8430460825474e-06,2,500,"c963f",2,5.10140392967359e-06
1.0635100931833e-06,2,500,"c963f",3,5.36016551341117e-06
2.90596970247205e-06,2,500,"c963f",4,3.54248701765738e-05
2.3071510439533e-06,2,500,"c963f",5,9.91799254002027e-06
6.77770112664067e-06,2,500,"c963f",6,3.20132035367853e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
1.71939076056742e-05,2,500,"c963f",1,6.14838190955061e-06
1.8380432876132e-05,2,500,"c963f",2,1.46092371665978e-05
1.79703881701484e-05,2,500,"c963f",3,1.51656840179304e-06
5.16615285010176e-06,2,500,"c963f",4,3.29995968847401e-05
9.33724907786769e-06,2,500,"c963f",5,1.09492035317306e-05
4.49735137721388e-05,2,500,"c963f",6,2.55025121801625e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
1.3380455280801e-05,2,500,"c963f",1,3.25472430656936e-06
1.21963312786936e-05,2,500,"c963f",2,2.53014130861932e-06
1.69344267503289e-05,2,500,"c963f",3,4.16997672661935e-06
1.44147894285226e-05,2,500,"c963f",4,6.03663062319359e-06
1.46641462155914e-05,2,500,"c963f",5,5.89121716365982e-06
2.68204108711001e-05,2,500,"c963f",6,2.14016241042838e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
1.63341726674548e-05,2,500,"c963f",1,6.089070464939e-06
1.51829995024536e-05,2,500,"c963f",2,5.11189554601272e-06
3.97469238928209e-05,2,500,"c963f",3,3.7207451570352e-06
1.52600108379354e-05,2,500,"c963f",4,7.83751511140712e-06
3.96832301061095e-05,2,500,"c963f",5,5.18895790595475e-06
3.90910755755646e-05,2,500,"c963f",6,2.46571546835868e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
2.00732087274378e-05,2,500,"c963f",1,7.68507971770522e-06
1.45862425674926e-05,2,500,"c963f",2,5.23242931933251e-06
1.78487133816071e-05,2,500,"c963f",3,1.53933756704583e-06
2.59492015796903e-05,2,500,"c963f",4,2.34715392980872e-05
4.02803612627617e-06,2,500,"c963f",5,2.33075436162952e-06
9.3706054322958e-06,2,500,"c963f",6,2.85922070406041e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
3.14949204381679e-06,2,500,"c963f",1,5.98263680501978e-06
3.58074176408741e-06,2,500,"c963f",2,1.76676880880462e-05
3.76787341462369e-05,2,500,"c963f",3,4.40475486036921e-06
4.55270522644499e-05,2,500,"c963f",4,2.63837968826477e-05
5.44767225877915e-05,2,500,"c963f",5,3.65840228195922e-06
2.9317962062216e-05,2,500,"c963f",6,2.93197326933305e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
0.000107963331705286,2,500,"c963f",1,7.93941930528347e-06
3.01575064592713e-05,2,500,"c963f",2,2.9213231564414e-05
9.95422367236789e-05,2,500,"c963f",3,3.25166064006902e-06
1.7172827174363e-05,2,500,"c963f",4,4.17718430071546e-06
1.82271140424664e-05,2,500,"c963f",5,5.89273064711515e-06
1.39105070753255e-05,2,500,"c963f",6,2.46569832608053e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
1.66484329371131e-05,2,500,"c963f",1,5.42405852514255e-06
1.23858946698116e-05,2,500,"c963f",2,5.24888090393443e-06
1.66416659994435e-05,2,500,"c963f",3,2.72311995354781e-06
3.54818968236504e-05,2,500,"c963f",4,3.10046765011908e-05
3.03403459141457e-05,2,500,"c963f",5,9.28832597332776e-06
1.15742978719181e-05,2,500,"c963f",6,2.34204818683568e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
8.72294609244851e-07,2,500,"c963f",1,9.47772134815803e-06
1.23914401715965e-06,2,500,"c963f",2,1.82942551027907e-05
1.16036696693427e-06,2,500,"c963f",3,1.82091866328645e-06
2.34828083873921e-05,2,500,"c963f",4,1.05342412879436e-05
3.33570627510373e-06,2,500,"c963f",5,4.88289219401676e-07
4.80955243978384e-05,2,500,"c963f",6,2.95065687645346e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
2.46155807739423e-05,2,500,"c963f",1,2.23061349182088e-06
NaN,2,500,"c963f",2,4.13243065201814e-06
1.9270249344949e-05,2,500,"c963f",3,7.86157376283399e-06
1.20251928035172e-05,2,500,"c963f",4,9.96040541344674e-06
2.21491760840974e-05,2,500,"c963f",5,1.1586803392668e-05
1.4205492067744e-05,2,500,"c963f",6,2.16694771771704e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
1.16087396098776e-05,2,500,"c963f",1,6.92206115502193e-06
1.29041406838304e-05,2,500,"c963f",2,1.55660497183446e-06
3.37576832670343e-05,2,500,"c963f",3,2.50526032608343e-06
3.66430823487308e-05,2,500,"c963f",4,3.00260876963486e-05
9.78361915810545e-06,2,500,"c963f",5,1.14378768723657e-05
2.07608336157478e-05,2,500,"c963f",6,1.74168754820549e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
3.30628954693849e-05,2,500,"c963f",1,7.74488666540783e-06
3.55178779232899e-05,2,500,"c963f",2,2.72034227558765e-05
1.41136160518616e-05,2,500,"c963f",3,8.66121047695898e-06
4.59376572578399e-06,2,500,"c963f",4,1.79471130215503e-06
2.56686092289381e-06,2,500,"c963f",5,2.29893232849275e-06
1.10515017967204e-05,2,500,"c963f",6,2.45359101131338e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
1.19056514509258e-05,2,500,"c963f",1,6.07827728186229e-06
7.76438743425602e-06,2,500,"c963f",2,4.89002748283612e-06
1.07696039999233e-05,2,500,"c963f",3,3.65684029340872e-07
1.15822946106352e-05,2,500,"c963f",4,9.55916184816473e-06
1.81631087878337e-05,2,500,"c963f",5,2.39276355343979e-06
1.09039319897529e-05,2,500,"c963f",6,2.58897040805884e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
9.47870394436873e-06,2,500,"c963f",1,1.08418449850505e-05
NaN,2,500,"c963f",2,1.33621419980726e-05
2.73492978757854e-05,2,500,"c963f",3,2.42817655272209e-06
1.61256624532904e-05,2,500,"c963f",4,8.65713346925547e-06
4.7810679677475e-06,2,500,"c963f",5,5.34837217843648e-07
1.43301666766123e-05,2,500,"c963f",6,1.91656663732234e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
2.74465032340725e-05,2,500,"c963f",1,8.15795511159855e-06
2.83286656144432e-05,2,500,"c963f",2,1.07024735464515e-05
3.08702468203882e-05,2,500,"c963f",3,1.23480234504187e-06
6.58689385607889e-06,2,500,"c963f",4,3.11654165407564e-05
3.50725632692744e-06,2,500,"c963f",5,1.10812780718107e-06
1.09189606044572e-05,2,500,"c963f",6,2.87976280455004e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
5.68708327667989e-06,2,500,"c963f",1,7.31126996008171e-06
1.82689614407926e-05,2,500,"c963f",2,1.2949088205722e-05
1.32443851970458e-05,2,500,"c963f",3,1.8855651186598e-06
4.75969718677059e-06,2,500,"c963f",4,3.28074811948325e-06
9.25099920998631e-06,2,500,"c963f",5,7.4448112796221e-07
1.08342559170118e-05,2,500,"c963f",6,2.65280675157057e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
9.89682217399794e-05,2,500,"c963f",1,2.84420626931847e-07
7.27518457392843e-05,2,500,"c963f",2,6.36428604979218e-06
7.34224381435238e-05,2,500,"c963f",3,1.0852616571282e-06
3.267390030198e-05,2,500,"c963f",4,1.92696656251333e-05
2.49271166835318e-06,2,500,"c963f",5,3.49197383091998e-06
8.0864046001244e-06,2,500,"c963f",6,2.86532135084787e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
5.11506515700412e-06,2,500,"c963f",1,1.21415303580852e-05
2.22930120475154e-06,2,500,"c963f",2,5.49083625082341e-07
1.41473162015018e-05,2,500,"c963f",3,8.25657708494269e-06
4.84571490152162e-06,2,500,"c963f",4,3.34944049869992e-06
3.52959559350948e-06,2,500,"c963f",5,1.34853980507659e-06
1.01431724546155e-05,2,500,"c963f",6,3.03530412510077e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
3.82984360750476e-05,2,500,"c963f",1,2.90277413630251e-07
1.41147957460341e-05,2,500,"c963f",2,2.46212407677042e-06
2.09100957308541e-05,2,500,"c963f",3,9.17469856772749e-06
5.68946027920014e-05,2,500,"c963f",4,8.36966685686981e-06
6.12615750585373e-06,2,500,"c963f",5,1.91424368832784e-07
1.24956369666305e-05,2,500,"c963f",6,2.77539504528896e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
7.20281732652771e-06,2,500,"c963f",1,8.47212983482725e-06
2.74457539135447e-06,2,500,"c963f",2,8.09406218302795e-08
7.18762570978634e-06,2,500,"c963f",3,4.01127227651014e-06
1.54860885902297e-05,2,500,"c963f",4,7.8281863026559e-06
6.22468328306882e-06,2,500,"c963f",5,1.45128932406447e-06
1.03704395998665e-05,2,500,"c963f",6,2.50371597748315e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
1.00829129898799e-05,2,500,"c963f",1,9.64925953210532e-06
1.22725371373688e-06,2,500,"c963f",2,4.98188217567238e-07
2.99564231613118e-05,2,500,"c963f",3,1.31010695078533e-05
5.56208750850116e-05,2,500,"c963f",4,5.73808226326004e-05
9.82911045922576e-05,2,500,"c963f",5,1.33356840420061e-05
0.000141399951661748,2,500,"c963f",6,3.4931558500724e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
2.1221952487494e-05,2,500,"c963f",1,4.42173628826045e-06
2.51582011655901e-05,2,500,"c963f",2,1.58220477097414e-05
1.98928190193296e-05,2,500,"c963f",3,5.20399283212905e-06
7.02873930297179e-06,2,500,"c963f",4,1.07736796168123e-06
2.7376828049184e-05,2,500,"c963f",5,1.26279823173239e-05
2.49251377564593e-05,2,500,"c963f",6,2.49505835638507e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
3.37901454901689e-05,2,500,"c963f",1,7.67801555251177e-06
7.9260053661667e-07,2,500,"c963f",2,6.42370549806823e-06
3.81670374143452e-05,2,500,"c963f",3,5.64463941172288e-06
3.55650035176999e-06,2,500,"c963f",4,2.81857959465175e-05
8.03538276331696e-05,2,500,"c963f",5,6.58208781930877e-06
7.85509166271909e-06,2,500,"c963f",6,2.61989895588131e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
9.01767509146792e-06,2,500,"c963f",1,4.03179504124482e-06
7.99727541348788e-06,2,500,"c963f",2,2.97874293197071e-06
2.01230433116864e-05,2,500,"c963f",3,1.36817978633072e-06
1.21064542242426e-05,2,500,"c963f",4,3.91555532045493e-06
2.253373154409e-05,2,500,"c963f",5,8.83615143422397e-06
1.54079408257439e-05,2,500,"c963f",6,1.71367949244274e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
9.02977376609336e-07,2,500,"c963f",1,6.15228743364215e-06
NaN,2,500,"c963f",2,1.47642087507964e-05
8.36045138275891e-05,2,500,"c963f",3,1.33386970574137e-05
6.82655408253379e-05,2,500,"c963f",4,6.80580329372806e-05
6.76742872590751e-05,2,500,"c963f",5,1.234966975757e-05
2.86203358637544e-05,2,500,"c963f",6,2.68379326244951e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
2.04959139520929e-05,2,500,"c963f",1,6.326247897536e-06
6.09072384103384e-07,2,500,"c963f",2,1.02723804317756e-05
1.10978364944958e-06,2,500,"c963f",3,1.41043015616221e-06
4.31884587630245e-05,2,500,"c963f",4,2.60593936066687e-05
1.72886102403645e-05,2,500,"c963f",5,6.525210389037e-07
1.88914903492339e-05,2,500,"c963f",6,2.7662180127106e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
0.000192438028223035,2,500,"c963f",1,1.51549832981589e-05
0.000127147471507525,2,500,"c963f",2,6.41732490733196e-05
1.58301938418488e-05,2,500,"c963f",3,5.45658552423545e-06
7.53183224648638e-05,2,500,"c963f",4,1.61624300350571e-05
6.28333901420311e-05,2,500,"c963f",5,2.26478979918075e-06
2.55933405084965e-05,2,500,"c963f",6,2.92334820054659e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
1.31287075745141e-05,2,1000,"c963f",1,1.08787195087088e-05
1.40184362949966e-05,2,1000,"c963f",2,4.7979533353311e-06
3.41945487691528e-05,2,1000,"c963f",3,3.93485264842583e-05
1.36228223686714e-05,2,1000,"c963f",4,2.58340222299394e-05
3.34369523813708e-05,2,1000,"c963f",5,3.18129610859232e-05
9.02739499821072e-05,2,1000,"c963f",6,4.72611146133806e-05
NaN,2,1000,"c963f",7,NaN
NaN,2,1000,"c963f",8,NaN
3.0562179884285e-06,2,1000,"c963f",1,3.7828947309565e-05
3.03936878181008e-06,2,1000,"c963f",2,1.90929987538724e-06
2.51708567243646e-05,2,1000,"c963f",3,5.10239723562072e-06
6.45557550339203e-06,2,1000,"c963f",4,1.93148546156447e-05
9.77120323959293e-06,2,1000,"c963f",5,2.52154769480321e-05
2.50431022651665e-05,2,1000,"c963f",6,3.66587401666547e-05
NaN,2,1000,"c963f",7,NaN
NaN,2,1000,"c963f",8,NaN
1.9342519844498e-05,2,1000,"c963f",1,1.25100534253556e-05
2.08664937329445e-05,2,1000,"c963f",2,2.92218476569257e-06
3.14859837398578e-05,2,1000,"c963f",3,2.1594488275309e-05
2.75670586435329e-05,2,1000,"c963f",4,1.9669763931184e-05
3.53555503835846e-05,2,1000,"c963f",5,2.57830761086162e-05
6.14686342606536e-05,2,1000,"c963f",6,4.34255097040415e-05
NaN,2,1000,"c963f",7,NaN
NaN,2,1000,"c963f",8,NaN
1.13681614101394e-05,2,1000,"c963f",1,2.65735550932538e-05
3.37101435634548e-05,2,1000,"c963f",2,1.03711321472759e-05
2.4487021063092e-05,2,1000,"c963f",3,1.74965305758273e-05
3.18258292947471e-05,2,1000,"c963f",4,1.58297494343865e-05
2.20239021798752e-05,2,1000,"c963f",5,1.79167679017758e-05
3.02243972943322e-05,2,1000,"c963f",6,3.61097950866159e-05
NaN,2,1000,"c963f",7,NaN
NaN,2,1000,"c963f",8,NaN
5.20358360508904e-05,2,1000,"c963f",1,4.58982252557673e-05
3.64455753437775e-05,2,1000,"c963f",2,3.69494108095072e-07
5.71220442991524e-06,2,1000,"c963f",3,4.12440887731598e-05
9.28783313575717e-06,2,1000,"c963f",4,2.08103961421043e-05
4.44321277492291e-05,2,1000,"c963f",5,3.0412417434607e-05
1.9394491857531e-05,2,1000,"c963f",6,4.71981044952628e-05
NaN,2,1000,"c963f",7,NaN
NaN,2,1000,"c963f",8,NaN
1.84038752184427e-05,2,1000,"c963f",1,1.33452624090307e-05
1.46159318600837e-05,2,1000,"c963f",2,6.33325932894343e-06
1.54827381519673e-05,2,1000,"c963f",3,7.91191700902453e-07
1.67993918094587e-05,2,1000,"c963f",4,1.97874645645225e-05
2.16999067914739e-05,2,1000,"c963f",5,2.6037015253966e-05
2.81662830645408e-05,2,1000,"c963f",6,4.10243994138949e-05
NaN,2,1000,"c963f",7,NaN
NaN,2,1000,"c963f",8,NaN
1.04454688437385e-05,2,1000,"c963f",1,4.00452304716271e-06
9.21395944996672e-06,2,1000,"c963f",2,5.70933154907223e-06
2.05245788450071e-05,2,1000,"c963f",3,3.51236696674977e-06
1.34980021980796e-05,2,1000,"c963f",4,2.18635926016038e-05
6.25304085483856e-05,2,1000,"c963f",5,2.18321364459979e-05
2.40398360529805e-05,2,1000,"c963f",6,3.97152909074781e-05
NaN,2,1000,"c963f",7,NaN
NaN,2,1000,"c963f",8,NaN
