PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec
NaN,2,500,"c963f",1,0
NaN,2,500,"c963f",2,0
NaN,2,500,"c963f",3,0
NaN,2,500,"c963f",4,1.82935740193119e-05
NaN,2,500,"c963f",5,1.34647300712897e-05
NaN,2,500,"c963f",6,3.20132035367853e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
NaN,2,500,"c963f",1,0
NaN,2,500,"c963f",2,0
6.45550434749772e-05,2,500,"c963f",3,0
7.79541383572786e-05,2,500,"c963f",4,1.27061473098218e-05
NaN,2,500,"c963f",5,6.76611720123312e-06
NaN,2,500,"c963f",6,2.55025121801625e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
NaN,2,500,"c963f",1,0
NaN,2,500,"c963f",2,0
NaN,2,500,"c963f",3,0
NaN,2,500,"c963f",4,1.15084082978637e-05
NaN,2,500,"c963f",5,6.77966735010221e-06
3.03826883740115e-05,2,500,"c963f",6,2.14016241042838e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
NaN,2,500,"c963f",1,0
NaN,2,500,"c963f",2,0
NaN,2,500,"c963f",3,0
1.73696720706558e-05,2,500,"c963f",4,9.99522974876879e-06
6.67091974321395e-05,2,500,"c963f",5,1.08628777374836e-05
2.15316433878447e-05,2,500,"c963f",6,2.46571546835868e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
NaN,2,500,"c963f",1,0
NaN,2,500,"c963f",2,0
NaN,2,500,"c963f",3,0
NaN,2,500,"c963f",4,1.7754653090356e-05
NaN,2,500,"c963f",5,1.08223197670683e-05
NaN,2,500,"c963f",6,2.85922070406041e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
NaN,2,500,"c963f",1,0
NaN,2,500,"c963f",2,0
NaN,2,500,"c963f",3,0
NaN,2,500,"c963f",4,1.88079705269317e-05
NaN,2,500,"c963f",5,1.53674479857371e-05
NaN,2,500,"c963f",6,2.93197326933305e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
NaN,2,500,"c963f",1,0
NaN,2,500,"c963f",2,0
NaN,2,500,"c963f",3,0
3.02659708153969e-05,2,500,"c963f",4,1.75253033051462e-05
3.71473576650692e-05,2,500,"c963f",5,1.23301583582075e-05
NaN,2,500,"c963f",6,2.46569832608053e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
NaN,2,500,"c963f",1,0
NaN,2,500,"c963f",2,0
NaN,2,500,"c963f",3,0
7.86956482380151e-05,2,500,"c963f",4,1.03313153292796e-05
7.79003146378172e-05,2,500,"c963f",5,7.97911585436446e-06
3.73123099266038e-05,2,500,"c963f",6,2.34204818683568e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
NaN,2,500,"c963f",1,0
NaN,2,500,"c963f",2,0
NaN,2,500,"c963f",3,0
NaN,2,500,"c963f",4,1.35756390213693e-05
NaN,2,500,"c963f",5,1.15877817344196e-05
NaN,2,500,"c963f",6,2.95065687645346e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
NaN,2,500,"c963f",1,0
NaN,2,500,"c963f",2,0
4.97070279389745e-05,2,500,"c963f",3,0
5.43451403325217e-05,2,500,"c963f",4,1.27697427108087e-05
8.18268080627985e-05,2,500,"c963f",5,4.17443636372862e-06
0.000145714539210401,2,500,"c963f",6,2.16694771771704e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
NaN,2,500,"c963f",1,0
NaN,2,500,"c963f",2,0
NaN,2,500,"c963f",3,0
NaN,2,500,"c963f",4,2.08721993089888e-05
NaN,2,500,"c963f",5,7.21307073032733e-06
NaN,2,500,"c963f",6,1.74168754820551e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
NaN,2,500,"c963f",1,0
NaN,2,500,"c963f",2,0
7.97468917351587e-05,2,500,"c963f",3,0
NaN,2,500,"c963f",4,1.85189068692763e-05
NaN,2,500,"c963f",5,1.6366534642525e-05
3.65241076619917e-05,2,500,"c963f",6,2.45359101131338e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
NaN,2,500,"c963f",1,0
NaN,2,500,"c963f",2,0
NaN,2,500,"c963f",3,0
3.60250896150709e-05,2,500,"c963f",4,1.61053593672885e-05
2.93779889908318e-05,2,500,"c963f",5,1.36843674406471e-05
NaN,2,500,"c963f",6,2.58897040805884e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
NaN,2,500,"c963f",1,0
NaN,2,500,"c963f",2,0
2.73492978757854e-05,2,500,"c963f",3,0
1.31854513374521e-05,2,500,"c963f",4,1.88938371130353e-05
NaN,2,500,"c963f",5,1.51129382360888e-05
NaN,2,500,"c963f",6,1.91656663732234e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
NaN,2,500,"c963f",1,0
NaN,2,500,"c963f",2,0
NaN,2,500,"c963f",3,0
NaN,2,500,"c963f",4,1.80983300229291e-05
NaN,2,500,"c963f",5,1.4351448571401e-05
NaN,2,500,"c963f",6,2.87976280455005e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
NaN,2,500,"c963f",1,0
NaN,2,500,"c963f",2,0
NaN,2,500,"c963f",3,0
NaN,2,500,"c963f",4,1.83516364307729e-05
NaN,2,500,"c963f",5,1.3057144208394e-05
0.000112732157222307,2,500,"c963f",6,2.65280675157058e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
9.89682217399795e-05,2,500,"c963f",1,0
7.27518457392843e-05,2,500,"c963f",2,0
7.34224381435238e-05,2,500,"c963f",3,0
4.05756117498215e-05,2,500,"c963f",4,2.27773195436773e-05
NaN,2,500,"c963f",5,1.94038148932092e-05
NaN,2,500,"c963f",6,2.86532135084787e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
NaN,2,500,"c963f",1,0
NaN,2,500,"c963f",2,0
NaN,2,500,"c963f",3,0
NaN,2,500,"c963f",4,2.07634111500317e-05
NaN,2,500,"c963f",5,1.25449552406847e-05
1.17214679689259e-05,2,500,"c963f",6,3.03530412510077e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
NaN,2,500,"c963f",1,0
NaN,2,500,"c963f",2,0
NaN,2,500,"c963f",3,0
9.75242062736918e-05,2,500,"c963f",4,2.13330431591358e-05
NaN,2,500,"c963f",5,1.26794711856702e-05
1.38280979878124e-05,2,500,"c963f",6,2.77539504528897e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
NaN,2,500,"c963f",1,0
NaN,2,500,"c963f",2,0
NaN,2,500,"c963f",3,0
NaN,2,500,"c963f",4,1.79904109138395e-05
NaN,2,500,"c963f",5,1.37328444781957e-05
NaN,2,500,"c963f",6,2.50371597748315e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
NaN,2,500,"c963f",1,0
NaN,2,500,"c963f",2,0
NaN,2,500,"c963f",3,0
NaN,2,500,"c963f",4,2.84538855204039e-05
NaN,2,500,"c963f",5,2.13470920226567e-05
NaN,2,500,"c963f",6,3.4931558500724e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
3.44119975575689e-05,2,500,"c963f",1,0
NaN,2,500,"c963f",2,0
NaN,2,500,"c963f",3,0
NaN,2,500,"c963f",4,1.23557512461735e-05
4.35335479427753e-05,2,500,"c963f",5,1.53322947361037e-05
NaN,2,500,"c963f",6,2.49505835638508e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
NaN,2,500,"c963f",1,0
NaN,2,500,"c963f",2,0
NaN,2,500,"c963f",3,0
NaN,2,500,"c963f",4,1.34291686032547e-05
NaN,2,500,"c963f",5,1.39229352544221e-05
NaN,2,500,"c963f",6,2.6198989558813e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
NaN,2,500,"c963f",1,0
NaN,2,500,"c963f",2,0
NaN,2,500,"c963f",3,0
NaN,2,500,"c963f",4,1.15911456655317e-05
NaN,2,500,"c963f",5,3.10554863327878e-06
NaN,2,500,"c963f",6,1.71367949244274e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
NaN,2,500,"c963f",1,0
NaN,2,500,"c963f",2,0
0.000168560896173742,2,500,"c963f",3,0
NaN,2,500,"c963f",4,2.24161721240525e-05
NaN,2,500,"c963f",5,1.83009239277742e-05
NaN,2,500,"c963f",6,2.68379326244951e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
NaN,2,500,"c963f",1,0
NaN,2,500,"c963f",2,0
NaN,2,500,"c963f",3,0
NaN,2,500,"c963f",4,1.60761381858261e-05
4.57824493238944e-05,2,500,"c963f",5,1.404710517996e-05
NaN,2,500,"c963f",6,2.7662180127106e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
NaN,2,500,"c963f",1,0
NaN,2,500,"c963f",2,0
NaN,2,500,"c963f",3,0
NaN,2,500,"c963f",4,1.5617669184449e-05
NaN,2,500,"c963f",5,1.20748250246388e-05
NaN,2,500,"c963f",6,2.92334820054659e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
NaN,2,1000,"c963f",1,0
NaN,2,1000,"c963f",2,0
NaN,2,1000,"c963f",3,1.91882060358688e-05
NaN,2,1000,"c963f",4,2.58340222299394e-05
NaN,2,1000,"c963f",5,3.18129610859232e-05
0.000231868029108514,2,1000,"c963f",6,4.72611146133804e-05
NaN,2,1000,"c963f",7,NaN
NaN,2,1000,"c963f",8,NaN
NaN,2,1000,"c963f",1,0
NaN,2,1000,"c963f",2,0
NaN,2,1000,"c963f",3,9.0849285235864e-06
NaN,2,1000,"c963f",4,1.93148546156447e-05
NaN,2,1000,"c963f",5,2.5215476948032e-05
0.000220890175184675,2,1000,"c963f",6,3.66587401666546e-05
NaN,2,1000,"c963f",7,NaN
NaN,2,1000,"c963f",8,NaN
NaN,2,1000,"c963f",1,0
NaN,2,1000,"c963f",2,0
NaN,2,1000,"c963f",3,1.21091636297244e-05
NaN,2,1000,"c963f",4,1.9669763931184e-05
4.15820157990582e-05,2,1000,"c963f",5,2.57830761086163e-05
2.71041329641829e-05,2,1000,"c963f",6,4.34255097040415e-05
NaN,2,1000,"c963f",7,NaN
NaN,2,1000,"c963f",8,NaN
NaN,2,1000,"c963f",1,0
NaN,2,1000,"c963f",2,0
0.000125442219338781,2,1000,"c963f",3,9.03840662214939e-06
0.000111574605923875,2,1000,"c963f",4,1.58297494343865e-05
3.34026645718859e-05,2,1000,"c963f",5,1.79167679017758e-05
6.45287418116712e-05,2,1000,"c963f",6,3.61097950866158e-05
NaN,2,1000,"c963f",7,NaN
NaN,2,1000,"c963f",8,NaN
NaN,2,1000,"c963f",1,0
NaN,2,1000,"c963f",2,0
NaN,2,1000,"c963f",3,1.43878171748756e-05
NaN,2,1000,"c963f",4,2.08103961421043e-05
0.000126685480143894,2,1000,"c963f",5,3.04124174346069e-05
0.000146187264610521,2,1000,"c963f",6,4.71981044952627e-05
NaN,2,1000,"c963f",7,NaN
NaN,2,1000,"c963f",8,NaN
NaN,2,1000,"c963f",1,0
NaN,2,1000,"c963f",2,0
2.77616570096701e-05,2,1000,"c963f",3,1.25640921474579e-05
1.14725562080608e-05,2,1000,"c963f",4,1.97874645645225e-05
2.2550924968247e-05,2,1000,"c963f",5,2.6037015253966e-05
2.37728413138129e-05,2,1000,"c963f",6,4.10243994138949e-05
NaN,2,1000,"c963f",7,NaN
NaN,2,1000,"c963f",8,NaN
NaN,2,1000,"c963f",1,0
NaN,2,1000,"c963f",2,0
3.65970313175513e-05,2,1000,"c963f",3,1.48210122350361e-05
NaN,2,1000,"c963f",4,2.18635926016038e-05
0.000124961637764647,2,1000,"c963f",5,2.18321364459979e-05
NaN,2,1000,"c963f",6,3.97152909074782e-05
NaN,2,1000,"c963f",7,NaN
NaN,2,1000,"c963f",8,NaN
2.43592560686922e-05,2,1000,"c963f",1,0
NaN,2,1000,"c963f",2,0
NaN,2,1000,"c963f",3,1.42551503958516e-05
NaN,2,1000,"c963f",4,2.27001245323272e-05
NaN,2,1000,"c963f",5,3.11269481902071e-05
NaN,2,1000,"c963f",6,4.34020193127131e-05
NaN,2,1000,"c963f",7,NaN
NaN,2,1000,"c963f",8,NaN
NaN,2,1000,"c963f",1,0
NaN,2,1000,"c963f",2,0
NaN,2,1000,"c963f",3,1.52082145908695e-05
NaN,2,1000,"c963f",4,2.46305038050482e-05
9.39685096606846e-05,2,1000,"c963f",5,2.59624375997874e-05
6.09503284554283e-05,2,1000,"c963f",6,3.59538773742023e-05
NaN,2,1000,"c963f",7,NaN
NaN,2,1000,"c963f",8,NaN
NaN,2,1000,"c963f",1,0
NaN,2,1000,"c963f",2,0
6.55101244017143e-05,2,1000,"c963f",3,1.67046624040109e-05
NaN,2,1000,"c963f",4,2.06248535534208e-05
7.23436062781858e-05,2,1000,"c963f",5,2.67337616627329e-05
6.91289663268719e-05,2,1000,"c963f",6,4.12462546427632e-05
NaN,2,1000,"c963f",7,NaN
NaN,2,1000,"c963f",8,NaN
7.47515737488876e-05,2,1000,"c963f",1,0
NaN,2,1000,"c963f",2,0
NaN,2,1000,"c963f",3,2.12319209314043e-05
NaN,2,1000,"c963f",4,2.69152345525921e-05
NaN,2,1000,"c963f",5,3.64496279381946e-05
2.89702571619733e-05,2,1000,"c963f",6,5.18987660733257e-05
NaN,2,1000,"c963f",7,NaN
NaN,2,1000,"c963f",8,NaN
NaN,2,1000,"c963f",1,0
NaN,2,1000,"c963f",2,0
NaN,2,1000,"c963f",3,1.50427140126644e-05
NaN,2,1000,"c963f",4,2.1436250183529e-05
NaN,2,1000,"c963f",5,2.54951559044877e-05
NaN,2,1000,"c963f",6,4.12258154557603e-05
NaN,2,1000,"c963f",7,NaN
NaN,2,1000,"c963f",8,NaN
NaN,2,1000,"c963f",1,0
NaN,2,1000,"c963f",2,0
0.000117760297469947,2,1000,"c963f",3,2.10714322234242e-05
6.00719133926228e-05,2,1000,"c963f",4,2.10483463863136e-05
NaN,2,1000,"c963f",5,2.60312881990878e-05
0.000124008819001163,2,1000,"c963f",6,4.92660384689493e-05
NaN,2,1000,"c963f",7,NaN
NaN,2,1000,"c963f",8,NaN
NaN,2,1000,"c963f",1,0
NaN,2,1000,"c963f",2,0
NaN,2,1000,"c963f",3,1.78207080893272e-05
NaN,2,1000,"c963f",4,2.46305328683416e-05
NaN,2,1000,"c963f",5,2.51964514759417e-05
4.4540056338329e-05,2,1000,"c963f",6,3.76157163243339e-05
NaN,2,1000,"c963f",7,NaN
NaN,2,1000,"c963f",8,NaN
NaN,2,1000,"c963f",1,0
NaN,2,1000,"c963f",2,0
NaN,2,1000,"c963f",3,1.81045856016429e-05
NaN,2,1000,"c963f",4,2.6652018791175e-05
