PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec
NaN,2,500,"c963f",1,0
NaN,2,500,"c963f",2,0
NaN,2,500,"c963f",3,0
1.22678748897189e-05,2,500,"c963f",4,1.40516024932244e-05
NaN,2,500,"c963f",5,9.73914242543539e-06
NaN,2,500,"c963f",6,2.64333403090845e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
1.98767893407395e-05,2,500,"c963f",1,0
NaN,2,500,"c963f",2,0
4.58348077285267e-05,2,500,"c963f",3,0
1.62073395193396e-05,2,500,"c963f",4,1.46019941787071e-05
NaN,2,500,"c963f",5,1.02877880592914e-05
3.23060990282235e-05,2,500,"c963f",6,2.57146487528395e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
NaN,2,500,"c963f",1,0
NaN,2,500,"c963f",2,0
1.43838189391519e-05,2,500,"c963f",3,0
NaN,2,500,"c963f",4,1.84977265363036e-05
NaN,2,500,"c963f",5,1.33456719241978e-05
NaN,2,500,"c963f",6,2.31611568189002e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
3.06128861754709e-05,2,500,"c963f",1,0
2.51735759567602e-05,2,500,"c963f",2,0
1.73732974865837e-05,2,500,"c963f",3,0
1.70344126040707e-05,2,500,"c963f",4,2.02431642394914e-05
1.40076661219244e-05,2,500,"c963f",5,1.42836460012307e-05
NaN,2,500,"c963f",6,2.76650865005826e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
NaN,2,500,"c963f",1,0
NaN,2,500,"c963f",2,0
NaN,2,500,"c963f",3,0
NaN,2,500,"c963f",4,1.76492246318833e-05
NaN,2,500,"c963f",5,1.44017589148471e-05
NaN,2,500,"c963f",6,2.60111718344621e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
NaN,2,500,"c963f",1,0
NaN,2,500,"c963f",2,0
NaN,2,500,"c963f",3,0
NaN,2,500,"c963f",4,1.80366598314425e-05
NaN,2,500,"c963f",5,1.48076180441243e-05
NaN,2,500,"c963f",6,2.79111982523556e-05
NaN,2,500,"c963f",7,NaN
NaN,2,500,"c963f",8,NaN
NaN,2,1000,"c963f",1,0
NaN,2,1000,"c963f",2,0
NaN,2,1000,"c963f",3,1.2761704397241e-05
NaN,2,1000,"c963f",4,2.02917572706518e-05
1.02221544952045e-05,2,1000,"c963f",5,2.62281398957908e-05
2.26505986968109e-05,2,1000,"c963f",6,4.2130652813191e-05
NaN,2,1000,"c963f",7,NaN
NaN,2,1000,"c963f",8,NaN
NaN,2,1000,"c963f",1,0
NaN,2,1000,"c963f",2,0
NaN,2,1000,"c963f",3,1.47106263546452e-05
NaN,2,1000,"c963f",4,2.19213078113845e-05
1.45558248895136e-05,2,1000,"c963f",5,2.63384598305382e-05
2.60050231767984e-05,2,1000,"c963f",6,4.02683683302103e-05
NaN,2,1000,"c963f",7,NaN
NaN,2,1000,"c963f",8,NaN
NaN,2,1000,"c963f",1,0
NaN,2,1000,"c963f",2,0
NaN,2,1000,"c963f",3,1.86542721716926e-05
NaN,2,1000,"c963f",4,2.41364765563903e-05
2.02157307202263e-05,2,1000,"c963f",5,2.80292551924223e-05
3.77543392466157e-05,2,1000,"c963f",6,4.61470823170272e-05
NaN,2,1000,"c963f",7,NaN
NaN,2,1000,"c963f",8,NaN
NaN,2,1000,"c963f",1,0
NaN,2,1000,"c963f",2,0
4.38316509293579e-05,2,1000,"c963f",3,1.66334654376196e-05
2.69535952422889e-05,2,1000,"c963f",4,2.36754424069905e-05
NaN,2,1000,"c963f",5,2.767821707345e-05
NaN,2,1000,"c963f",6,4.24237536747027e-05
NaN,2,1000,"c963f",7,NaN
NaN,2,1000,"c963f",8,NaN
NaN,2,1000,"c963f",1,0
NaN,2,1000,"c963f",2,0
NaN,2,1000,"c963f",3,1.51109494804358e-05
NaN,2,1000,"c963f",4,1.99785958774315e-05
5.18614544786287e-05,2,1000,"c963f",5,2.33169604420277e-05
9.11390038353529e-05,2,1000,"c963f",6,3.3762537750674e-05
NaN,2,1000,"c963f",7,NaN
NaN,2,1000,"c963f",8,NaN
NaN,2,1000,"c963f",1,0
NaN,2,1000,"c963f",2,0
NaN,2,1000,"c963f",3,1.51046374640695e-05
NaN,2,1000,"c963f",4,2.0200351365281e-05
1.68292798626303e-05,2,1000,"c963f",5,2.67273021183278e-05
2.65220581825568e-05,2,1000,"c963f",6,3.98943385193194e-05
NaN,2,1000,"c963f",7,NaN
NaN,2,1000,"c963f",8,NaN
2.68228482786406e-05,2,2000,"c963f",1,0
NaN,2,2000,"c963f",2,8.48592128498984e-06
NaN,2,2000,"c963f",3,0
2.99700868968501e-05,2,2000,"c963f",4,4.78944081991606e-05
4.98379207139754e-05,2,2000,"c963f",5,1.79422717566634e-05
0.000142606269789233,2,2000,"c963f",6,8.03754736506618e-05
NaN,2,2000,"c963f",7,NaN
NaN,2,2000,"c963f",8,NaN
NaN,2,2000,"c963f",1,0
NaN,2,2000,"c963f",2,4.8321327699706e-06
1.76557270517094e-05,2,2000,"c963f",3,0
3.39414092591103e-05,2,2000,"c963f",4,4.92479554005031e-05
4.7762297422649e-05,2,2000,"c963f",5,9.66574391568407e-06
0.000125837103195895,2,2000,"c963f",6,5.63006826030193e-05
NaN,2,2000,"c963f",7,NaN
NaN,2,2000,"c963f",8,NaN
NaN,2,2000,"c963f",1,0
NaN,2,2000,"c963f",2,3.02970109427121e-06
NaN,2,2000,"c963f",3,0
3.79890042480318e-05,2,2000,"c963f",4,5.34250965904048e-05
4.06943511577418e-05,2,2000,"c963f",5,2.38686142871319e-06
0.000120649598089892,2,2000,"c963f",6,5.18668838802472e-05
NaN,2,2000,"c963f",7,NaN
NaN,2,2000,"c963f",8,NaN
NaN,2,2000,"c963f",1,0
NaN,2,2000,"c963f",2,7.16309915116212e-06
5.75040907464953e-05,2,2000,"c963f",3,0
NaN,2,2000,"c963f",4,5.17775184444957e-05
NaN,2,2000,"c963f",5,1.70091397549573e-05
0.0001243749961402,2,2000,"c963f",6,4.62698029746937e-05
NaN,2,2000,"c963f",7,NaN
NaN,2,2000,"c963f",8,NaN
3.60896473951365e-05,2,2000,"c963f",1,0
NaN,2,2000,"c963f",2,1.09435090045034e-05
NaN,2,2000,"c963f",3,0
2.59766233118077e-05,2,2000,"c963f",4,4.8247913055754e-05
3.62111611685644e-05,2,2000,"c963f",5,5.49550172555541e-06
0.000118493441477498,2,2000,"c963f",6,5.08261251682043e-05
NaN,2,2000,"c963f",7,NaN
NaN,2,2000,"c963f",8,NaN
1.4263838540062e-05,2,3000,"c963f",1,2.12551870101372e-05
NaN,2,3000,"c963f",2,0
2.67760133276617e-05,2,3000,"c963f",3,3.32479884869922e-05
4.48905992717806e-05,2,3000,"c963f",4,1.24655411622292e-05
8.54129862187826e-05,2,3000,"c963f",5,2.08489615659381e-05
0.000261970465545503,2,3000,"c963f",6,0.000185525965588507
NaN,2,3000,"c963f",7,NaN
NaN,2,3000,"c963f",8,NaN
2.07591106916561e-05,2,3000,"c963f",1,2.13223889800637e-05
1.88227560603261e-05,2,3000,"c963f",2,0
3.30466944679403e-05,2,3000,"c963f",3,3.30754632534295e-05
5.57402528100285e-05,2,3000,"c963f",4,4.25254546021028e-07
0.000102812430753854,2,3000,"c963f",5,4.40097824372144e-05
0.000289373623633234,2,3000,"c963f",6,0.000222384419173635
NaN,2,3000,"c963f",7,NaN
NaN,2,3000,"c963f",8,NaN
1.74245600896876e-05,2,3000,"c963f",1,2.34602812699543e-05
2.53599804328135e-05,2,3000,"c963f",2,0
2.79825478828078e-05,2,3000,"c963f",3,3.94853507142605e-05
6.05067379690625e-05,2,3000,"c963f",4,5.95444365214479e-07
0.00011408176826159,2,3000,"c963f",5,5.30972857713405e-05
0.000270768917653879,2,3000,"c963f",6,0.000198867713770364
NaN,2,3000,"c963f",7,NaN
NaN,2,3000,"c963f",8,NaN
NaN,2,3000,"c963f",1,2.73998787151728e-05
NaN,2,3000,"c963f",2,0
1.2363867473503e-05,2,3000,"c963f",3,3.80077716487515e-05
3.30918202603724e-05,2,3000,"c963f",4,3.17414030272807e-05
6.37173042370566e-05,2,3000,"c963f",5,8.66836325125479e-06
0.00024275394727134,2,3000,"c963f",6,0.000155294485831842
NaN,2,3000,"c963f",7,NaN
NaN,2,3000,"c963f",8,NaN
NaN,2,3000,"c963f",1,2.04795776059093e-05
NaN,2,3000,"c963f",2,0
2.11173567168078e-05,2,3000,"c963f",3,3.25937793787368e-05
4.03917449450594e-05,2,3000,"c963f",4,1.63825044406534e-05
7.37202698132146e-05,2,3000,"c963f",5,7.81980510923602e-06
0.000256491666514596,2,3000,"c963f",6,0.000172256673905075
NaN,2,3000,"c963f",7,NaN
NaN,2,3000,"c963f",8,NaN
NaN,4,500,"c963f",1,0
NaN,4,500,"c963f",2,0
NaN,4,500,"c963f",3,0
NaN,4,500,"c963f",4,0
NaN,4,500,"c963f",5,0
NaN,4,500,"c963f",6,0
NaN,4,500,"c963f",7,NaN
NaN,4,500,"c963f",8,NaN
NaN,4,500,"c963f",1,0
NaN,4,500,"c963f",2,0
NaN,4,500,"c963f",3,0
NaN,4,500,"c963f",4,0
NaN,4,500,"c963f",5,0
NaN,4,500,"c963f",6,0
NaN,4,500,"c963f",7,NaN
NaN,4,500,"c963f",8,NaN
NaN,4,500,"c963f",1,0
NaN,4,500,"c963f",2,0
NaN,4,500,"c963f",3,0
NaN,4,500,"c963f",4,0
NaN,4,500,"c963f",5,0
NaN,4,500,"c963f",6,0
NaN,4,500,"c963f",7,NaN
NaN,4,500,"c963f",8,NaN
NaN,4,500,"c963f",1,0
NaN,4,500,"c963f",2,0
NaN,4,500,"c963f",3,0
NaN,4,500,"c963f",4,0
NaN,4,500,"c963f",5,0
NaN,4,500,"c963f",6,0
NaN,4,500,"c963f",7,NaN
NaN,4,500,"c963f",8,NaN
NaN,4,500,"c963f",1,0
NaN,4,500,"c963f",2,0
NaN,4,500,"c963f",3,0
NaN,4,500,"c963f",4,0
NaN,4,500,"c963f",5,0
9.8266690231818e-05,4,500,"c963f",6,0
NaN,4,500,"c963f",7,NaN
NaN,4,500,"c963f",8,NaN
NaN,4,500,"c963f",1,0
NaN,4,500,"c963f",2,0
NaN,4,500,"c963f",3,0
NaN,4,500,"c963f",4,0
NaN,4,500,"c963f",5,0
NaN,4,500,"c963f",6,0
NaN,4,500,"c963f",7,NaN
NaN,4,500,"c963f",8,NaN
NaN,4,500,"c963f",1,0
NaN,4,500,"c963f",2,0
NaN,4,500,"c963f",3,0
NaN,4,500,"c963f",4,0
NaN,4,500,"c963f",5,0
NaN,4,500,"c963f",6,0
NaN,4,500,"c963f",7,NaN
NaN,4,500,"c963f",8,NaN
NaN,4,1000,"c963f",1,0
NaN,4,1000,"c963f",2,0
NaN,4,1000,"c963f",3,0
NaN,4,1000,"c963f",4,1.35446494637255e-05
NaN,4,1000,"c963f",5,1.35240937260916e-05
2.71634152876016e-05,4,1000,"c963f",6,3.2066254418752e-05
NaN,4,1000,"c963f",7,NaN
NaN,4,1000,"c963f",8,NaN
NaN,4,1000,"c963f",1,0
NaN,4,1000,"c963f",2,0
NaN,4,1000,"c963f",3,0
2.20725627669227e-05,4,1000,"c963f",4,1.62464375834823e-05
2.11515202258909e-05,4,1000,"c963f",5,1.47058759139236e-05
2.60235452173302e-05,4,1000,"c963f",6,3.55935851692413e-05
NaN,4,1000,"c963f",7,NaN
NaN,4,1000,"c963f",8,NaN
NaN,4,1000,"c963f",1,0
NaN,4,1000,"c963f",2,0
NaN,4,1000,"c963f",3,0
NaN,4,1000,"c963f",4,1.91506489104117e-05
NaN,4,1000,"c963f",5,1.81450763427986e-05
4.72622861345096e-05,4,1000,"c963f",6,3.87810243515755e-05
NaN,4,1000,"c963f",7,NaN
NaN,4,1000,"c963f",8,NaN
NaN,4,1000,"c963f",1,0
NaN,4,1000,"c963f",2,0
1.60174787467105e-05,4,1000,"c963f",3,0
NaN,4,1000,"c963f",4,1.73398656411176e-05
NaN,4,1000,"c963f",5,1.39230416129436e-05
4.09485224330163e-05,4,1000,"c963f",6,3.34838848168971e-05
NaN,4,1000,"c963f",7,NaN
NaN,4,1000,"c963f",8,NaN
NaN,4,1000,"c963f",1,0
NaN,4,1000,"c963f",2,0
NaN,4,1000,"c963f",3,0
NaN,4,1000,"c963f",4,1.64812265137863e-05
NaN,4,1000,"c963f",5,1.49035337981829e-05
NaN,4,1000,"c963f",6,3.22470289009242e-05
NaN,4,1000,"c963f",7,NaN
NaN,4,1000,"c963f",8,NaN
NaN,4,1000,"c963f",1,0
NaN,4,1000,"c963f",2,0
NaN,4,1000,"c963f",3,0
NaN,4,1000,"c963f",4,1.68930003766717e-05
NaN,4,1000,"c963f",5,1.6472498081092e-05
2.49847778745204e-05,4,1000,"c963f",6,3.47540771035372e-05
NaN,4,1000,"c963f",7,NaN
NaN,4,1000,"c963f",8,NaN
NaN,4,2000,"c963f",1,0
NaN,4,2000,"c963f",2,0
NaN,4,2000,"c963f",3,3.96573089129853e-06
NaN,4,2000,"c963f",4,5.54815915860333e-07
NaN,4,2000,"c963f",5,1.71889354078539e-05
NaN,4,2000,"c963f",6,9.46401018145328e-05
NaN,4,2000,"c963f",7,NaN
NaN,4,2000,"c963f",8,NaN
NaN,4,2000,"c963f",1,0
NaN,4,2000,"c963f",2,0
NaN,4,2000,"c963f",3,2.14019343087223e-06
NaN,4,2000,"c963f",4,1.16300003002342e-06
NaN,4,2000,"c963f",5,2.69369458010776e-05
NaN,4,2000,"c963f",6,0.000109953179536097
NaN,4,2000,"c963f",7,NaN
NaN,4,2000,"c963f",8,NaN
NaN,4,2000,"c963f",1,0
NaN,4,2000,"c963f",2,0
NaN,4,2000,"c963f",3,4.13479624946786e-06
NaN,4,2000,"c963f",4,1.26644058223585e-06
NaN,4,2000,"c963f",5,2.48411829047348e-05
NaN,4,2000,"c963f",6,0.000111874886327068
NaN,4,2000,"c963f",7,NaN
NaN,4,2000,"c963f",8,NaN
NaN,4,2000,"c963f",1,0
NaN,4,2000,"c963f",2,0
NaN,4,2000,"c963f",3,4.33684835426179e-06
NaN,4,2000,"c963f",4,1.31495875317396e-06
NaN,4,2000,"c963f",5,2.73547167083745e-05
NaN,4,2000,"c963f",6,0.000129754757877252
NaN,4,2000,"c963f",7,NaN
NaN,4,2000,"c963f",8,NaN
NaN,4,2000,"c963f",1,0
NaN,4,2000,"c963f",2,0
NaN,4,2000,"c963f",3,3.23164139028217e-07
NaN,4,2000,"c963f",4,2.02646578955407e-06
NaN,4,2000,"c963f",5,2.74933889272424e-05
NaN,4,2000,"c963f",6,0.000113128005337141
NaN,4,2000,"c963f",7,NaN
NaN,4,2000,"c963f",8,NaN
NaN,4,2000,"c963f",1,0
NaN,4,2000,"c963f",2,0
NaN,4,2000,"c963f",3,2.15941615053251e-06
NaN,4,2000,"c963f",4,4.95567233977231e-06
NaN,4,2000,"c963f",5,4.69107664970606e-05
NaN,4,2000,"c963f",6,0.000124059064210439
NaN,4,2000,"c963f",7,NaN
