PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec
7.44534350191209e-06,5,1500,"e6f3c",1,2.1730710957918e-07
NaN,5,1500,"e6f3c",2,1.62774859779487e-05
3.00535042895416e-05,5,1500,"e6f3c",3,2.22521791513893e-05
6.54503954684848e-05,5,1500,"e6f3c",4,6.27369974423215e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
3.20986581254166e-05,5,1500,"e6f3c",7,3.19301862196995e-05
1.62706769004886e-05,5,1500,"e6f3c",8,7.92236845499926e-06
2.53185759398365e-05,5,1500,"e6f3c",1,1.5383250448097e-05
1.21473707137986e-05,5,1500,"e6f3c",2,4.19632382076281e-06
1.61517870880398e-05,5,1500,"e6f3c",3,1.38558354404731e-05
7.88887663788255e-05,5,1500,"e6f3c",4,7.76799660010625e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
2.87967215700268e-05,5,1500,"e6f3c",7,1.47966557511509e-06
1.98440310592073e-05,5,1500,"e6f3c",8,2.36861812336918e-05
1.04978485285194e-05,5,1500,"e6f3c",1,3.76981808844878e-06
1.62919884353308e-05,5,1500,"e6f3c",2,1.02109635518747e-05
2.1604969370304e-05,5,1500,"e6f3c",3,1.38195786180955e-05
6.19389674357022e-05,5,1500,"e6f3c",4,6.18133071778065e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
1.79607898925857e-05,5,1500,"e6f3c",7,1.19102137586307e-05
4.22111471700339e-05,5,1500,"e6f3c",8,3.75184272742975e-05
1.13634501669814e-05,5,1500,"e6f3c",1,1.00347530901427e-05
7.67645227059991e-06,5,1500,"e6f3c",2,8.97044179468564e-06
1.34900592800579e-05,5,1500,"e6f3c",3,1.58476841547403e-05
5.34067707364937e-05,5,1500,"e6f3c",4,5.28126140326427e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
1.6749088812591e-05,5,1500,"e6f3c",7,2.54721060390021e-07
1.92418921447954e-05,5,1500,"e6f3c",8,5.97070714553597e-06
2.13603931092404e-05,5,1500,"e6f3c",1,3.16965454584642e-06
2.17204871277345e-05,5,1500,"e6f3c",2,1.68381245291959e-05
2.77177099311179e-05,5,1500,"e6f3c",3,2.17942953567864e-05
8.26959611025124e-05,5,1500,"e6f3c",4,8.12126946616373e-05
NaN,5,1500,"e6f3c",5,NaN
