PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec
5.5874968693429e-06,5,1500,"e6f3c",1,1.40434167392847e-05
5.56712216992977e-06,5,1500,"e6f3c",2,1.26908586748616e-05
2.04042632060696e-05,5,1500,"e6f3c",3,1.68922127573511e-05
5.0603432337052e-05,5,1500,"e6f3c",4,4.47651032618237e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
1.35655686187904e-05,5,1500,"e6f3c",7,1.37254703079406e-05
1.53014261054367e-05,5,1500,"e6f3c",8,2.19683276499679e-05
1.20583966064024e-05,5,1500,"e6f3c",1,2.57674740549587e-06
1.12952793322111e-05,5,1500,"e6f3c",2,7.35285460722921e-06
1.44333921208338e-05,5,1500,"e6f3c",3,1.19014434735229e-05
5.38157719197838e-05,5,1500,"e6f3c",4,5.21806960995055e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
2.06430486413125e-05,5,1500,"e6f3c",7,2.89063724950743e-05
3.1347588511627e-05,5,1500,"e6f3c",8,8.67883916574568e-06
6.3823109997212e-05,5,1500,"e6f3c",1,1.05330375772665e-05
1.82302127629778e-05,5,1500,"e6f3c",2,2.37784328779702e-05
1.87631710083252e-05,5,1500,"e6f3c",3,2.45276819762543e-05
6.30976935280727e-05,5,1500,"e6f3c",4,6.24930636423995e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
2.74814094763669e-05,5,1500,"e6f3c",7,6.06909640140096e-07
4.87713622912436e-05,5,1500,"e6f3c",8,3.79433269361628e-05
1.92642414304379e-06,5,1500,"e6f3c",1,1.62511942305869e-05
2.23171700030932e-05,5,1500,"e6f3c",2,2.11124937402495e-05
3.80349338407941e-06,5,1500,"e6f3c",3,2.76459745327733e-05
7.48464573019469e-05,5,1500,"e6f3c",4,6.50115448268739e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
7.42465148721946e-06,5,1500,"e6f3c",7,5.85548850958055e-06
2.40682246475834e-05,5,1500,"e6f3c",8,2.16674476006366e-05
2.52735703794405e-05,5,1500,"e6f3c",1,2.08002316641599e-05
4.48522571125612e-05,5,1500,"e6f3c",2,1.6452789989433e-05
5.14256856207166e-05,5,1500,"e6f3c",3,3.02935830170448e-05
0.000199916627008228,5,1500,"e6f3c",4,8.92345793810052e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
8.50761389622768e-05,5,1500,"e6f3c",7,8.33510776353643e-05
2.85773236820093e-05,5,1500,"e6f3c",8,7.31120387624355e-06
9.30977028006354e-06,5,1500,"e6f3c",1,6.28711377979119e-06
1.39600519336226e-05,5,1500,"e6f3c",2,5.50809051537045e-06
3.02370701936361e-05,5,1500,"e6f3c",3,1.25288909213521e-05
5.81486565932236e-05,5,1500,"e6f3c",4,5.40397007620876e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
1.64833921109405e-05,5,1500,"e6f3c",7,6.06492954067336e-06
6.16187401066293e-05,5,1500,"e6f3c",8,4.77447202348613e-05
1.49482105603256e-05,5,1500,"e6f3c",1,1.38237914810482e-05
1.13120653908905e-05,5,1500,"e6f3c",2,1.35438151065788e-05
9.51357095898471e-06,5,1500,"e6f3c",3,1.74690339098414e-05
5.05686854601863e-05,5,1500,"e6f3c",4,4.82225437267678e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
4.92689970396415e-06,5,1500,"e6f3c",7,1.33275230120987e-05
1.03219844735974e-05,5,1500,"e6f3c",8,1.16310866634308e-05
0.000111179692265862,5,1500,"e6f3c",1,1.7815060954809e-05
4.48875972328447e-05,5,1500,"e6f3c",2,4.76152516341317e-06
3.85552275681255e-05,5,1500,"e6f3c",3,1.40327712060777e-05
0.000307185765289556,5,1500,"e6f3c",4,0.000173943740639899
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
0.000202756720491671,5,1500,"e6f3c",7,6.87893140139636e-05
0.000104254966587652,5,1500,"e6f3c",8,9.18768326925326e-05
2.18157629225454e-05,5,1500,"e6f3c",1,7.65062087998412e-06
6.68166107221194e-06,5,1500,"e6f3c",2,2.68811967567413e-06
1.40123961964914e-05,5,1500,"e6f3c",3,1.18904988805043e-05
7.47329458457476e-05,5,1500,"e6f3c",4,7.46333173417661e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
3.77485349417987e-05,5,1500,"e6f3c",7,3.85549773705011e-05
2.68993225867468e-05,5,1500,"e6f3c",8,8.65337341063437e-06
9.66744419505884e-06,5,1500,"e6f3c",1,5.09295781379702e-06
1.14976679959727e-05,5,1500,"e6f3c",2,9.37935832095211e-06
1.51879989417485e-05,5,1500,"e6f3c",3,1.33579822845903e-05
3.99519994663e-05,5,1500,"e6f3c",4,3.75605275347924e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
2.93511939925752e-05,5,1500,"e6f3c",7,7.88167915583781e-06
4.07411247439697e-05,5,1500,"e6f3c",8,2.4168360011731e-05
2.97579209250142e-05,5,1500,"e6f3c",1,2.06837162185866e-05
1.05210817881221e-06,5,1500,"e6f3c",2,8.24941766427228e-06
2.14790803325172e-05,5,1500,"e6f3c",3,8.97649587764108e-06
3.84331269763059e-05,5,1500,"e6f3c",4,3.70278370656308e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
3.34232497813638e-05,5,1500,"e6f3c",7,1.15643733376747e-05
0.000125740619205324,5,1500,"e6f3c",8,0.000106516665026548
2.37747282811138e-05,5,1500,"e6f3c",1,1.72895886832096e-05
2.41611085268973e-05,5,1500,"e6f3c",2,1.77381846888161e-05
2.83564958082481e-05,5,1500,"e6f3c",3,1.87995486728709e-05
3.67799118444356e-05,5,1500,"e6f3c",4,4.10312594282533e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
7.6179040295713e-06,5,1500,"e6f3c",7,1.02351302830712e-05
2.85061783345168e-06,5,1500,"e6f3c",8,1.80002467214487e-05
5.92666980592429e-06,5,1500,"e6f3c",1,1.40133706426005e-06
1.66229111472499e-05,5,1500,"e6f3c",2,8.02504667651374e-06
2.47403169935084e-05,5,1500,"e6f3c",3,1.03774359140728e-05
5.4945195367601e-05,5,1500,"e6f3c",4,4.7613815967304e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
2.42780727958111e-05,5,1500,"e6f3c",7,1.21710102181669e-05
2.05392310617569e-05,5,1500,"e6f3c",8,1.31305414891087e-05
4.5801243425829e-05,5,1500,"e6f3c",1,1.96482746621894e-05
2.61347748519991e-05,5,1500,"e6f3c",2,2.52489973759312e-05
6.57063433769266e-05,5,1500,"e6f3c",3,3.47548815782562e-05
0.000224099137693447,5,1500,"e6f3c",4,0.000141636252115009
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
0.000159903932310891,5,1500,"e6f3c",7,9.1788560672531e-06
6.46291635872122e-05,5,1500,"e6f3c",8,2.31430372329128e-05
4.11245349270919e-05,5,1500,"e6f3c",1,5.61599058520066e-06
1.41577086007709e-05,5,1500,"e6f3c",2,8.29200668238476e-06
1.29953457302088e-05,5,1500,"e6f3c",3,1.41425228029186e-05
5.27639375540489e-05,5,1500,"e6f3c",4,4.17573713128349e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
1.36301950113863e-05,5,1500,"e6f3c",7,6.46068051188239e-07
4.28612414067032e-05,5,1500,"e6f3c",8,2.68016459014691e-05
8.64227906669058e-06,5,1500,"e6f3c",1,5.11150210256382e-06
6.95856369469082e-06,5,1500,"e6f3c",2,7.31888362331993e-06
1.44095468339552e-05,5,1500,"e6f3c",3,1.08262294772111e-05
4.4835856197714e-05,5,1500,"e6f3c",4,4.35234993210618e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
2.05929248834162e-05,5,1500,"e6f3c",7,7.36612458463377e-06
1.62088639569025e-05,5,1500,"e6f3c",8,1.69805531790763e-05
1.21860089422201e-05,5,1500,"e6f3c",1,2.20807440275997e-06
1.0469535947031e-05,5,1500,"e6f3c",2,3.05000841365857e-07
5.71948347545309e-06,5,1500,"e6f3c",3,1.29371020669453e-07
2.57479231193527e-05,5,1500,"e6f3c",4,2.42367034745777e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
3.17061976471018e-05,5,1500,"e6f3c",7,1.74345761063734e-05
2.93407127301446e-05,5,1500,"e6f3c",8,3.09257733193606e-05
1.62190787173646e-05,5,1500,"e6f3c",1,3.59420699539427e-05
2.85183051100187e-05,5,1500,"e6f3c",2,1.47569720317791e-05
4.19236731337485e-05,5,1500,"e6f3c",3,2.92479410101625e-05
0.000136774080062567,5,1500,"e6f3c",4,0.000104673299393541
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
0.000100741692686346,5,1500,"e6f3c",7,5.70812920656668e-05
7.02929249307282e-05,5,1500,"e6f3c",8,2.95592522291914e-05
6.44499363528564e-06,5,1500,"e6f3c",1,1.70389480297383e-06
7.50292705089618e-06,5,1500,"e6f3c",2,1.64545327927162e-07
9.83353813679851e-06,5,1500,"e6f3c",3,2.4805421996596e-06
