PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec
NaN,5,1500,"e6f3c",1,0
NaN,5,1500,"e6f3c",2,0
NaN,5,1500,"e6f3c",3,0
5.75570216714028e-05,5,1500,"e6f3c",4,4.47651032618237e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
1.40750733310326e-05,5,1500,"e6f3c",7,0
NaN,5,1500,"e6f3c",8,0
NaN,5,1500,"e6f3c",1,0
NaN,5,1500,"e6f3c",2,0
NaN,5,1500,"e6f3c",3,0
5.38157719197838e-05,5,1500,"e6f3c",4,5.21806960995055e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
7.59364739368031e-05,5,1500,"e6f3c",7,0
5.59699354712097e-05,5,1500,"e6f3c",8,0
9.18348478625555e-05,5,1500,"e6f3c",1,0
NaN,5,1500,"e6f3c",2,0
NaN,5,1500,"e6f3c",3,0
7.18448853030447e-05,5,1500,"e6f3c",4,6.24930636423994e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
2.74814094763669e-05,5,1500,"e6f3c",7,0
NaN,5,1500,"e6f3c",8,0
NaN,5,1500,"e6f3c",1,0
NaN,5,1500,"e6f3c",2,0
NaN,5,1500,"e6f3c",3,0
7.48464573019469e-05,5,1500,"e6f3c",4,6.5011544826874e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
NaN,5,1500,"e6f3c",7,0
NaN,5,1500,"e6f3c",8,0
NaN,5,1500,"e6f3c",1,0
5.50604761166455e-05,5,1500,"e6f3c",2,0
9.43104990999452e-05,5,1500,"e6f3c",3,0
0.000199916627008228,5,1500,"e6f3c",4,8.92345793810052e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
0.000128145478958696,5,1500,"e6f3c",7,0
3.39867290007105e-05,5,1500,"e6f3c",8,0
NaN,5,1500,"e6f3c",1,0
NaN,5,1500,"e6f3c",2,0
3.02370701936361e-05,5,1500,"e6f3c",3,0
5.81486565932236e-05,5,1500,"e6f3c",4,5.40397007620876e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
3.23544227316013e-05,5,1500,"e6f3c",7,0
0.000105406706271314,5,1500,"e6f3c",8,0
NaN,5,1500,"e6f3c",1,0
NaN,5,1500,"e6f3c",2,0
NaN,5,1500,"e6f3c",3,0
5.05686854601863e-05,5,1500,"e6f3c",4,4.82225437267678e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
1.3352929945801e-05,5,1500,"e6f3c",7,0
NaN,5,1500,"e6f3c",8,0
0.000111179692265862,5,1500,"e6f3c",1,0
0.000101010293732271,5,1500,"e6f3c",2,0
8.85318036103116e-05,5,1500,"e6f3c",3,0
0.000307185765289557,5,1500,"e6f3c",4,0.000173943740639899
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
0.000202756720491671,5,1500,"e6f3c",7,0
0.000104254966587652,5,1500,"e6f3c",8,0
1.52679176959399e-05,5,1500,"e6f3c",1,0
NaN,5,1500,"e6f3c",2,0
3.25327515835061e-05,5,1500,"e6f3c",3,0
9.96378260061419e-05,5,1500,"e6f3c",4,7.46333173417662e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
NaN,5,1500,"e6f3c",7,0
3.07428878504319e-05,5,1500,"e6f3c",8,0
NaN,5,1500,"e6f3c",1,0
1.73349974448454e-05,5,1500,"e6f3c",2,0
1.91739361318125e-05,5,1500,"e6f3c",3,0
3.99519994663e-05,5,1500,"e6f3c",4,3.75605275347925e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
NaN,5,1500,"e6f3c",7,0
NaN,5,1500,"e6f3c",8,0
NaN,5,1500,"e6f3c",1,0
NaN,5,1500,"e6f3c",2,0
NaN,5,1500,"e6f3c",3,0
6.81636034694201e-05,5,1500,"e6f3c",4,3.70278370656308e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
4.67346108108115e-05,5,1500,"e6f3c",7,0
0.000125740619205324,5,1500,"e6f3c",8,0
NaN,5,1500,"e6f3c",1,0
NaN,5,1500,"e6f3c",2,0
NaN,5,1500,"e6f3c",3,0
6.6008775773923e-05,5,1500,"e6f3c",4,4.10312594282533e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
2.68617898859398e-05,5,1500,"e6f3c",7,0
3.17411190378595e-05,5,1500,"e6f3c",8,0
NaN,5,1500,"e6f3c",1,0
1.66229111472499e-05,5,1500,"e6f3c",2,0
2.65044751157861e-05,5,1500,"e6f3c",3,0
5.4945195367601e-05,5,1500,"e6f3c",4,4.7613815967304e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
6.47722993479641e-05,5,1500,"e6f3c",7,0
2.82305699147894e-05,5,1500,"e6f3c",8,0
NaN,5,1500,"e6f3c",1,0
NaN,5,1500,"e6f3c",2,0
5.27035177811188e-05,5,1500,"e6f3c",3,0
0.000146851789678166,5,1500,"e6f3c",4,0.000141636252115009
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
0.000159903932310891,5,1500,"e6f3c",7,0
6.93777007656988e-05,5,1500,"e6f3c",8,0
4.11245349270919e-05,5,1500,"e6f3c",1,0
NaN,5,1500,"e6f3c",2,0
NaN,5,1500,"e6f3c",3,0
5.27639375540489e-05,5,1500,"e6f3c",4,4.17573713128349e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
NaN,5,1500,"e6f3c",7,0
4.65852609056144e-05,5,1500,"e6f3c",8,0
NaN,5,1500,"e6f3c",1,0
NaN,5,1500,"e6f3c",2,0
NaN,5,1500,"e6f3c",3,0
4.78605474041329e-05,5,1500,"e6f3c",4,4.35234993210619e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
NaN,5,1500,"e6f3c",7,0
NaN,5,1500,"e6f3c",8,0
NaN,5,1500,"e6f3c",1,0
NaN,5,1500,"e6f3c",2,0
NaN,5,1500,"e6f3c",3,0
2.57479231193527e-05,5,1500,"e6f3c",4,2.42367034745777e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
NaN,5,1500,"e6f3c",7,0
5.02196858897959e-05,5,1500,"e6f3c",8,0
5.82996082192036e-05,5,1500,"e6f3c",1,0
NaN,5,1500,"e6f3c",2,0
NaN,5,1500,"e6f3c",3,0
0.000136774080062567,5,1500,"e6f3c",4,0.000104673299393541
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
0.000110120368401641,5,1500,"e6f3c",7,0
7.02929249307282e-05,5,1500,"e6f3c",8,0
NaN,5,1500,"e6f3c",1,0
NaN,5,1500,"e6f3c",2,0
NaN,5,1500,"e6f3c",3,0
4.01687256519899e-05,5,1500,"e6f3c",4,3.20802782962384e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
NaN,5,1500,"e6f3c",7,0
1.54266618138471e-05,5,1500,"e6f3c",8,0
3.70172750559573e-05,5,1500,"e6f3c",1,0
3.94652667354259e-05,5,1500,"e6f3c",2,0
8.17732997311033e-05,5,1500,"e6f3c",3,0
7.65451768192351e-05,5,1500,"e6f3c",4,5.95492896777943e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
4.16437194341133e-05,5,1500,"e6f3c",7,0
4.04765996499582e-05,5,1500,"e6f3c",8,0
NaN,5,1500,"e6f3c",1,0
NaN,5,1500,"e6f3c",2,0
NaN,5,1500,"e6f3c",3,0
4.94785140179962e-05,5,1500,"e6f3c",4,3.76973562009789e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
NaN,5,1500,"e6f3c",7,0
3.10022621934848e-05,5,1500,"e6f3c",8,0
1.08670026447999e-05,5,1500,"e6f3c",1,0
NaN,5,1500,"e6f3c",2,0
1.76792967585168e-05,5,1500,"e6f3c",3,0
9.61335671573694e-05,5,1500,"e6f3c",4,8.51277202253358e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
2.52920591794314e-05,5,1500,"e6f3c",7,0
1.7692395919482e-05,5,1500,"e6f3c",8,0
6.16436083224789e-05,5,1500,"e6f3c",1,0
4.972252816381e-05,5,1500,"e6f3c",2,0
5.95844509075869e-05,5,1500,"e6f3c",3,0
0.000204317604024812,5,1500,"e6f3c",4,0.000196567935526489
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
0.000117890731078394,5,1500,"e6f3c",7,0
NaN,5,1500,"e6f3c",8,0
NaN,5,1500,"e6f3c",1,0
NaN,5,1500,"e6f3c",2,0
5.60798892779071e-05,5,1500,"e6f3c",3,0
5.02195600398274e-05,5,1500,"e6f3c",4,3.8524923225196e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
5.80245031626834e-05,5,1500,"e6f3c",7,0
8.30179897770304e-05,5,1500,"e6f3c",8,0
NaN,5,1500,"e6f3c",1,0
NaN,5,1500,"e6f3c",2,0
NaN,5,1500,"e6f3c",3,0
8.98944202073268e-05,5,1500,"e6f3c",4,4.81455381301869e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
NaN,5,1500,"e6f3c",7,0
NaN,5,1500,"e6f3c",8,0
NaN,5,1500,"e6f3c",1,0
NaN,5,1500,"e6f3c",2,0
NaN,5,1500,"e6f3c",3,0
4.72362298374137e-05,5,1500,"e6f3c",4,3.40201843751628e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
NaN,5,1500,"e6f3c",7,0
NaN,5,1500,"e6f3c",8,0
NaN,5,1500,"e6f3c",1,0
NaN,5,1500,"e6f3c",2,0
NaN,5,1500,"e6f3c",3,0
NaN,5,1500,"e6f3c",4,3.08823106513864e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
6.15423168646333e-05,5,1500,"e6f3c",7,0
NaN,5,1500,"e6f3c",8,0
NaN,5,1500,"e6f3c",1,0
NaN,5,1500,"e6f3c",2,0
NaN,5,1500,"e6f3c",3,0
