PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec
NaN,5,1500,"e6f3c",1,0
NaN,5,1500,"e6f3c",2,0
NaN,5,1500,"e6f3c",3,0
6.54503954684848e-05,5,1500,"e6f3c",4,6.27369974423216e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
2.56834920753105e-05,5,1500,"e6f3c",7,0
2.87207008702716e-05,5,1500,"e6f3c",8,0
2.53185759398365e-05,5,1500,"e6f3c",1,0
NaN,5,1500,"e6f3c",2,0
NaN,5,1500,"e6f3c",3,0
7.8400162355633e-05,5,1500,"e6f3c",4,7.76799660010626e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
2.67152186784544e-05,5,1500,"e6f3c",7,0
2.37575661494905e-05,5,1500,"e6f3c",8,0
NaN,5,1500,"e6f3c",1,0
NaN,5,1500,"e6f3c",2,0
NaN,5,1500,"e6f3c",3,0
6.19389674357023e-05,5,1500,"e6f3c",4,6.18133071778065e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
NaN,5,1500,"e6f3c",7,0
4.2211147170034e-05,5,1500,"e6f3c",8,0
1.31135214017867e-05,5,1500,"e6f3c",1,0
NaN,5,1500,"e6f3c",2,0
NaN,5,1500,"e6f3c",3,0
5.34067707364937e-05,5,1500,"e6f3c",4,5.28126140326427e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
2.77022297704854e-05,5,1500,"e6f3c",7,0
NaN,5,1500,"e6f3c",8,0
NaN,5,1500,"e6f3c",1,0
NaN,5,1500,"e6f3c",2,0
NaN,5,1500,"e6f3c",3,0
8.26959611025124e-05,5,1500,"e6f3c",4,8.12126946616373e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
3.91677358125799e-05,5,1500,"e6f3c",7,0
1.93769672798562e-05,5,1500,"e6f3c",8,0
NaN,5,1500,"e6f3c",1,0
NaN,5,1500,"e6f3c",2,0
NaN,5,1500,"e6f3c",3,0
4.82679866958115e-05,5,1500,"e6f3c",4,4.51830260187506e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
NaN,5,1500,"e6f3c",7,0
NaN,5,1500,"e6f3c",8,0
NaN,5,1500,"e6f3c",1,0
NaN,5,1500,"e6f3c",2,0
NaN,5,1500,"e6f3c",3,0
5.77195283508865e-05,5,1500,"e6f3c",4,5.63115404282131e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
2.97049391072057e-05,5,1500,"e6f3c",7,0
1.04104499961254e-05,5,1500,"e6f3c",8,0
NaN,5,1500,"e6f3c",1,0
NaN,5,1500,"e6f3c",2,0
NaN,5,1500,"e6f3c",3,0
7.5170774293743e-05,5,1500,"e6f3c",4,6.44005091831766e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
NaN,5,1500,"e6f3c",7,0
NaN,5,1500,"e6f3c",8,0
NaN,5,1500,"e6f3c",1,0
NaN,5,1500,"e6f3c",2,0
2.21041873471902e-05,5,1500,"e6f3c",3,0
8.04350540124476e-05,5,1500,"e6f3c",4,7.93022657496792e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
4.29132953441993e-05,5,1500,"e6f3c",7,0
NaN,5,1500,"e6f3c",8,0
NaN,5,1500,"e6f3c",1,0
NaN,5,1500,"e6f3c",2,0
1.04513849673139e-05,5,1500,"e6f3c",3,0
6.76202070988248e-05,5,1500,"e6f3c",4,6.42987151239539e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
6.92398810097737e-05,5,1500,"e6f3c",7,0
4.06061222163875e-05,5,1500,"e6f3c",8,0
2.8748716184521e-05,5,1500,"e6f3c",1,0
2.81521654609437e-05,5,1500,"e6f3c",2,0
NaN,5,1500,"e6f3c",3,0
6.41545337030226e-05,5,1500,"e6f3c",4,5.03541073302437e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
NaN,5,1500,"e6f3c",7,0
2.99807134253584e-05,5,1500,"e6f3c",8,0
NaN,5,1500,"e6f3c",1,0
NaN,5,1500,"e6f3c",2,0
NaN,5,1500,"e6f3c",3,0
8.36334249760283e-05,5,1500,"e6f3c",4,6.75298203290951e-05
NaN,5,1500,"e6f3c",5,NaN
NaN,5,1500,"e6f3c",6,NaN
NaN,5,1500,"e6f3c",7,0
2.31376912493135e-05,5,1500,"e6f3c",8,0
NaN,5,2000,"e6f3c",1,0
3.92338369966652e-05,5,2000,"e6f3c",2,0
NaN,5,2000,"e6f3c",3,0
0.000143829171152892,5,2000,"e6f3c",4,0.000141768665070759
NaN,5,2000,"e6f3c",5,NaN
NaN,5,2000,"e6f3c",6,NaN
NaN,5,2000,"e6f3c",7,0
NaN,5,2000,"e6f3c",8,0
NaN,5,2000,"e6f3c",1,0
3.26478815497262e-05,5,2000,"e6f3c",2,0
4.43623488175647e-05,5,2000,"e6f3c",3,0
0.000154988105248385,5,2000,"e6f3c",4,0.000153551177016001
NaN,5,2000,"e6f3c",5,NaN
NaN,5,2000,"e6f3c",6,NaN
NaN,5,2000,"e6f3c",7,0
NaN,5,2000,"e6f3c",8,0
2.48603003757255e-05,5,2000,"e6f3c",1,0
4.27247711788521e-05,5,2000,"e6f3c",2,0
4.28085698184835e-05,5,2000,"e6f3c",3,0
0.000140439507255276,5,2000,"e6f3c",4,0.000137930480983075
NaN,5,2000,"e6f3c",5,NaN
NaN,5,2000,"e6f3c",6,NaN
1.62825287409035e-05,5,2000,"e6f3c",7,0
3.0507017713661e-05,5,2000,"e6f3c",8,0
1.74965779920043e-05,5,2000,"e6f3c",1,0
1.96296110346976e-05,5,2000,"e6f3c",2,0
2.91150527754271e-05,5,2000,"e6f3c",3,0
0.000146933090284826,5,2000,"e6f3c",4,0.000144001803741176
NaN,5,2000,"e6f3c",5,NaN
NaN,5,2000,"e6f3c",6,NaN
NaN,5,2000,"e6f3c",7,0
NaN,5,2000,"e6f3c",8,0
1.74464735395751e-05,5,2000,"e6f3c",1,0
2.25986607824966e-05,5,2000,"e6f3c",2,0
3.82193898791075e-05,5,2000,"e6f3c",3,0
0.000171274610255595,5,2000,"e6f3c",4,0.000170073128520862
NaN,5,2000,"e6f3c",5,NaN
NaN,5,2000,"e6f3c",6,NaN
1.65404722434401e-05,5,2000,"e6f3c",7,0
NaN,5,2000,"e6f3c",8,0
1.66786237601412e-05,5,2000,"e6f3c",1,0
NaN,5,2000,"e6f3c",2,0
NaN,5,2000,"e6f3c",3,0
0.00013618800279746,5,2000,"e6f3c",4,0.000134685179095302
NaN,5,2000,"e6f3c",5,NaN
NaN,5,2000,"e6f3c",6,NaN
NaN,5,2000,"e6f3c",7,0
NaN,5,2000,"e6f3c",8,0
NaN,5,2000,"e6f3c",1,0
NaN,5,2000,"e6f3c",2,0
4.47837811409581e-05,5,2000,"e6f3c",3,0
0.000176877041250314,5,2000,"e6f3c",4,0.000168846825766568
NaN,5,2000,"e6f3c",5,NaN
NaN,5,2000,"e6f3c",6,NaN
5.6287517563869e-05,5,2000,"e6f3c",7,0
NaN,5,2000,"e6f3c",8,0
NaN,5,2000,"e6f3c",1,0
NaN,5,2000,"e6f3c",2,0
NaN,5,2000,"e6f3c",3,0
0.000162464051362932,5,2000,"e6f3c",4,0.000159723978960402
NaN,5,2000,"e6f3c",5,NaN
NaN,5,2000,"e6f3c",6,NaN
2.12509200657153e-05,5,2000,"e6f3c",7,0
NaN,5,2000,"e6f3c",8,0
NaN,5,2000,"e6f3c",1,0
3.55825946137226e-05,5,2000,"e6f3c",2,0
5.39839119475896e-05,5,2000,"e6f3c",3,0
0.000213129924214016,5,2000,"e6f3c",4,0.000203149050889048
NaN,5,2000,"e6f3c",5,NaN
NaN,5,2000,"e6f3c",6,NaN
2.58476965091862e-05,5,2000,"e6f3c",7,0
NaN,5,2000,"e6f3c",8,0
NaN,5,2000,"e6f3c",1,0
NaN,5,2000,"e6f3c",2,0
NaN,5,2000,"e6f3c",3,0
0.000152427488461814,5,2000,"e6f3c",4,0.000151433044376036
NaN,5,2000,"e6f3c",5,NaN
NaN,5,2000,"e6f3c",6,NaN
NaN,5,2000,"e6f3c",7,0
NaN,5,2000,"e6f3c",8,0
NaN,5,2000,"e6f3c",1,0
NaN,5,2000,"e6f3c",2,0
NaN,5,2000,"e6f3c",3,0
0.000125482546678631,5,2000,"e6f3c",4,0.000111865231764578
NaN,5,2000,"e6f3c",5,NaN
NaN,5,2000,"e6f3c",6,NaN
NaN,5,2000,"e6f3c",7,0
NaN,5,2000,"e6f3c",8,0
3.5273376499653e-05,5,2000,"e6f3c",1,0
5.33843224877618e-05,5,2000,"e6f3c",2,0
6.16539354930315e-05,5,2000,"e6f3c",3,0
0.000198360469462598,5,2000,"e6f3c",4,0.000196098080380083
NaN,5,2000,"e6f3c",5,NaN
NaN,5,2000,"e6f3c",6,NaN
7.35146596044508e-05,5,2000,"e6f3c",7,0
9.00610787991895e-05,5,2000,"e6f3c",8,0
NaN,5,2500,"e6f3c",1,2.5034599281284e-05
3.84988129407641e-05,5,2500,"e6f3c",2,3.75930106822949e-05
5.74640950364475e-05,5,2500,"e6f3c",3,5.51756408880863e-05
0.000208147111998293,5,2500,"e6f3c",4,0.000195603816001193
NaN,5,2500,"e6f3c",5,NaN
NaN,5,2500,"e6f3c",6,NaN
NaN,5,2500,"e6f3c",7,0
NaN,5,2500,"e6f3c",8,0
NaN,5,2500,"e6f3c",1,3.70022331181923e-05
4.75933808124118e-05,5,2500,"e6f3c",2,4.72524312011317e-05
6.11332348115148e-05,5,2500,"e6f3c",3,6.08651176058656e-05
0.000235823817836892,5,2500,"e6f3c",4,0.000234137884688554
NaN,5,2500,"e6f3c",5,NaN
NaN,5,2500,"e6f3c",6,NaN
2.86672005075843e-05,5,2500,"e6f3c",7,0
NaN,5,2500,"e6f3c",8,0
NaN,5,2500,"e6f3c",1,3.17099761447625e-05
NaN,5,2500,"e6f3c",2,4.12978988508296e-05
7.00836075246136e-05,5,2500,"e6f3c",3,6.266529636449e-05
0.000236204487711132,5,2500,"e6f3c",4,0.000233363753013649
NaN,5,2500,"e6f3c",5,NaN
NaN,5,2500,"e6f3c",6,NaN
NaN,5,2500,"e6f3c",7,0
NaN,5,2500,"e6f3c",8,0
NaN,5,2500,"e6f3c",1,1.83325583269776e-05
NaN,5,2500,"e6f3c",2,3.05744169142406e-05
