PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec
7.36187056289227e-06,1,2500,"e9c9b",1,1.50051164158966e-06
5.56940441666081e-06,1,2500,"e9c9b",2,2.40855870070864e-06
2.27606081177789e-05,1,2500,"e9c9b",3,1.62782344086488e-05
1.52994718998109e-05,1,2500,"e9c9b",4,1.36209220962139e-05
2.5296812812073e-05,1,2500,"e9c9b",5,2.49389703076686e-05
5.83800537683276e-05,1,2500,"e9c9b",6,5.78071689322005e-05
NaN,1,2500,"e9c9b",7,NaN
NaN,1,2500,"e9c9b",8,NaN
1.55516144282504e-05,1,2500,"e9c9b",1,9.19710222613145e-06
8.91351912378429e-06,1,2500,"e9c9b",2,4.77473829127565e-07
1.46975639993778e-05,1,2500,"e9c9b",3,3.23827464125933e-06
3.07749032134916e-05,1,2500,"e9c9b",4,7.34263180313525e-06
2.24341436998433e-05,1,2500,"e9c9b",5,2.11688081472666e-05
5.59159188599983e-05,1,2500,"e9c9b",6,5.31059650575488e-05
NaN,1,2500,"e9c9b",7,NaN
NaN,1,2500,"e9c9b",8,NaN
5.92283665519485e-06,1,2500,"e9c9b",1,1.82381126672461e-06
2.82777046663314e-06,1,2500,"e9c9b",2,2.05327461889593e-06
2.09746753432876e-05,1,2500,"e9c9b",3,3.21749209023548e-06
2.06384247098155e-05,1,2500,"e9c9b",4,7.2133054699956e-06
2.07935277841985e-05,1,2500,"e9c9b",5,1.85915183990984e-05
6.74326955263471e-05,1,2500,"e9c9b",6,6.54833413810263e-05
NaN,1,2500,"e9c9b",7,NaN
NaN,1,2500,"e9c9b",8,NaN
1.07831765646662e-05,1,2500,"e9c9b",1,3.32882270824016e-06
4.95992700111968e-06,1,2500,"e9c9b",2,1.24231718896566e-06
1.57304890879882e-05,1,2500,"e9c9b",3,1.38617688253264e-05
2.3274734346204e-05,1,2500,"e9c9b",4,5.13167330429302e-06
1.38058071881354e-05,1,2500,"e9c9b",5,1.14459626410168e-05
4.90380134239863e-05,1,2500,"e9c9b",6,4.46341858157592e-05
NaN,1,2500,"e9c9b",7,NaN
NaN,1,2500,"e9c9b",8,NaN
1.41751514260882e-05,1,2500,"e9c9b",1,1.27284815889715e-05
5.82136721706334e-06,1,2500,"e9c9b",2,4.84878423758599e-06
1.87387034331662e-05,1,2500,"e9c9b",3,8.77199672483644e-06
2.62511480863962e-05,1,2500,"e9c9b",4,5.26820813027813e-06
3.91736473078378e-05,1,2500,"e9c9b",5,1.18565694564643e-05
7.22591110000145e-05,1,2500,"e9c9b",6,4.80089761197698e-05
NaN,1,2500,"e9c9b",7,NaN
NaN,1,2500,"e9c9b",8,NaN
1.04191707044326e-05,1,2500,"e9c9b",1,6.84928198422678e-06
1.41479780239852e-05,1,2500,"e9c9b",2,2.10169644621049e-06
2.24441173224104e-05,1,2500,"e9c9b",3,9.94386633301824e-06
3.53108242011498e-05,1,2500,"e9c9b",4,1.42371024046374e-05
3.31070693071502e-05,1,2500,"e9c9b",5,3.17786473856999e-05
7.9322140273166e-05,1,2500,"e9c9b",6,7.67520053400584e-05
NaN,1,2500,"e9c9b",7,NaN
NaN,1,2500,"e9c9b",8,NaN
1.09258965822813e-05,1,2500,"e9c9b",1,4.81777930743528e-06
6.65472841820222e-06,1,2500,"e9c9b",2,1.62985521162699e-06
1.51994056083429e-05,1,2500,"e9c9b",3,4.39948047873081e-06
2.73156859258806e-05,1,2500,"e9c9b",4,1.44507620464217e-05
2.49271595406817e-05,1,2500,"e9c9b",5,2.27835710887202e-05
5.59339419381024e-05,1,2500,"e9c9b",6,5.32262223914565e-05
NaN,1,2500,"e9c9b",7,NaN
NaN,1,2500,"e9c9b",8,NaN
1.32127682294335e-05,1,2500,"e9c9b",1,6.95297835664215e-06
5.94828516845926e-06,1,2500,"e9c9b",2,7.85006259373412e-07
6.60468964716097e-06,1,2500,"e9c9b",3,2.198933085156e-06
8.99445716259979e-06,1,2500,"e9c9b",4,2.42326852776999e-06
1.57538183344748e-05,1,2500,"e9c9b",5,8.9776331211449e-06
5.20651240174218e-05,1,2500,"e9c9b",6,4.47578607806597e-05
NaN,1,2500,"e9c9b",7,NaN
NaN,1,2500,"e9c9b",8,NaN
3.7478384474116e-06,1,2500,"e9c9b",1,8.50216310907566e-07
8.71233409812945e-06,1,2500,"e9c9b",2,5.24305424444275e-06
3.00250314301546e-05,1,2500,"e9c9b",3,2.56601714692571e-07
5.60575532154013e-05,1,2500,"e9c9b",4,2.24446091118372e-05
1.30934367869252e-05,1,2500,"e9c9b",5,4.62267023399295e-06
5.63561051125998e-05,1,2500,"e9c9b",6,4.81349079935937e-05
NaN,1,2500,"e9c9b",7,NaN
NaN,1,2500,"e9c9b",8,NaN
1.02102227227988e-05,1,2500,"e9c9b",1,1.19499899139562e-06
9.71576225213243e-06,1,2500,"e9c9b",2,2.76618967874144e-06
7.0800269391035e-06,1,2500,"e9c9b",3,1.61542007651091e-06
3.20267447733126e-05,1,2500,"e9c9b",4,4.68571066876356e-06
1.24242104993755e-05,1,2500,"e9c9b",5,6.81057052584796e-06
4.55824192716071e-05,1,2500,"e9c9b",6,4.29174158257347e-05
NaN,1,2500,"e9c9b",7,NaN
NaN,1,2500,"e9c9b",8,NaN
8.14978754574175e-06,1,2500,"e9c9b",1,7.65989671712507e-07
8.04481023439492e-06,1,2500,"e9c9b",2,3.19943234091479e-06
4.55546977935021e-06,1,2500,"e9c9b",3,1.47699872855473e-06
3.50456208678877e-05,1,2500,"e9c9b",4,2.314865542124e-05
1.90534970631113e-05,1,2500,"e9c9b",5,1.82433001118972e-05
5.95589306897746e-05,1,2500,"e9c9b",6,5.65850016618487e-05
NaN,1,2500,"e9c9b",7,NaN
NaN,1,2500,"e9c9b",8,NaN
3.98665600768843e-05,1,2500,"e9c9b",1,4.59944017385724e-06
3.722036978445e-05,1,2500,"e9c9b",2,9.88866843586827e-06
3.08220893952913e-05,1,2500,"e9c9b",3,2.90810066399984e-05
3.41308867309607e-05,1,2500,"e9c9b",4,1.6388332238901e-05
5.23038704606849e-05,1,2500,"e9c9b",5,5.21768445224919e-05
0.000108537548062188,1,2500,"e9c9b",6,0.000107254709994987
NaN,1,2500,"e9c9b",7,NaN
NaN,1,2500,"e9c9b",8,NaN
5.71398491265673e-06,1,3000,"e9c9b",1,2.42297574792903e-06
2.48586741886907e-05,1,3000,"e9c9b",2,8.19668952956004e-06
8.0266473350244e-06,1,3000,"e9c9b",3,4.85724569980064e-06
4.86976675479944e-05,1,3000,"e9c9b",4,3.98078544539191e-05
1.87807329358548e-05,1,3000,"e9c9b",5,1.65791000255336e-05
7.7020201262304e-05,1,3000,"e9c9b",6,7.45962452411091e-05
NaN,1,3000,"e9c9b",7,NaN
NaN,1,3000,"e9c9b",8,NaN
1.45108134784829e-05,1,3000,"e9c9b",1,1.32942071801412e-05
8.04042889855528e-06,1,3000,"e9c9b",2,5.88711691166148e-06
1.9454939508223e-05,1,3000,"e9c9b",3,8.20997657723579e-06
5.36500938410385e-05,1,3000,"e9c9b",4,3.30883424757807e-05
4.78762243791135e-05,1,3000,"e9c9b",5,4.6959284760847e-05
0.000109346947304597,1,3000,"e9c9b",6,0.000109346947304597
NaN,1,3000,"e9c9b",7,NaN
NaN,1,3000,"e9c9b",8,NaN
1.09655416356101e-05,1,3000,"e9c9b",1,1.25158216309597e-06
3.36363070916934e-05,1,3000,"e9c9b",2,3.32753022115019e-05
9.64419348076174e-06,1,3000,"e9c9b",3,3.93775295421505e-06
3.00071715555054e-05,1,3000,"e9c9b",4,1.18576407676192e-05
4.56555505411254e-05,1,3000,"e9c9b",5,4.53872717341873e-05
0.000127663507137413,1,3000,"e9c9b",6,0.000127311240113028
NaN,1,3000,"e9c9b",7,NaN
NaN,1,3000,"e9c9b",8,NaN
8.17046225301197e-06,1,3000,"e9c9b",1,3.17878375058166e-06
4.69679137074253e-06,1,3000,"e9c9b",2,2.65817205468739e-06
5.2071774726365e-06,1,3000,"e9c9b",3,3.81892907893656e-06
7.10005830737677e-06,1,3000,"e9c9b",4,8.781923433575e-06
2.35389084153334e-05,1,3000,"e9c9b",5,2.04368336250725e-05
8.10481052155923e-05,1,3000,"e9c9b",6,6.90073825301414e-05
NaN,1,3000,"e9c9b",7,NaN
NaN,1,3000,"e9c9b",8,NaN
5.35748460920567e-06,1,3000,"e9c9b",1,2.0085007593523e-06
8.454285351367e-06,1,3000,"e9c9b",2,2.90198783587241e-06
2.04023016484674e-05,1,3000,"e9c9b",3,1.33552003361473e-06
1.33216564557337e-05,1,3000,"e9c9b",4,6.9156717832473e-06
3.78473295231694e-05,1,3000,"e9c9b",5,3.74188975971951e-05
0.000110497559439026,1,3000,"e9c9b",6,0.000108784525160053
NaN,1,3000,"e9c9b",7,NaN
NaN,1,3000,"e9c9b",8,NaN
1.36304724213669e-05,1,3000,"e9c9b",1,1.26624187035293e-05
1.6995868251639e-05,1,3000,"e9c9b",2,1.27761569374124e-05
1.55860563661465e-05,1,3000,"e9c9b",3,1.03223081584116e-05
4.56700998572683e-05,1,3000,"e9c9b",4,2.72066569464842e-05
2.90357635914317e-05,1,3000,"e9c9b",5,2.59327986937533e-05
8.44855503763721e-05,1,3000,"e9c9b",6,7.78776669684395e-05
NaN,1,3000,"e9c9b",7,NaN
NaN,1,3000,"e9c9b",8,NaN
1.32004201698489e-05,1,3000,"e9c9b",1,1.24949828091365e-05
7.62962765903335e-06,1,3000,"e9c9b",2,2.02580498172287e-06
1.50008792897271e-05,1,3000,"e9c9b",3,2.09862326713468e-06
1.3263176232072e-05,1,3000,"e9c9b",4,1.07406550873102e-05
4.23416812457818e-05,1,3000,"e9c9b",5,4.18160001429138e-05
0.000103829703613614,1,3000,"e9c9b",6,9.86778317368833e-05
NaN,1,3000,"e9c9b",7,NaN
NaN,1,3000,"e9c9b",8,NaN
6.6335891767093e-06,1,3000,"e9c9b",1,7.60631358157177e-06
5.25680243437594e-06,1,3000,"e9c9b",2,2.13792836260024e-06
8.61208434402311e-06,1,3000,"e9c9b",3,7.8893875281656e-07
8.8202949040843e-06,1,3000,"e9c9b",4,3.95966451846309e-06
1.18421167408777e-05,1,3000,"e9c9b",5,8.66550644631523e-06
5.9268188777564e-05,1,3000,"e9c9b",6,5.60215102910471e-05
NaN,1,3000,"e9c9b",7,NaN
NaN,1,3000,"e9c9b",8,NaN
1.12924428079484e-05,1,3000,"e9c9b",1,1.06122054206491e-05
7.86591012159014e-06,1,3000,"e9c9b",2,4.4827950232269e-06
9.2016102984332e-06,1,3000,"e9c9b",3,7.6958877774514e-06
6.08928127331942e-05,1,3000,"e9c9b",4,5.60745337178602e-05
3.13537774867529e-05,1,3000,"e9c9b",5,1.62062932718354e-05
8.53865993131864e-05,1,3000,"e9c9b",6,7.83486973838944e-05
NaN,1,3000,"e9c9b",7,NaN
NaN,1,3000,"e9c9b",8,NaN
1.3555331420509e-05,1,3000,"e9c9b",1,1.11303082172595e-05
1.20799751293835e-05,1,3000,"e9c9b",2,9.35773351041511e-06
1.16825312650789e-05,1,3000,"e9c9b",3,6.36705405329849e-06
2.6871221727848e-05,1,3000,"e9c9b",4,9.17301067912872e-06
3.15581440992244e-05,1,3000,"e9c9b",5,2.70233529523933e-05
0.000111137945486861,1,3000,"e9c9b",6,0.000102511448696517
NaN,1,3000,"e9c9b",7,NaN
NaN,1,3000,"e9c9b",8,NaN
1.69945415593577e-05,1,3000,"e9c9b",1,1.35167850479706e-05
1.60131033349449e-05,1,3000,"e9c9b",2,5.65948889148234e-06
1.69295381690465e-05,1,3000,"e9c9b",3,4.44678893769802e-06
1.15313326164854e-05,1,3000,"e9c9b",4,7.50806145865319e-06
2.33979926412394e-05,1,3000,"e9c9b",5,1.63463711450273e-05
7.73048172038362e-05,1,3000,"e9c9b",6,5.9817138919308e-05
NaN,1,3000,"e9c9b",7,NaN
NaN,1,3000,"e9c9b",8,NaN
1.99956832860073e-05,1,3000,"e9c9b",1,1.68602452179803e-05
7.77601513763322e-06,1,3000,"e9c9b",2,1.26205204647012e-06
1.39240207934204e-05,1,3000,"e9c9b",3,1.28776709559835e-05
3.12081566166299e-05,1,3000,"e9c9b",4,1.34335268525308e-05
3.25062821638393e-05,1,3000,"e9c9b",5,3.21231071835176e-05
0.00010663937427338,1,3000,"e9c9b",6,0.000103870284285928
NaN,1,3000,"e9c9b",7,NaN
NaN,1,3000,"e9c9b",8,NaN
7.45176088659474e-06,1,3500,"e9c9b",1,1.10761966920723e-06
4.19097283039368e-06,1,3500,"e9c9b",2,1.16445189574866e-06
7.96428806487824e-06,1,3500,"e9c9b",3,5.69638206023008e-06
2.12279892248532e-05,1,3500,"e9c9b",4,1.59491097340144e-05
3.83523539994403e-05,1,3500,"e9c9b",5,3.7128955308959e-05
0.000112461549721297,1,3500,"e9c9b",6,0.000106894425440982
NaN,1,3500,"e9c9b",7,NaN
NaN,1,3500,"e9c9b",8,NaN
1.69267352924432e-05,1,3500,"e9c9b",1,1.47116667623029e-05
1.92255252258782e-05,1,3500,"e9c9b",2,5.95129855643884e-06
1.48860500623398e-05,1,3500,"e9c9b",3,9.60860907544693e-06
4.93114294872026e-05,1,3500,"e9c9b",4,3.01776977398306e-05
6.26094220409786e-05,1,3500,"e9c9b",5,5.23563745190136e-05
0.000134405246175947,1,3500,"e9c9b",6,0.000134376878568478
NaN,1,3500,"e9c9b",7,NaN
NaN,1,3500,"e9c9b",8,NaN
9.79142065981849e-06,1,3500,"e9c9b",1,6.59951483055471e-06
3.40045368080426e-06,1,3500,"e9c9b",2,2.94656864597902e-06
6.06372446501707e-06,1,3500,"e9c9b",3,1.14916105913863e-05
4.89590889658334e-05,1,3500,"e9c9b",4,2.65509587189474e-06
2.71629534137922e-05,1,3500,"e9c9b",5,2.15430438110419e-05
0.000108089634936735,1,3500,"e9c9b",6,0.000102004965713768
NaN,1,3500,"e9c9b",7,NaN
NaN,1,3500,"e9c9b",8,NaN
7.41753922592869e-06,1,3500,"e9c9b",1,5.05032008317317e-06
4.57382562594906e-06,1,3500,"e9c9b",2,5.11513555910136e-06
3.89835773887737e-06,1,3500,"e9c9b",3,3.93508969547727e-06
