PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec
1.27006600961273e-05,1,2500,"e9c9b",1,4.77644785063466e-06
9.69462143025588e-06,1,2500,"e9c9b",2,2.16301549220571e-06
1.18737533155301e-05,1,2500,"e9c9b",3,7.33606205947461e-06
1.61015561380193e-05,1,2500,"e9c9b",4,1.24674596252869e-05
1.78335758566461e-05,1,2500,"e9c9b",5,1.69129731458272e-05
5.37016971746748e-05,1,2500,"e9c9b",6,4.70252711701555e-05
NaN,1,2500,"e9c9b",7,NaN
NaN,1,2500,"e9c9b",8,NaN
9.53046168300427e-06,1,2500,"e9c9b",1,4.42791747767649e-06
6.65990605766033e-06,1,2500,"e9c9b",2,4.0169869423498e-06
1.2311396356787e-05,1,2500,"e9c9b",3,4.57303365433093e-07
1.0567494528158e-05,1,2500,"e9c9b",4,6.67196546336483e-07
1.61650175754066e-05,1,2500,"e9c9b",5,6.94068381551681e-06
3.97131517975642e-05,1,2500,"e9c9b",6,3.37891105354621e-05
NaN,1,2500,"e9c9b",7,NaN
NaN,1,2500,"e9c9b",8,NaN
8.3263415540165e-06,1,2500,"e9c9b",1,1.5660098977156e-06
5.80353567326896e-06,1,2500,"e9c9b",2,1.21062278372828e-06
4.14791039323473e-06,1,2500,"e9c9b",3,1.99569285918762e-06
6.15746266097613e-06,1,2500,"e9c9b",4,9.26447219054389e-07
9.32787324130572e-06,1,2500,"e9c9b",5,6.57683272195582e-06
3.71125364374636e-05,1,2500,"e9c9b",6,3.30483655794047e-05
NaN,1,2500,"e9c9b",7,NaN
NaN,1,2500,"e9c9b",8,NaN
1.60377528941519e-05,1,2500,"e9c9b",1,6.15606239269528e-06
1.04682622409967e-05,1,2500,"e9c9b",2,2.18517317146083e-06
9.67422445911271e-05,1,2500,"e9c9b",3,2.69107984026895e-05
6.14854163797798e-05,1,2500,"e9c9b",4,4.97053797582525e-05
8.14264424478689e-05,1,2500,"e9c9b",5,7.86666989359306e-05
0.000145813940449618,1,2500,"e9c9b",6,0.000128631167942748
NaN,1,2500,"e9c9b",7,NaN
NaN,1,2500,"e9c9b",8,NaN
1.36697553136531e-05,1,2500,"e9c9b",1,2.10992794190097e-06
7.22962095624663e-06,1,2500,"e9c9b",2,2.46699511379857e-06
8.89615230613767e-06,1,2500,"e9c9b",3,6.72371272707944e-08
5.8129262428208e-06,1,2500,"e9c9b",4,4.33812733213925e-06
1.7239527492665e-05,1,2500,"e9c9b",5,1.55976629191128e-05
5.60307639344024e-05,1,2500,"e9c9b",6,4.65419294332328e-05
NaN,1,2500,"e9c9b",7,NaN
NaN,1,2500,"e9c9b",8,NaN
1.36782843002053e-05,1,2500,"e9c9b",1,2.9358158519879e-06
4.68545690750178e-06,1,2500,"e9c9b",2,1.3591009624514e-06
8.09080546268203e-06,1,2500,"e9c9b",3,2.3991975934648e-06
1.13620525248579e-05,1,2500,"e9c9b",4,6.33299297126957e-06
1.72330131715144e-05,1,2500,"e9c9b",5,1.57882233488171e-05
5.31258085728701e-05,1,2500,"e9c9b",6,4.99100134240152e-05
NaN,1,2500,"e9c9b",7,NaN
NaN,1,2500,"e9c9b",8,NaN
4.70252420604718e-05,1,2500,"e9c9b",1,2.40626037247942e-05
3.76064861407348e-05,1,2500,"e9c9b",2,3.0219771091281e-06
6.80863684000974e-05,1,2500,"e9c9b",3,4.35759099795874e-06
0.000151720181374356,1,2500,"e9c9b",4,1.34193619760246e-05
