PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec
NaN,1,2500,"e9c9b",1,0
NaN,1,2500,"e9c9b",2,0
NaN,1,2500,"e9c9b",3,0
1.61015561380193e-05,1,2500,"e9c9b",4,0
2.52093189689796e-05,1,2500,"e9c9b",5,0
5.42771932177211e-05,1,2500,"e9c9b",6,4.70252711701555e-05
NaN,1,2500,"e9c9b",7,NaN
NaN,1,2500,"e9c9b",8,NaN
NaN,1,2500,"e9c9b",1,0
NaN,1,2500,"e9c9b",2,0
NaN,1,2500,"e9c9b",3,0
NaN,1,2500,"e9c9b",4,0
1.61650175754066e-05,1,2500,"e9c9b",5,0
4.52789441863037e-05,1,2500,"e9c9b",6,3.37891105354621e-05
NaN,1,2500,"e9c9b",7,NaN
NaN,1,2500,"e9c9b",8,NaN
NaN,1,2500,"e9c9b",1,0
NaN,1,2500,"e9c9b",2,0
NaN,1,2500,"e9c9b",3,0
NaN,1,2500,"e9c9b",4,0
NaN,1,2500,"e9c9b",5,0
3.71125364374636e-05,1,2500,"e9c9b",6,3.30483655794047e-05
NaN,1,2500,"e9c9b",7,NaN
NaN,1,2500,"e9c9b",8,NaN
NaN,1,2500,"e9c9b",1,0
NaN,1,2500,"e9c9b",2,0
9.67422445911272e-05,1,2500,"e9c9b",3,0
2.79856466020416e-05,1,2500,"e9c9b",4,0
8.14264424478689e-05,1,2500,"e9c9b",5,0
0.000145813940449618,1,2500,"e9c9b",6,0.000128631167942748
NaN,1,2500,"e9c9b",7,NaN
NaN,1,2500,"e9c9b",8,NaN
NaN,1,2500,"e9c9b",1,0
NaN,1,2500,"e9c9b",2,0
NaN,1,2500,"e9c9b",3,0
NaN,1,2500,"e9c9b",4,0
2.11417861690328e-05,1,2500,"e9c9b",5,0
5.60307639344024e-05,1,2500,"e9c9b",6,4.65419294332328e-05
NaN,1,2500,"e9c9b",7,NaN
NaN,1,2500,"e9c9b",8,NaN
NaN,1,2500,"e9c9b",1,0
NaN,1,2500,"e9c9b",2,0
NaN,1,2500,"e9c9b",3,0
NaN,1,2500,"e9c9b",4,0
NaN,1,2500,"e9c9b",5,0
