PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec
NaN,1,3500,"fe7df",1,0
NaN,1,3500,"fe7df",2,0
NaN,1,3500,"fe7df",3,0
NaN,1,3500,"fe7df",4,0
NaN,1,3500,"fe7df",5,0
9.15012879547663e-06,1,3500,"fe7df",6,4.7561471719656e-06
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
3.87964579935628e-06,1,3500,"fe7df",1,0
5.36534566283364e-06,1,3500,"fe7df",2,0
5.21754734410564e-06,1,3500,"fe7df",3,0
5.66101060458306e-06,1,3500,"fe7df",4,0
5.43446567579126e-06,1,3500,"fe7df",5,0
5.64824443873475e-07,1,3500,"fe7df",6,1.57935129272696e-05
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
NaN,1,3500,"fe7df",1,0
NaN,1,3500,"fe7df",2,0
7.28682960829826e-06,1,3500,"fe7df",3,0
2.56871778527999e-06,1,3500,"fe7df",4,0
4.51770431097061e-06,1,3500,"fe7df",5,0
NaN,1,3500,"fe7df",6,1.49697453351161e-05
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
NaN,1,3500,"fe7df",1,0
8.33641044020005e-06,1,3500,"fe7df",2,0
2.82585031162341e-06,1,3500,"fe7df",3,0
3.05682208468815e-06,1,3500,"fe7df",4,0
NaN,1,3500,"fe7df",5,0
NaN,1,3500,"fe7df",6,1.48638212276666e-05
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
NaN,1,3500,"fe7df",1,0
1.18199799875484e-05,1,3500,"fe7df",2,0
NaN,1,3500,"fe7df",3,0
NaN,1,3500,"fe7df",4,0
6.56488926259588e-06,1,3500,"fe7df",5,0
1.44441633587439e-06,1,3500,"fe7df",6,2.21974612743153e-05
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
NaN,1,3500,"fe7df",1,0
1.62613696522676e-05,1,3500,"fe7df",2,0
1.63877593713251e-05,1,3500,"fe7df",3,0
NaN,1,3500,"fe7df",4,0
8.64360528865028e-06,1,3500,"fe7df",5,0
NaN,1,3500,"fe7df",6,2.09281170821067e-05
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
NaN,1,3500,"fe7df",1,0
NaN,1,3500,"fe7df",2,0
NaN,1,3500,"fe7df",3,0
NaN,1,3500,"fe7df",4,0
NaN,1,3500,"fe7df",5,0
NaN,1,3500,"fe7df",6,2.89932576377173e-06
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
NaN,1,3500,"fe7df",1,0
1.62330062600514e-05,1,3500,"fe7df",2,0
1.45678775933436e-05,1,3500,"fe7df",3,0
1.61847780563773e-05,1,3500,"fe7df",4,0
NaN,1,3500,"fe7df",5,0
2.74772730064586e-06,1,3500,"fe7df",6,2.96458992958901e-09
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
1.55300062520185e-05,1,3500,"fe7df",1,0
1.73504055171082e-05,1,3500,"fe7df",2,0
1.81604534097853e-05,1,3500,"fe7df",3,0
1.86243141052426e-05,1,3500,"fe7df",4,0
1.31525926992044e-05,1,3500,"fe7df",5,0
1.85739410823676e-05,1,3500,"fe7df",6,7.54726193861386e-06
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
NaN,1,3500,"fe7df",1,0
1.8039244335406e-06,1,3500,"fe7df",2,0
NaN,1,3500,"fe7df",3,0
NaN,1,3500,"fe7df",4,0
NaN,1,3500,"fe7df",5,0
NaN,1,3500,"fe7df",6,1.85477620207919e-05
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
7.90853091150369e-06,1,3500,"fe7df",1,0
3.8557473560542e-06,1,3500,"fe7df",2,0
4.18262259240967e-06,1,3500,"fe7df",3,0
1.54764333846438e-06,1,3500,"fe7df",4,0
1.00211591497489e-05,1,3500,"fe7df",5,0
1.07845717586325e-05,1,3500,"fe7df",6,9.05855480582459e-06
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
NaN,1,3500,"fe7df",1,0
NaN,1,3500,"fe7df",2,0
NaN,1,3500,"fe7df",3,0
NaN,1,3500,"fe7df",4,0
NaN,1,3500,"fe7df",5,0
NaN,1,3500,"fe7df",6,1.53363491373815e-06
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
NaN,1,5000,"fe7df",1,1.10553723977854e-05
NaN,1,5000,"fe7df",2,1.14550998778204e-06
NaN,1,5000,"fe7df",3,6.18782934667144e-06
NaN,1,5000,"fe7df",4,1.62241008856276e-06
5.75098245632864e-06,1,5000,"fe7df",5,2.69145477779298e-06
1.69355432019593e-05,1,5000,"fe7df",6,1.49245953649149e-05
NaN,1,5000,"fe7df",7,NaN
NaN,1,5000,"fe7df",8,NaN
1.41415683519711e-05,1,5000,"fe7df",1,8.47422265768942e-06
1.89558134279636e-05,1,5000,"fe7df",2,1.14790035746111e-05
1.76975103344499e-05,1,5000,"fe7df",3,1.2197887641338e-05
2.27981015798482e-05,1,5000,"fe7df",4,2.14092660611289e-05
1.15500491655809e-05,1,5000,"fe7df",5,1.02062750290718e-05
5.02700370341281e-05,1,5000,"fe7df",6,4.8747034254044e-05
