PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec
NaN,1,3500,"fe7df",1,0
NaN,1,3500,"fe7df",2,0
NaN,1,3500,"fe7df",3,0
NaN,1,3500,"fe7df",4,0
NaN,1,3500,"fe7df",5,0
5.49086477774061e-06,1,3500,"fe7df",6,1.09074155621245e-05
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
1.98099438268603e-05,1,3500,"fe7df",1,0
NaN,1,3500,"fe7df",2,0
NaN,1,3500,"fe7df",3,0
1.02348302489967e-05,1,3500,"fe7df",4,0
1.14512472462668e-05,1,3500,"fe7df",5,0
1.79351249244167e-05,1,3500,"fe7df",6,1.43448945949234e-05
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
NaN,1,3500,"fe7df",1,0
1.89821498476569e-05,1,3500,"fe7df",2,0
2.23196402255856e-05,1,3500,"fe7df",3,0
1.68331372239369e-05,1,3500,"fe7df",4,0
1.63274518342851e-05,1,3500,"fe7df",5,0
1.86972224671531e-05,1,3500,"fe7df",6,1.02568327078872e-05
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
1.5350981964422e-05,1,3500,"fe7df",1,0
1.65355648940243e-05,1,3500,"fe7df",2,0
NaN,1,3500,"fe7df",3,0
NaN,1,3500,"fe7df",4,0
NaN,1,3500,"fe7df",5,0
2.72595862938861e-05,1,3500,"fe7df",6,2.213952615356e-05
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
1.16212199905073e-05,1,3500,"fe7df",1,0
2.17133988331459e-05,1,3500,"fe7df",2,0
NaN,1,3500,"fe7df",3,0
NaN,1,3500,"fe7df",4,0
NaN,1,3500,"fe7df",5,0
9.33786927291875e-06,1,3500,"fe7df",6,1.2053102034418e-05
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
NaN,1,3500,"fe7df",1,0
NaN,1,3500,"fe7df",2,0
5.96496302642348e-06,1,3500,"fe7df",3,0
6.04940668220527e-07,1,3500,"fe7df",4,0
3.48248326496595e-06,1,3500,"fe7df",5,0
6.91295726489324e-06,1,3500,"fe7df",6,1.59581910312347e-05
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
NaN,1,3500,"fe7df",1,0
9.53060239888897e-06,1,3500,"fe7df",2,0
1.68320129344489e-05,1,3500,"fe7df",3,0
1.4305007830366e-05,1,3500,"fe7df",4,0
8.0949396616439e-06,1,3500,"fe7df",5,0
6.95755792215768e-06,1,3500,"fe7df",6,3.88110229507135e-06
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
NaN,1,3500,"fe7df",1,0
1.22411471693934e-05,1,3500,"fe7df",2,0
7.66610498726824e-06,1,3500,"fe7df",3,0
1.01392755862211e-05,1,3500,"fe7df",4,0
1.78459808720002e-05,1,3500,"fe7df",5,0
1.84841774290325e-06,1,3500,"fe7df",6,1.7424960975273e-05
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
2.71000194340454e-06,1,3500,"fe7df",1,0
6.11853196030384e-06,1,3500,"fe7df",2,0
2.09404528248252e-06,1,3500,"fe7df",3,0
2.92095052806882e-06,1,3500,"fe7df",4,0
NaN,1,3500,"fe7df",5,0
NaN,1,3500,"fe7df",6,4.01421990685413e-05
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
NaN,1,3500,"fe7df",1,0
3.21794965365127e-05,1,3500,"fe7df",2,0
1.64228187091051e-05,1,3500,"fe7df",3,0
1.70701111870929e-05,1,3500,"fe7df",4,0
2.73825472184786e-05,1,3500,"fe7df",5,0
8.95631241707443e-06,1,3500,"fe7df",6,1.56111126622732e-06
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
NaN,1,3500,"fe7df",1,0
1.99557239551215e-05,1,3500,"fe7df",2,0
1.02913581940389e-05,1,3500,"fe7df",3,0
2.03229749425477e-05,1,3500,"fe7df",4,0
NaN,1,3500,"fe7df",5,0
NaN,1,3500,"fe7df",6,4.95632293286496e-05
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
1.81939791984024e-06,1,3500,"fe7df",1,0
NaN,1,3500,"fe7df",2,0
NaN,1,3500,"fe7df",3,0
2.3445689466807e-06,1,3500,"fe7df",4,0
1.94153622772666e-06,1,3500,"fe7df",5,0
3.69549067205055e-06,1,3500,"fe7df",6,2.55239000576184e-05
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
7.53805092405652e-06,1,3500,"fe7df",1,0
1.22356780248957e-05,1,3500,"fe7df",2,0
4.31768013450867e-06,1,3500,"fe7df",3,0
4.90422553170772e-06,1,3500,"fe7df",4,0
NaN,1,3500,"fe7df",5,0
2.6259481467088e-06,1,3500,"fe7df",6,1.82731361208821e-06
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
2.51567382499267e-06,1,3500,"fe7df",1,0
1.80742088757815e-06,1,3500,"fe7df",2,0
1.7109980961807e-06,1,3500,"fe7df",3,0
6.24817398148186e-06,1,3500,"fe7df",4,0
1.43042959475464e-05,1,3500,"fe7df",5,0
1.84462973887177e-06,1,3500,"fe7df",6,1.81123307086127e-05
