PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec
NaN,1,3500,"fe7df",1,0
NaN,1,3500,"fe7df",2,0
NaN,1,3500,"fe7df",3,0
NaN,1,3500,"fe7df",4,0
NaN,1,3500,"fe7df",5,0
NaN,1,3500,"fe7df",6,0
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
NaN,1,3500,"fe7df",1,0
NaN,1,3500,"fe7df",2,0
NaN,1,3500,"fe7df",3,0
NaN,1,3500,"fe7df",4,0
NaN,1,3500,"fe7df",5,0
NaN,1,3500,"fe7df",6,0
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
NaN,1,3500,"fe7df",1,0
NaN,1,3500,"fe7df",2,0
NaN,1,3500,"fe7df",3,0
NaN,1,3500,"fe7df",4,0
NaN,1,3500,"fe7df",5,0
NaN,1,3500,"fe7df",6,0
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
NaN,1,3500,"fe7df",1,0
NaN,1,3500,"fe7df",2,0
NaN,1,3500,"fe7df",3,0
NaN,1,3500,"fe7df",4,0
NaN,1,3500,"fe7df",5,0
NaN,1,3500,"fe7df",6,0
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
NaN,1,3500,"fe7df",1,0
NaN,1,3500,"fe7df",2,0
NaN,1,3500,"fe7df",3,0
NaN,1,3500,"fe7df",4,0
NaN,1,3500,"fe7df",5,0
NaN,1,3500,"fe7df",6,0
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
NaN,1,3500,"fe7df",1,0
NaN,1,3500,"fe7df",2,0
NaN,1,3500,"fe7df",3,0
NaN,1,3500,"fe7df",4,0
NaN,1,3500,"fe7df",5,0
NaN,1,3500,"fe7df",6,0
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
NaN,1,3500,"fe7df",1,0
NaN,1,3500,"fe7df",2,0
NaN,1,3500,"fe7df",3,0
NaN,1,3500,"fe7df",4,0
NaN,1,3500,"fe7df",5,0
NaN,1,3500,"fe7df",6,0
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
NaN,1,3500,"fe7df",1,0
NaN,1,3500,"fe7df",2,0
NaN,1,3500,"fe7df",3,0
NaN,1,3500,"fe7df",4,0
NaN,1,3500,"fe7df",5,0
NaN,1,3500,"fe7df",6,0
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
NaN,1,3500,"fe7df",1,0
NaN,1,3500,"fe7df",2,0
NaN,1,3500,"fe7df",3,0
NaN,1,3500,"fe7df",4,0
NaN,1,3500,"fe7df",5,0
NaN,1,3500,"fe7df",6,0
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
NaN,1,3500,"fe7df",1,0
NaN,1,3500,"fe7df",2,0
NaN,1,3500,"fe7df",3,0
NaN,1,3500,"fe7df",4,0
NaN,1,3500,"fe7df",5,0
NaN,1,3500,"fe7df",6,0
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
NaN,1,3500,"fe7df",1,0
NaN,1,3500,"fe7df",2,0
NaN,1,3500,"fe7df",3,0
NaN,1,3500,"fe7df",4,0
NaN,1,3500,"fe7df",5,0
NaN,1,3500,"fe7df",6,0
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
NaN,1,3500,"fe7df",1,0
NaN,1,3500,"fe7df",2,0
NaN,1,3500,"fe7df",3,0
NaN,1,3500,"fe7df",4,0
NaN,1,3500,"fe7df",5,0
NaN,1,3500,"fe7df",6,0
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
NaN,1,3500,"fe7df",1,0
NaN,1,3500,"fe7df",2,0
NaN,1,3500,"fe7df",3,0
NaN,1,3500,"fe7df",4,0
NaN,1,3500,"fe7df",5,0
NaN,1,3500,"fe7df",6,0
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
NaN,1,3500,"fe7df",1,0
4.7782392524019e-05,1,3500,"fe7df",2,0
NaN,1,3500,"fe7df",3,0
3.41307005615449e-05,1,3500,"fe7df",4,0
NaN,1,3500,"fe7df",5,0
2.62615382498285e-05,1,3500,"fe7df",6,0
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
NaN,1,3500,"fe7df",1,0
NaN,1,3500,"fe7df",2,0
NaN,1,3500,"fe7df",3,0
NaN,1,3500,"fe7df",4,0
NaN,1,3500,"fe7df",5,0
2.26265195593077e-05,1,3500,"fe7df",6,0
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
NaN,1,3500,"fe7df",1,0
NaN,1,3500,"fe7df",2,0
NaN,1,3500,"fe7df",3,0
NaN,1,3500,"fe7df",4,0
NaN,1,3500,"fe7df",5,0
NaN,1,3500,"fe7df",6,0
NaN,1,3500,"fe7df",7,NaN
NaN,1,3500,"fe7df",8,NaN
NaN,1,3500,"fe7df",1,0
NaN,1,3500,"fe7df",2,0
NaN,1,3500,"fe7df",3,0
NaN,1,3500,"fe7df",4,0
NaN,1,3500,"fe7df",5,0
NaN,1,3500,"fe7df",6,0
NaN,1,3500,"fe7df",7,NaN
